年份,类别,指标,数值,单位,备注
2005,生源,本届考生中考700分以上人数-我校,95,人,
2005,生源,本届考生中考700分以上人数-市内同类校,268,人,
2005,生源,我校统招录取分数线低于同类校,25,分,中考录取线
2005,生源,我校自费录取分数线低于同类校,32,分,中考录取线
2005,理科,获总分700分人数,2,人,距省状元3分，均列大庆市前4名、全省前8名
2005,理科,大庆市前8名中我校人数,3,人,
2005,理科,大庆市前20名中我校人数,8,人,
2005,理科,600分以上人数,387,人,全市第一
2005,文科,大庆市前4名中我校人数,2,人,
2005,文科,大庆市前10名中我校人数,5,人,
2005,文科,大庆市前20名中我校人数,11,人,
2005,文科,艺术类大庆市前10名中我校人数,5,人,
2005,文科,600分以上人数,42,人,全市第一
2005,综合,文理科600分以上总人数,429,人,称居黑龙江省各类高中首位
2005,综合,预计达到清华北大录取分数线人数,35,人,学校预测值，非实际录取数
