分数,本段人数,累计人数
700以上,17,17
699,7,24
698,6,30
697,7,37
696,3,40
695,2,42
694,5,47
693,9,56
692,2,58
691,6,64
690,16,80
689,5,85
688,6,91
687,8,99
686,5,104
685,10,114
684,8,122
683,8,130
682,12,142
681,19,161
680,18,179
679,13,192
678,14,206
677,14,220
676,16,236
675,19,255
674,21,276
673,15,291
672,16,307
671,28,335
670,24,359
669,37,396
668,23,419
667,20,439
666,28,467
665,38,505
664,30,535
663,26,561
662,34,595
661,39,634
660,47,681
659,39,720
658,34,754
657,57,811
656,45,856
655,33,889
654,61,950
653,42,992
652,52,1044
651,54,1098
650,45,1143
649,50,1193
648,47,1240
647,54,1294
646,66,1360
645,69,1429
644,61,1490
643,74,1564
642,63,1627
641,72,1699
640,62,1761
639,88,1849
638,88,1937
637,84,2021
636,93,2114
635,91,2205
634,99,2304
633,101,2405
632,82,2487
631,110,2597
630,93,2690
629,102,2792
628,107,2899
627,106,3005
626,110,3115
625,113,3228
624,108,3336
623,113,3449
622,113,3562
621,125,3687
620,118,3805
619,128,3933
618,114,4047
617,103,4150
616,136,4286
615,129,4415
614,135,4550
613,139,4689
612,116,4805
611,139,4944
610,148,5092
609,134,5226
608,133,5359
607,135,5494
606,155,5649
605,142,5791
604,157,5948
603,147,6095
602,166,6261
601,165,6426
600,154,6580
599,143,6723
598,155,6878
597,162,7040
596,154,7194
595,125,7319
594,149,7468
593,169,7637
592,174,7811
591,146,7957
590,170,8127
589,167,8294
588,187,8481
587,161,8642
586,161,8803
585,157,8960
584,181,9141
583,169,9310
582,193,9503
581,188,9691
580,158,9849
579,195,10044
578,194,10238
577,162,10400
576,170,10570
575,191,10761
574,192,10953
573,182,11135
572,209,11344
571,207,11551
570,208,11759
569,184,11943
568,167,12110
567,183,12293
566,217,12510
565,197,12707
564,205,12912
563,196,13108
562,221,13329
561,206,13535
560,211,13746
559,193,13939
558,211,14150
557,246,14396
556,222,14618
555,229,14847
554,244,15091
553,230,15321
552,216,15537
551,204,15741
550,255,15996
549,242,16238
548,245,16483
547,251,16734
546,267,17001
545,232,17233
544,226,17459
543,228,17687
542,220,17907
541,261,18168
540,257,18425
539,272,18697
538,249,18946
537,237,19183
536,253,19436
535,276,19712
534,237,19949
533,257,20206
532,273,20479
531,257,20736
530,253,20989
529,253,21242
528,252,21494
527,269,21763
526,253,22016
525,286,22302
524,288,22590
523,265,22855
522,249,23104
521,255,23359
520,229,23588
519,279,23867
518,270,24137
517,287,24424
516,266,24690
515,270,24960
514,275,25235
513,284,25519
512,291,25810
511,287,26097
510,276,26373
509,308,26681
508,271,26952
507,303,27255
506,295,27550
505,295,27845
504,310,28155
503,291,28446
502,295,28741
501,319,29060
500,272,29332
499,295,29627
498,315,29942
497,321,30263
496,306,30569
495,301,30870
494,283,31153
493,306,31459
492,296,31755
491,311,32066
490,314,32380
489,298,32678
488,302,32980
487,296,33276
486,287,33563
485,338,33901
484,337,34238
483,304,34542
482,299,34841
481,317,35158
480,302,35460
479,305,35765
478,305,36070
477,294,36364
476,324,36688
475,340,37028
474,330,37358
473,294,37652
472,309,37961
471,306,38267
470,315,38582
469,322,38904
468,374,39278
467,351,39629
466,326,39955
465,354,40309
464,343,40652
463,309,40961
462,289,41250
461,347,41597
460,369,41966
459,371,42337
458,333,42670
457,330,43000
456,342,43342
455,318,43660
454,363,44023
453,338,44361
452,343,44704
451,330,45034
450,319,45353
449,315,45668
448,340,46008
447,313,46321
446,369,46690
445,326,47016
444,337,47353
443,305,47658
442,336,47994
441,353,48347
440,346,48693
439,328,49021
438,349,49370
437,363,49733
436,339,50072
435,361,50433
434,316,50749
433,362,51111
432,364,51475
431,349,51824
430,328,52152
429,337,52489
428,381,52870
427,338,53208
426,352,53560
425,348,53908
424,358,54266
423,341,54607
422,323,54930
421,398,55328
420,341,55669
419,334,56003
418,342,56345
417,375,56720
416,313,57033
415,356,57389
414,335,57724
413,341,58065
412,361,58426
411,387,58813
410,375,59188
409,371,59559
408,359,59918
407,373,60291
406,327,60618
