分数,本段人数,累积人数
706,1,1
705,0,1
704,1,2
703,1,3
702,1,4
701,2,6
700,4,10
699,1,11
698,2,13
697,2,15
696,2,17
695,2,19
694,2,21
693,3,24
692,3,27
691,4,31
690,4,35
689,4,39
688,5,44
687,6,50
686,6,56
685,7,63
684,7,70
683,9,79
682,10,89
681,11,100
680,12,112
679,10,122
678,12,134
677,12,146
676,14,160
675,15,175
674,17,192
673,18,210
672,19,229
671,22,251
670,23,274
669,23,297
668,24,321
667,26,347
666,29,376
665,31,407
664,34,441
663,36,477
662,39,516
661,43,559
660,46,605
659,42,647
658,45,692
657,48,740
656,51,791
655,55,846
654,59,905
653,62,967
652,68,1035
651,71,1106
650,77,1183
649,65,1248
648,69,1317
647,73,1390
646,77,1467
645,81,1548
644,85,1633
643,90,1723
642,96,1819
641,100,1919
640,106,2025
639,99,2124
638,104,2228
637,110,2338
636,114,2452
635,120,2572
634,127,2699
633,132,2831
632,139,2970
631,145,3115
630,153,3268
629,131,3399
628,136,3535
627,141,3676
626,147,3823
625,153,3976
624,159,4135
623,165,4300
622,172,4472
621,179,4651
620,186,4837
619,177,5014
618,182,5196
617,188,5384
616,193,5577
615,198,5775
614,205,5980
613,209,6189
612,216,6405
611,222,6627
610,228,6855
609,220,7075
608,226,7301
607,232,7533
606,238,7771
605,243,8014
604,249,8263
603,255,8518
602,261,8779
601,267,9046
600,274,9320
599,267,9587
598,272,9859
597,278,10137
596,284,10421
595,291,10712
594,296,11008
593,302,11310
592,308,11618
591,315,11933
590,321,12254
589,296,12550
588,302,12852
587,307,13159
586,312,13471
585,317,13788
584,323,14111
583,329,14440
582,333,14773
581,339,15112
580,345,15457
579,331,15788
578,337,16125
577,341,16466
576,346,16812
575,351,17163
574,356,17519
573,362,17881
572,366,18247
571,372,18619
570,376,18995
569,381,19376
568,387,19763
567,392,20155
566,396,20551
565,402,20953
564,407,21360
563,412,21772
562,417,22189
561,422,22611
560,427,23038
559,411,23449
558,415,23864
557,420,24284
556,425,24709
555,429,25138
554,433,25571
553,438,26009
552,443,26452
551,447,26899
550,451,27350
549,415,27765
548,419,28184
547,422,28606
546,426,29032
545,429,29461
544,433,29894
543,437,30331
542,440,30771
541,443,31214
540,447,31661
539,445,32106
538,444,32550
537,444,32994
536,445,33439
535,445,33884
534,444,34328
533,444,34772
532,445,35217
531,445,35662
530,444,36106
529,454,36560
528,455,37015
527,455,37470
526,454,37924
525,454,38378
524,455,38833
523,455,39288
522,454,39742
521,454,40196
520,455,40651
519,452,41103
518,453,41556
517,452,42008
516,453,42461
515,452,42913
514,452,43365
513,453,43818
512,452,44270
511,453,44723
510,452,45175
509,431,45606
508,431,46037
507,432,46469
506,431,46900
505,431,47331
504,431,47762
503,431,48193
502,432,48625
501,431,49056
500,431,49487
499,437,49924
498,437,50361
497,437,50798
496,437,51235
495,437,51672
494,436,52108
493,437,52545
492,437,52982
491,437,53419
490,437,53856
489,427,54283
488,427,54710
487,427,55137
486,427,55564
485,428,55992
484,427,56419
483,427,56846
482,427,57273
481,427,57700
480,427,58127
479,416,58543
478,416,58959
477,415,59374
476,416,59790
475,416,60206
474,416,60622
473,416,61038
472,415,61453
471,416,61869
