分数,累积人数,本段人数
719,0,0
718,0,0
717,0,0
716,0,0
715,0,0
714,1,1
713,1,0
712,1,0
711,1,0
710,2,1
709,2,0
708,2,0
707,3,1
706,3,0
705,3,0
704,4,1
703,4,0
702,5,1
701,5,0
700,6,1
699,7,1
698,7,0
697,8,1
696,9,1
695,10,1
694,11,1
693,12,1
692,13,1
691,15,2
690,16,1
689,18,2
688,20,2
687,23,3
686,26,3
685,29,3
684,32,3
683,37,5
682,41,4
681,46,5
680,52,6
679,57,5
678,61,4
677,67,6
676,73,6
675,79,6
674,86,7
673,93,7
672,102,9
671,110,8
670,120,10
669,130,10
668,142,12
667,154,12
666,167,13
665,182,15
664,198,16
663,215,17
662,234,19
661,254,20
660,276,22
659,296,20
658,318,22
657,342,24
656,367,25
655,395,28
654,424,29
653,455,31
652,489,34
651,525,36
650,564,39
649,595,31
648,628,33
647,663,35
646,699,36
645,738,39
644,779,41
643,822,43
642,867,45
641,915,48
640,966,51
639,1010,44
638,1057,47
637,1106,49
636,1157,51
635,1210,53
634,1265,55
633,1324,59
632,1385,61
631,1448,63
630,1515,67
629,1578,63
628,1645,67
627,1714,69
626,1785,71
625,1860,75
624,1938,78
623,2019,81
622,2104,85
621,2192,88
620,2284,92
619,2365,81
618,2449,84
617,2537,88
616,2627,90
615,2720,93
614,2817,97
613,2917,100
612,3021,104
611,3129,108
610,3240,111
609,3346,106
608,3455,109
607,3567,112
606,3682,115
605,3801,119
604,3922,121
603,4046,124
602,4174,128
601,4305,131
600,4440,135
599,4573,133
598,4709,136
597,4848,139
596,4991,143
595,5137,146
594,5287,150
593,5440,153
592,5596,156
591,5757,161
590,5921,164
589,6078,157
588,6239,161
587,6403,164
586,6570,167
585,6741,171
584,6916,175
583,7094,178
582,7275,181
581,7461,186
580,7650,189
579,7829,179
578,8010,181
577,8195,185
576,8384,189
575,8576,192
574,8771,195
573,8970,199
572,9172,202
571,9378,206
570,9587,209
569,9803,216
568,10023,220
567,10246,223
566,10474,228
565,10705,231
564,10940,235
563,11179,239
562,11421,242
561,11668,247
560,11919,251
559,12168,249
558,12421,253
557,12677,256
556,12938,261
555,13202,264
554,13471,269
553,13743,272
552,14020,277
551,14300,280
550,14585,285
549,14867,282
548,15153,286
547,15442,289
546,15736,294
545,16034,298
544,16335,301
543,16641,306
542,16951,310
541,17264,313
540,17582,318
539,17895,313
538,18211,316
537,18532,321
536,18856,324
535,19185,329
534,19517,332
533,19853,336
532,20193,340
531,20537,344
530,20885,348
529,21232,347
528,21583,351
527,21938,355
526,22297,359
525,22659,362
524,23025,366
523,23396,371
522,23770,374
521,24147,377
520,24529,382
519,24904,375
518,25282,378
517,25664,382
516,26050,386
515,26439,389
514,26832,393
513,27228,396
512,27628,400
511,28032,404
510,28439,407
509,28859,420
508,29279,420
507,29699,420
506,30119,420
505,30539,420
504,30959,420
503,31379,420
502,31799,420
501,32219,420
500,32639,420
499,33082,443
498,33526,444
497,33969,443
496,34413,444
495,34856,443
494,35299,443
493,35743,444
492,36186,443
491,36630,444
490,37073,443
489,37530,457
488,37987,457
487,38445,458
486,38902,457
485,39359,457
484,39816,457
483,40273,457
482,40731,458
481,41188,457
480,41645,457
479,42107,462
478,42568,461
477,43030,462
476,43492,462
475,43954,462
474,44415,461
473,44877,462
472,45339,462
471,45800,461
470,46262,462
469,46729,467
468,47195,466
467,47662,467
466,48128,466
465,48595,467
464,49062,467
463,49528,466
462,49995,467
461,50461,466
460,50928,467
459,51393,465
458,51858,465
457,52324,466
456,52789,465
455,53254,465
454,53719,465
453,54184,465
452,54650,466
451,55115,465
450,55580,465
449,56042,462
448,56505,463
447,56967,462
446,57429,462
445,57892,463
444,58354,462
443,58816,462
442,59278,462
441,59741,463
440,60203,462
439,60653,450
438,61102,449
437,61552,450
436,62001,449
435,62451,450
434,62901,450
433,63350,449
432,63800,450
431,64249,449
430,64699,450
429,65164,465
428,65630,466
427,66096,466
426,66561,465
425,67026,465
424,67492,466
423,67958,466
422,68423,465
421,68888,465
420,69354,466
419,69788,434
418,70223,435
417,70657,434
416,71091,434
415,71526,435
414,71960,434
413,72394,434
412,72828,434
411,73263,435
410,73697,434
409,74139,442
408,74581,442
407,75024,443
406,75466,442
405,75908,442
404,76350,442
403,76792,442
402,77235,443
401,77677,442
400,78119,442
399,78550,431
398,78981,431
397,79413,432
396,79844,431
395,80275,431
394,80706,431
393,81137,431
392,81569,432
391,82000,431
390,82431,431
389,82860,429
388,83289,429
387,83719,430
386,84148,429
385,84577,429
384,85006,429
383,85435,429
382,85865,430
381,86294,429
380,86723,429
379,87150,427
378,87577,427
377,88004,427
376,88431,427
375,88858,427
374,89284,426
373,89711,427
372,90138,427
371,90565,427
370,90992,427
369,91416,424
368,91840,424
367,92264,424
366,92688,424
365,93112,424
364,93535,423
363,93959,424
362,94383,424
361,94807,424
360,95231,424
359,95642,411
358,96054,412
357,96466,412
356,96877,411
355,97288,411
354,97700,412
353,98112,412
352,98523,411
351,98934,411
350,99346,412
349,99741,395
348,100135,394
347,100530,395
346,100924,394
345,101319,395
344,101714,395
343,102108,394
342,102503,395
341,102897,394
340,103292,395
339,103688,396
338,104083,395
337,104478,395
336,104874,396
335,105270,396
334,105665,395
333,106060,395
332,106456,396
331,106852,396
330,107247,395
329,107640,393
328,108033,393
327,108425,392
326,108818,393
325,109211,393
324,109604,393
323,109997,393
322,110389,392
321,110782,393
320,111175,393
319,111543,368
318,111912,369
317,112280,368
316,112649,369
315,113017,368
314,113385,368
313,113754,369
312,114122,368
311,114491,369
310,114859,368
309,115202,343
308,115545,343
307,115888,343
306,116231,343
305,116574,343
304,116918,344
303,117261,343
302,117604,343
301,117947,343
300,118290,343
299,118619,329
