年份,全市排名,分数,高中
2004,1,671,绥化市第一中学
2004,2,664,安达市高级中学
2004,3,659,庆安县第一中学
2004,4,656,绥化市第一中学
2004,5,655,绥化市第一中学
2004,6,653,安达市高级中学
2004,7,652,肇东市第一中学 
2004,8,651,青冈县第一中学
2004,9,645,绥化市第一中学
2004,10,645,庆安县第一中学
2005,1,688,绥棱县第一中学
2005,2,684,肇东市第一中学
2005,3,683,绥化市第一中学
2005,4,682,肇东市第一中学
2005,5,678,兰西县第一中学
2005,6,675,绥化市第二中学
2005,7,674,庆安县第三中学
2005,8,673,肇东市第一中学
2005,9,671,绥化市第一中学
2005,10,671,绥化市第一中学
2006,1,680,肇东市第一中学
2006,2,676,绥化市第一中学
2006,3,673,肇东市第一中学
2006,4,671,绥化市第一中学
2006,5,-,庆安县第一中学
2006,6,-,海伦市第一中学
2006,7,-,安达市高级中学
2006,8,-,安达市高级中学
2006,9,-,绥棱县第一中学
2006,10,-,绥棱县第一中学
2007,1,695,肇东市第一中学
2007,2,688,肇东市第一中学
2007,3,687,绥化市第一中学
2007,4,686,安达市高级中学
2007,5,681, 庆安县第一中学
2007,6,681,肇东市第一中学
2007,7,681,绥化市第一中学
2007,8,680,海伦市第一中学
2007,9,679,肇东市第一中学
2007,10,679,绥化市第一中学
2008,1,677,绥化市第一中学
2008,2,677,肇东市第一中学
2008,3,677,肇东市第一中学
2008,4,673,肇东市第一中学
2008,5,672,绥化市第一中学
2008,6,672,青冈县第一中学
2008,7,669,兰西县第一中学
2008,8,669,绥棱县第一中学
2008,9,667,安达市高级中学
2008,10,667,兰西县第一中学
2009,1,667,肇东市第一中学
2009,2,667,望奎县第一中学 
2009,3,665,庆安县第一中学
2009,4,663,肇东市第一中学
2009,5,661,肇东市第一中学
2009,6,658,安达市高级中学
2009,7,657,绥化市第一中学
2009,8,657,庆安县第一中学
2009,9,657,绥化市第一中学
2009,10,655,肇东市第一中学
2013,1,671,肇东市第一中学
2013,2,671,肇东市第一中学
2013,3,669,庆安县第一中学
2013,4,665,海伦市第一中学
2013,5,665,绥化市第一中学
2013,6,665,肇东市第一中学
2013,7,663,海伦市第一中学
2013,8,663,肇东市第一中学
2013,9,661,绥棱县第一中学
2013,10,661,肇东市第一中学
2014,1,684,肇东市第一中学
2014,2,682,绥化市第一中学
2014,3,676,青冈县第六中学
2014,4,675,兰西县第一中学
2014,5,675,望奎县第一中学
2014,6,674,望奎县第一中学
2014,7,673,青冈县第一中学
2014,8,672,肇东市第一中学
2014,9,671,绥化市第一中学
2014,10,668,绥化市第一中学
2015,1,682,庆安县第一中学
2015,2,679,肇东市第一中学
2015,3,678,肇东市第一中学
2015,4,678,绥化市第一中学
2015,5,673,肇东市第一中学
2015,6,666,肇东市第一中学
2015,7,665,绥化市第一中学
2015,8,662,肇东市第一中学
2015,9,661,肇东市第一中学
2015,10,660,绥化市第一中学
2016,1,684,安达市高级中学
2016,2,682,绥棱县第一中学
2016,3,676,肇东市第一中学
2016,4,675,绥化市第一中学
2016,5,675,安达市高级中学
2016,6,674,绥化市第一中学
2016,7,672,庆安县第一中学
2016,8,671,绥化市第一中学
2016,9,669,望奎县第一中学
2016,10,668,安达市高级中学
2017,1,689,庆安县第一中学
2017,2,689,庆安县第一中学
2017,3,676,绥化市第一中学
2017,4,675,青冈县第一中学
2017,5,675,海伦市第一中学
2017,6,674,绥化市第一中学
2017,7,672,肇东市第一中学
2017,8,671,绥化市第一中学
2017,9,669,庆安县第一中学
2017,10,668,绥化市第一中学
