中考年,类别,指标,大庆铁人中学,大庆一中,大庆实验中学,备注,来源页
2002,中考生源,中考700分以上人数,268,64,95,一中与实验两份喜报交叉一致,yz.dqt.com.cn/w_zhaosheng2005/index-xb.htm（一中2005喜报）
2003,中考生源,中考全市前10名,1,0,8,,trzx.cn/bulletin/2006/2006-6-28/index.htm 与 trzx.cn/zhshxch/index.htm（铁人2006喜报）
2003,中考生源,中考全市前20名,2,0,16,,trzx.cn/bulletin/2006/2006-6-28/index.htm 与 trzx.cn/zhshxch/index.htm（铁人2006喜报）
2003,中考生源,中考全市前30名,5,1,21,,trzx.cn/bulletin/2006/2006-6-28/index.htm 与 trzx.cn/zhshxch/index.htm（铁人2006喜报）
2003,中考生源,中考全市前40名,7,6,27,,trzx.cn/bulletin/2006/2006-6-28/index.htm 与 trzx.cn/zhshxch/index.htm（铁人2006喜报）
2003,中考生源,中考全市前50名,8,6,33,三校合计47，全市前50,yz.dqt.com.cn/myprogram/dongt/detail.asp?n_id=735（一中《2003年中考招生情况》）
2003,中考生源,中考480分以上,140,72,342,三校合计554；一中称全市480分以上共500余人,yz.dqt.com.cn/myprogram/dongt/detail.asp?n_id=735（一中《2003年中考招生情况》）
2003,外县生源,外市县中考状元,,,30余名,铁人喜报原文：“萨区同类校还有外市县中考状元30多人”,trzx.cn/bulletin/2006/2006-6-28/index.htm 与 trzx.cn/zhshxch/index.htm（铁人2006喜报）
2003,外县生源,外市县尖子生,,,300余名,铁人喜报原文：“及300余名外市县尖子生”,trzx.cn/bulletin/2006/2006-6-28/index.htm 与 trzx.cn/zhshxch/index.htm（铁人2006喜报）
2003,外县生源,俄语班外县生占比,,,52/64（81%）,03级21班，51人来自乡镇中学,dqsy.com.cn/class/0321/htdocs/index2.html（实验03级21班班级简介）
2003,招生口径,招生简章表述,,,立足本市，面向全省，计划招生740人,国际部120（含面向全省的英语留学班30、俄语30）；艺体50；宏志班面向全省50,sy.dq.hl.cn/joinus/（实验招生简章，2003-04-15 / 2004-07-27 两次存档）
2004,中考生源,中考640分以上,19,16,25,全市60人,trzx.cn/zhshxch/zhk04.htm（铁人《2004年市内中考各校录取情况》）
2004,中考生源,中考630分以上,84,45,85,全市215人,trzx.cn/zhshxch/zhk04.htm（铁人《2004年市内中考各校录取情况》）
2004,中考生源,统招线/录取人数,607分/399人,583分/333人,603分/447人,与本项目所用中考名册逐档吻合,trzx.cn/zhshxch/zhk04.htm（铁人《2004年市内中考各校录取情况》）
2004,招生口径,招生简章表述,,,面向全市计划招生750人；在全省招收宏志班50人,国际部只剩俄语50；艺体50→30；宏志班注明为省委宣传部、省教育厅专项,sy.dq.hl.cn/joinus/（实验招生简章，2003-04-15 / 2004-07-27 两次存档）
2005,中考生源,中考前20名（实验区、非实验区各10名）,8,,7,,trzx.cn/news/1/89.html（铁人《2008年高考成绩》）
2005,中考生源,中考前100名（各50名）,39,,53,,trzx.cn/news/1/89.html（铁人《2008年高考成绩》）
2005,中考生源,中考前200名（各100名）,72,,102,,trzx.cn/news/1/89.html（铁人《2008年高考成绩》）
2005,中考生源,非实验区（9604人）前30名录取数,,,1,实验自述,dqsy.com.cn/xibao/index.htm（实验历年高考喜报）
2005,中考生源,非实验区前100名录取数,,,16,实验自述,dqsy.com.cn/xibao/index.htm（实验历年高考喜报）
2005,中考生源,统招生人数（推算）,,,约378,实验自述“统招生有2/3（252人）在同类校统招线以下”,dqsy.com.cn/xibao/index.htm（实验历年高考喜报）
