指标,铁人中学,大庆一中,萨区同类校,备注,来源页
中考全市前10名,1,0,8,,trzx.cn/zhshxch/index.htm 与 yz.dqt.com.cn/myprogram/dongt/detail.asp?n_id=735
中考全市前20名,2,0,16,,trzx.cn/zhshxch/index.htm 与 yz.dqt.com.cn/myprogram/dongt/detail.asp?n_id=735
中考全市前30名,5,1,21,,trzx.cn/zhshxch/index.htm 与 yz.dqt.com.cn/myprogram/dongt/detail.asp?n_id=735
中考全市前40名,7,6,27,,trzx.cn/zhshxch/index.htm 与 yz.dqt.com.cn/myprogram/dongt/detail.asp?n_id=735
中考全市前50名,8,6,33,,trzx.cn/zhshxch/index.htm 与 yz.dqt.com.cn/myprogram/dongt/detail.asp?n_id=735
中考480分以上高分段,140,72,342,全市480分以上共500余人；萨区同类校另有外市县中考状元30余名、外市县尖子生300余名,trzx.cn/zhshxch/index.htm 与 yz.dqt.com.cn/myprogram/dongt/detail.asp?n_id=735
2006年参加高考人数,1308,872,2104,铁人含文科252人；萨区同类校含文科599人,trzx.cn/zhshxch/index.htm 与 yz.dqt.com.cn/myprogram/dongt/detail.asp?n_id=735
2006年高考理科700分以上,1,3,2,一中数据取自其“实际人数”一栏,trzx.cn/zhshxch/index.htm 与 yz.dqt.com.cn/myprogram/dongt/detail.asp?n_id=735
2006年高考理科680分以上,20,11,34,,trzx.cn/zhshxch/index.htm 与 yz.dqt.com.cn/myprogram/dongt/detail.asp?n_id=735
2006年高考文科640分以上,5,,10,,trzx.cn/zhshxch/index.htm 与 yz.dqt.com.cn/myprogram/dongt/detail.asp?n_id=735
2006年市内中考线以上考生数,599,,578,大庆市教育局统计,trzx.cn/zhshxch/index.htm 与 yz.dqt.com.cn/myprogram/dongt/detail.asp?n_id=735
2006年市内中考线以下考生数,82,,181,大庆市教育局统计,trzx.cn/zhshxch/index.htm 与 yz.dqt.com.cn/myprogram/dongt/detail.asp?n_id=735
