学校,名册类型,附件地址,状态,备注
大庆实验中学,普通统招,http://202.97.254.98/images/upfile/1.xls,已有（来自 HTML 版名册页）,Wayback 返回 404，未存档
大庆实验中学,艺体统招,http://202.97.254.98/images/upfile/2.xls,未获取,Wayback 返回 404，未存档
大庆实验中学,艺体特长自费,http://202.97.254.98/images/upfile/3.xls,未获取,Wayback 返回 404，未存档
大庆实验中学,自费,http://202.97.254.98/images/upfile/4.xls,未获取,Wayback 返回 404，未存档
大庆铁人中学,普通统招,http://202.97.254.98/images/upfile/5.xls,已有（来自 HTML 版名册页）,Wayback 返回 404，未存档
大庆铁人中学,艺体统招,http://202.97.254.98/images/upfile/6.xls,未获取,Wayback 返回 404，未存档
大庆铁人中学,艺体特长自费,http://202.97.254.98/images/upfile/7.xls,未获取,Wayback 返回 404，未存档
大庆铁人中学,自费,http://202.97.254.98/images/upfile/8.xls,未获取,Wayback 返回 404，未存档
大庆一中,普通统招,http://202.97.254.98/images/upfile/9.xls,已有（来自 HTML 版名册页）,Wayback 返回 404，未存档
大庆一中,艺体统招,http://202.97.254.98/images/upfile/10.xls,未获取,Wayback 返回 404，未存档
大庆一中,艺体特长自费,http://202.97.254.98/images/upfile/11.xls,未获取,Wayback 返回 404，未存档
大庆一中,自费,http://202.97.254.98/images/upfile/12.xls,未获取,Wayback 返回 404，未存档
大庆中学,普通统招,http://202.97.254.98/images/upfile/13.xls,已有（来自 HTML 版名册页）,Wayback 返回 404，未存档
大庆中学,艺体统招,http://202.97.254.98/images/upfile/14.xls,未获取,Wayback 返回 404，未存档
大庆中学,艺体特长自费,http://202.97.254.98/images/upfile/15.xls,未获取,Wayback 返回 404，未存档
大庆中学,自费,http://202.97.254.98/images/upfile/16.xls,未获取,Wayback 返回 404，未存档
大庆东风中学,普通统招,http://202.97.254.98/images/upfile/17.xls,已有（来自 HTML 版名册页）,Wayback 返回 404，未存档
大庆东风中学,艺体统招,http://202.97.254.98/images/upfile/18.xls,未获取,Wayback 返回 404，未存档
大庆东风中学,艺体特长自费,http://202.97.254.98/images/upfile/19.xls,未获取,Wayback 返回 404，未存档
大庆东风中学,自费,http://202.97.254.98/images/upfile/20.xls,未获取,Wayback 返回 404，未存档
大庆二十三中学,普通统招,http://202.97.254.98/images/upfile/21.xls,已有（来自 HTML 版名册页）,Wayback 返回 404，未存档
大庆二十三中学,艺体统招,http://202.97.254.98/images/upfile/22.xls,未获取,Wayback 返回 404，未存档
大庆二十三中学,艺体特长自费,http://202.97.254.98/images/upfile/23.xls,未获取,Wayback 返回 404，未存档
大庆二十三中学,自费,http://202.97.254.98/images/upfile/24.xls,未获取,Wayback 返回 404，未存档
大庆四中,普通统招,http://202.97.254.98/images/upfile/25.xls,已有（来自 HTML 版名册页）,Wayback 返回 404，未存档
大庆四中,艺体统招,http://202.97.254.98/images/upfile/26.xls,未获取,Wayback 返回 404，未存档
大庆四中,艺体特长自费,http://202.97.254.98/images/upfile/27.xls,未获取,Wayback 返回 404，未存档
大庆四中,自费,http://202.97.254.98/images/upfile/28.xls,未获取,Wayback 返回 404，未存档
—,大庆市2005年中考 非课改第二批次录取结果,http://202.97.254.98/xjbxxwl/wwwnrbk/www/xwzx1bk/jysdbk/upload/attach2005_07/1121495802437.xls,未获取,Wayback 返回 404，未存档
—,大庆市2005年中考 课改第二批次录取结果,http://202.97.254.98/xjbxxwl/wwwnrbk/www/xwzx1bk/jysdbk/upload/attach2005_07/1121495823031.xls,未获取,Wayback 返回 404，未存档
—,大庆市2005年中考 录取结果（7-26 批次）,http://202.97.254.98/xjbxxwl/wwwnrbk/www/xwzx1bk/jysdbk/upload/attach2005_07/1122362763361.xls,未获取,Wayback 返回 404，未存档
—,大庆市2005年 普通高校招生院校录取名单（7月9–12日）,http://202.97.254.98/xjbxxwl/wwwnrbk/www/xwzx1bk/jysdbk/upload/attach2005_07/1121216318843.doc,未获取,Wayback 返回 404，未存档
—,大庆市2006年中考 录取结果 附件1,http://202.97.254.98/xjbxxwl/wwwnrbk/www/xwzx1bk/jysdbk/upload/attach2006_06/,未获取,见 id 11438 页面内的四个 xls 链接
—,大庆市2006年中考 录取结果 附件2,http://202.97.254.98/xjbxxwl/wwwnrbk/www/xwzx1bk/jysdbk/upload/attach2006_06/,未获取,见 id 11438 页面内的四个 xls 链接
—,大庆市2006年中考 录取结果 附件3,http://202.97.254.98/xjbxxwl/wwwnrbk/www/xwzx1bk/jysdbk/upload/attach2006_06/,未获取,见 id 11438 页面内的四个 xls 链接
—,大庆市2006年中考 录取结果 附件4,http://202.97.254.98/xjbxxwl/wwwnrbk/www/xwzx1bk/jysdbk/upload/attach2006_06/,未获取,见 id 11438 页面内的四个 xls 链接
