高考年,对应中考年,指标,大庆铁人中学,大庆一中,大庆实验中学,备注,来源页
2004,2001,考入清华北大,29,,,全市58人，铁人占50%,trzx.cn/news/1/89.html（铁人《铁人办学优势 general.htm》）
2005,2002,考入清华北大,32,23（预计）,,全市53人,yz.dqt.com.cn/w_zhaosheng2005/index-xb.htm（一中2005喜报）
2006,2003,考入清华北大,26,,44,,dqsy.com.cn/xibao/index.htm（实验历年高考喜报）
2006,2003,理科680分以上（全校）,20,11,34,全市68人,dqsy.com.cn/xibao/index.htm（实验历年高考喜报）
2006,2003,参加高考人数,1308（文252）,872,2104（文599）,,trzx.cn/bulletin/2006/2006-6-28/index.htm 与 trzx.cn/zhshxch/index.htm（铁人2006喜报）
2006,2003,市内中考线以上考生数,599,,578,大庆市教育局统计；线以下 铁人82、实验181,trzx.cn/bulletin/2006/2006-6-28/index.htm 与 trzx.cn/zhshxch/index.htm（铁人2006喜报）
2007,2004,考入清华北大,20,十余人,37,实验=清华17+北大17+北大医学部3,dqsy.com.cn/xibao/index.htm（实验历年高考喜报）
2007,2004,理科680分以上（全校）,21,10,39,全市73人,yz.dqt.com.cn/2007/fenbu.htm（一中《大庆市2007年高考高分段人数分布表》）
2007,2004,其中 市区应届,9,10,9,全市29人,yz.dqt.com.cn/2007/fenbu.htm（一中《大庆市2007年高考高分段人数分布表》）
2007,2004,其中 外县,7,0,10,全市17人（仅计已拆分的三校）,yz.dqt.com.cn/2007/fenbu.htm（一中《大庆市2007年高考高分段人数分布表》）
2007,2004,其中 重读,5,0,20,全市25人（仅计已拆分的三校）,yz.dqt.com.cn/2007/fenbu.htm（一中《大庆市2007年高考高分段人数分布表》）
2007,2004,理科690分以上（全校）,6,5,15,全市27人；市区应届共11人,yz.dqt.com.cn/2007/fenbu.htm（一中《大庆市2007年高考高分段人数分布表》）
2007,2004,690分以上 其中重读,1,0,9,,yz.dqt.com.cn/2007/fenbu.htm（一中《大庆市2007年高考高分段人数分布表》）
2008,2005,考入清华北大,28,11,23,铁人2008喜报同时给出三校数字,trzx.cn/news/1/89.html（铁人《2008年高考成绩》）
2008,2005,理科675分以上（全校）,,,26,实验自述“有望达到清华、北大录取分数线”,dqsy.com.cn/xibao/index.htm（实验历年高考喜报）
2008,2005,理科675分以上（市内应届）,17,,4,铁人《2008年市内应届高考情况统计表》,trzx.cn/news/1/89.html（铁人《2008年高考成绩》）
2008,2005,理科690分以上（全校）,8,,,,trzx.cn/news/1/89.html（铁人《2008年高考成绩》）
2008,2005,理科690分以上（市内应届）,5,,1,,trzx.cn/news/1/89.html（铁人《2008年高考成绩》）
2008,2005,理科680分以上（市内应届）,9,10,1,一中数据取自其2009年办学优势页,trzx.cn/news/1/89.html（铁人《2008年高考成绩》）
2008,2005,文科630分以上（全校）,,,30,实验自述,dqsy.com.cn/xibao/index.htm（实验历年高考喜报）
2008,2005,文科630分以上（市内应届）,11,,3,,trzx.cn/news/1/89.html（铁人《2008年高考成绩》）
