学校,年份,类别,内容,来源页
鸡西一中,2004,高考,600 分以上 59 人，占全市 55%；全市理科前 10 名占 8 人；全省前 50 名占 6 人、前 100 名占 10 人,jxyz.net 打印页 id=380175
鸡西一中,1986–2006,高考,历年省状元／高分：1986 全省理科第6、1996 全省理科第2、2004 全省理科第2与第9、2005 全省文科状元、2006 全省文科第2,jxyz.net/typenews.asp?id=83
鹤岗一中,2005,高考,理科 680 分以上全市 7 人、一中 6 人；650 分以上全市 35 人、一中 32 人（91.4%）；640 分以上全市 61 人、一中 56 人（91.8%）,hgyz.net/gkzs/gkzl/article05.asp
鹤岗一中,2005,高考,重点大学进段 417 人，占全市 77.4%；二表 863 人；“十大名校”进段 102 人,hgyz.net/gkzs/gkzl/article05.asp
鹤岗一中,2005,择校生,择校生 600 分以上 41 人，最高 683 分；择校生重点大学进段 92 人、二表 368 人,hgyz.net/gkzs/gkzl/article05.asp
佳木斯一中,2006,招生,《佳一中 2006 年外市县招生简章》《佳一中 2006 外市县初中优秀毕业生报名表》——公开面向外市县招生,jmsyz.net/info/More?levelID=100102
佳木斯一中,2007,招生,《佳一中 2007 年外地市初中优秀毕业生招生简章》《2007 年外地招生网上报名流程》《2007 年外地市优秀初中毕业生招生考试选拔结果及成绩查询》——自设选拔考试并公示结果,jmsyz.net/info/More?siteID=1&levelID=100102
佳木斯一中,2008,招生,《我校 2008 年外市县初中毕业生选拔名单》《佳一中外市县招生考试重要通知》《佳一中 2008 年外地市考生招生信息》,jmsyz.net/info/data/publish/100.jsp
佳木斯一中,2012,高考,文理科 600 分以上 171 人（含回外市县报考的 16 人），占佳木斯市区及所辖市县 600 分以上人数的 95%,jmsyz.net 2012届高考巡礼 id=368950
大庆实验中学,2007,高考,理科 600 分以上 489 人、文科 100 人；理科 680 分以上 39 人（市区应届 9／外县 10／重读 20）,dqsy.com.cn 喜报 + yz.dqt.com.cn/2007/fenbu.htm
大庆铁人中学,2007,高考,考入重点大学 821 人；理科 680 分以上 21 人（市区应届 9／外县 7／重读 5）,trzx.cn/gen/9/127.html + fenbu.htm
大庆一中,2007,高考,理科 680 分以上 10 人，全部为市区应届；市区应届毕业生 621 人，重本 365 人,yz.dqt.com.cn/07xb.htm + fenbu.htm
全市对照,2007,高考,大庆全市理科 680 分以上 73 人；作为对照，鹤岗全市 2005 年理科 680 分以上仅 7 人,fenbu.htm / hgyz.net
