城市,学校,录取类别,中考录取分数线,来源,口径说明
佳木斯,第一中学,统招一次择优,593.5,jmszkb.com/list.asp?articleid=1981 佳木斯市招生考试委员会办公室《2004年初中升高中录取工作于7月23日结束》（2004-07-27 发布）,录取总分口径；出现 .5 半分，最可能是未对体育分进位取整
佳木斯,第一中学,二次择优,588,jmszkb.com/list.asp?articleid=1981 佳木斯市招生考试委员会办公室《2004年初中升高中录取工作于7月23日结束》（2004-07-27 发布）,录取总分口径；出现 .5 半分，最可能是未对体育分进位取整
佳木斯,第一中学,一次配额,584,jmszkb.com/list.asp?articleid=1981 佳木斯市招生考试委员会办公室《2004年初中升高中录取工作于7月23日结束》（2004-07-27 发布）,录取总分口径；出现 .5 半分，最可能是未对体育分进位取整
佳木斯,第一中学,二次配额,569,jmszkb.com/list.asp?articleid=1981 佳木斯市招生考试委员会办公室《2004年初中升高中录取工作于7月23日结束》（2004-07-27 发布）,录取总分口径；出现 .5 半分，最可能是未对体育分进位取整
佳木斯,第一中学,二次配额（薄弱学校）,564,jmszkb.com/list.asp?articleid=1981 佳木斯市招生考试委员会办公室《2004年初中升高中录取工作于7月23日结束》（2004-07-27 发布）,录取总分口径；出现 .5 半分，最可能是未对体育分进位取整
佳木斯,第一中学,自费,545,jmszkb.com/list.asp?articleid=1981 佳木斯市招生考试委员会办公室《2004年初中升高中录取工作于7月23日结束》（2004-07-27 发布）,录取总分口径；出现 .5 半分，最可能是未对体育分进位取整
佳木斯,第二中学,统招一次择优,559.5,jmszkb.com/list.asp?articleid=1981 佳木斯市招生考试委员会办公室《2004年初中升高中录取工作于7月23日结束》（2004-07-27 发布）,录取总分口径；出现 .5 半分，最可能是未对体育分进位取整
佳木斯,第二中学,二次择优,555.5,jmszkb.com/list.asp?articleid=1981 佳木斯市招生考试委员会办公室《2004年初中升高中录取工作于7月23日结束》（2004-07-27 发布）,录取总分口径；出现 .5 半分，最可能是未对体育分进位取整
佳木斯,第二中学,一次配额,535,jmszkb.com/list.asp?articleid=1981 佳木斯市招生考试委员会办公室《2004年初中升高中录取工作于7月23日结束》（2004-07-27 发布）,录取总分口径；出现 .5 半分，最可能是未对体育分进位取整
佳木斯,第二中学,二次配额,530,jmszkb.com/list.asp?articleid=1981 佳木斯市招生考试委员会办公室《2004年初中升高中录取工作于7月23日结束》（2004-07-27 发布）,录取总分口径；出现 .5 半分，最可能是未对体育分进位取整
佳木斯,第二中学,自费,430.5,jmszkb.com/list.asp?articleid=1981 佳木斯市招生考试委员会办公室《2004年初中升高中录取工作于7月23日结束》（2004-07-27 发布）,录取总分口径；出现 .5 半分，最可能是未对体育分进位取整
佳木斯,第十一中学,统招,517.5,jmszkb.com/list.asp?articleid=1981 佳木斯市招生考试委员会办公室《2004年初中升高中录取工作于7月23日结束》（2004-07-27 发布）,录取总分口径；出现 .5 半分，最可能是未对体育分进位取整
佳木斯,第十一中学,自费,351.5,jmszkb.com/list.asp?articleid=1981 佳木斯市招生考试委员会办公室《2004年初中升高中录取工作于7月23日结束》（2004-07-27 发布）,录取总分口径；出现 .5 半分，最可能是未对体育分进位取整
大庆,铁人中学,统招,607,202.97.254.98《省级示范高中统招生录取分数线确定》（2004-07-13）,录取总分口径，含体育（30分，进位取整），很可能含政策加分；名册实测最高 663，与教育局公布的各校最高分逐校吻合
大庆,实验中学,统招,603,同上,录取总分口径，含体育（30分，进位取整），很可能含政策加分；名册实测最高 663，与教育局公布的各校最高分逐校吻合
大庆,大庆一中,统招,583,同上,录取总分口径，含体育（30分，进位取整），很可能含政策加分；名册实测最高 663，与教育局公布的各校最高分逐校吻合
大庆,大庆中学／四中／石油高中／东风中学,统招,574,同上,录取总分口径，含体育（30分，进位取整），很可能含政策加分；名册实测最高 663，与教育局公布的各校最高分逐校吻合
绥化,绥化一中,统招,571,content/2004/2004年-2012年绥化一中绥化二中绥化七中高中录取分数线.csv（用户整理，来源为绥化当地公开报道）,录取总分口径（细节未载明，与大庆同类）
绥化,绥化二中、绥化七中,统招,534,content/2004/2004年-2012年绥化一中绥化二中绥化七中高中录取分数线.csv（用户整理，来源为绥化当地公开报道）,录取总分口径（细节未载明，与大庆同类）
