年份,指标,全市人数,大庆实验中学人数,我校人数(含保送),原文占比,计算占比,备注
2006,考入清华北大人数,65,42,44,64.6%,64.6%,柱状图未含保送生，含保送共44人
2007,考入清华北大人数,53,32,37,60.4%,60.4%,柱状图未含保送生，含保送共37人
2008,考入清华北大人数,57,20,23,35.1%,35.1%,柱状图未含保送生，含保送共23人
2009,考入清华北大人数,63,33,33,52.4%,52.4%,
2010,考入清华北大人数,71,44,44,61.9%,62.0%,
2011,考入清华北大人数,76,45,45,59.2%,59.2%,
2012,考入清华北大人数,79,40,40,50.6%,50.6%,
2006,高考600分以上人数,1552,595,,38.3%,38.3%,
2007,高考600分以上人数,1692,591,,34.9%,34.9%,
2008,高考600分以上人数,1766,581,,32.9%,32.9%,
2009,高考600分以上人数,807,332,,41.1%,41.1%,
2010,高考600分以上人数,761,386,,50.7%,50.7%,
2011,高考600分以上人数,1487,634,,42.6%,42.6%,
2012,高考600分以上人数,757,344,,45.4%,45.4%,
2006,高考重本上线人数,2606,860,,33.0%,33.0%,
2007,高考重本上线人数,2470,780,,31.6%,31.6%,
2008,高考重本上线人数,2938,872,,29.7%,29.7%,
2009,高考重本上线人数,2888,903,,31.3%,31.3%,
2010,高考重本上线人数,2980,996,,33.4%,33.4%,
2011,高考重本上线人数,3871,1197,,30.9%,30.9%,
2012,高考重本上线人数,3412,964,,28.3%,28.3%,
2006,高考普本上线人数,6086,1312,,21.6%,21.6%,
2007,高考普本上线人数,6361,1328,,20.9%,20.9%,
2008,高考普本上线人数,7156,1529,,21.4%,21.4%,
2009,高考普本上线人数,7175,1557,,21.7%,21.7%,
2010,高考普本上线人数,5887,1556,,26.6%,26.4%,原文占比与人数不符（计算值26.4%）
2011,高考普本上线人数,8946,1809,,20.2%,20.2%,
2012,高考普本上线人数,8258,1411,,17.1%,17.1%,
