分数段,科类,全市人数(含四县),大庆实验中学人数,实验中学占全市比例
700分以上,理科,5,2,40.0%
690分以上,理科,27,15,55.6%
685分以上,理科,45,25,55.6%
680分以上,理科,73,39,53.4%
675分以上,理科,104,54,51.9%
670分以上,理科,140,70,50.0%
665分以上,理科,186,91,48.9%
660分以上,文科,1,1,100.0%
660分以上,理科,240,120,50.0%
655分以上,文科,4,2,50.0%
655分以上,理科,303,144,47.5%
650分以上,文科,8,5,62.5%
650分以上,理科,348,162,46.6%
640分以上,文科,14,8,57.1%
640分以上,理科,507,225,44.4%
630分以上,文科,46,22,47.8%
630分以上,理科,663,291,43.9%
620分以上,文科,84,44,52.4%
620分以上,理科,865,360,41.6%
610分以上,文科,141,73,51.8%
610分以上,理科,1073,431,40.2%
600分以上,文科,213,100,46.9%
600分以上,理科,1319,489,37.1%
