分数,本段人数,累计人数
709,1,1
706,1,2
701,2,4
699,2,6
698,2,8
697,1,9
696,3,12
695,1,13
694,2,15
693,1,16
692,3,19
691,2,21
689,6,27
688,6,33
687,7,40
686,7,47
685,7,54
684,5,59
683,9,68
682,5,73
681,8,81
680,14,95
679,9,104
678,12,116
677,15,131
676,16,147
675,9,156
674,9,165
673,18,183
672,18,201
671,18,219
670,20,239
669,13,252
668,20,272
667,23,295
666,28,323
665,22,345
664,29,374
663,41,415
662,39,454
661,32,486
660,35,521
659,33,554
658,43,597
657,39,636
656,46,682
655,49,731
654,41,772
653,48,820
652,46,866
651,55,921
650,34,955
649,44,999
648,52,1051
647,67,1118
646,38,1156
645,60,1216
644,61,1277
643,51,1328
642,49,1377
641,69,1446
640,64,1510
639,70,1580
638,66,1646
637,70,1716
636,80,1796
635,81,1877
634,77,1954
633,74,2028
632,88,2116
631,71,2187
630,83,2270
629,95,2365
628,79,2444
627,94,2538
626,100,2638
625,92,2730
624,104,2834
623,89,2923
622,86,3009
621,102,3111
620,104,3215
619,107,3322
618,133,3455
617,102,3557
616,108,3665
615,101,3766
614,116,3882
613,116,3998
612,118,4116
611,128,4244
610,107,4351
609,119,4470
608,158,4628
607,121,4749
606,130,4879
605,135,5014
604,129,5143
603,137,5280
602,129,5409
601,140,5549
600,119,5668
599,120,5788
598,166,5954
597,143,6097
596,166,6263
595,125,6388
594,119,6507
593,161,6668
592,146,6814
591,171,6985
590,133,7118
589,147,7265
588,148,7413
587,128,7541
586,165,7706
585,166,7872
584,152,8024
583,139,8163
582,172,8335
581,171,8506
580,166,8672
579,162,8834
578,166,9000
577,188,9188
576,171,9359
575,178,9537
574,154,9691
573,179,9870
572,177,10047
571,177,10224
570,169,10393
569,170,10563
568,165,10728
567,208,10936
566,197,11133
565,178,11311
564,188,11499
563,166,11665
562,193,11858
561,216,12074
560,191,12265
559,203,12468
558,175,12643
557,214,12857
556,220,13077
555,185,13262
554,188,13450
553,208,13658
552,212,13870
551,200,14070
550,216,14286
549,217,14503
548,246,14749
547,225,14974
546,222,15196
545,229,15425
544,187,15612
543,203,15815
542,251,16066
541,193,16259
540,232,16491
539,209,16700
538,215,16915
537,234,17149
536,227,17376
535,251,17627
534,237,17864
533,266,18130
532,220,18350
531,233,18583
530,255,18838
529,270,19108
528,234,19342
527,240,19582
526,241,19823
525,270,20093
524,242,20335
523,216,20551
522,248,20799
521,235,21034
520,242,21276
519,253,21529
518,253,21782
517,244,22026
516,249,22275
515,254,22529
514,265,22794
513,268,23062
512,253,23315
511,278,23593
510,258,23851
509,281,24132
508,282,24414
507,283,24697
506,240,24937
505,280,25217
504,280,25497
503,303,25800
502,286,26086
501,275,26361
500,281,26642
499,295,26937
498,277,27214
497,286,27500
496,306,27806
495,290,28096
494,295,28391
493,312,28703
492,279,28982
491,302,29284
490,309,29593
489,306,29899
488,300,30199
487,340,30539
486,267,30806
485,315,31121
484,289,31410
483,285,31695
482,323,32018
481,306,32324
480,289,32613
479,333,32946
478,304,33250
477,315,33565
476,335,33900
475,299,34199
474,315,34514
473,330,34844
472,335,35179
471,298,35477
470,321,35798
469,312,36110
468,307,36417
467,331,36748
466,293,37041
465,309,37350
464,336,37686
463,315,38001
462,329,38330
461,312,38642
460,330,38972
459,332,39304
458,320,39624
457,312,39936
456,314,40250
455,348,40598
454,329,40927
453,317,41244
452,345,41589
451,353,41942
450,354,42296
449,338,42634
448,337,42971
447,331,43302
446,350,43652
445,341,43993
444,341,44334
443,345,44679
442,350,45029
441,328,45357
440,336,45693
439,342,46035
438,337,46372
437,343,46715
436,357,47072
435,364,47436
434,332,47768
433,368,48136
432,298,48434
431,310,48744
430,350,49094
429,358,49452
428,323,49775
427,389,50164
426,362,50526
425,342,50868
424,309,51177
423,369,51546
422,348,51894
421,358,52252
420,350,52602
419,355,52957
418,341,53298
417,318,53616
416,315,53931
415,379,54310
414,350,54660
413,339,54999
412,377,55376
411,352,55728
410,324,56052
409,387,56439
408,355,56794
407,383,57177
406,373,57550
405,305,57855
404,335,58190
403,339,58529
402,300,58829
401,345,59174
400,342,59516
399,335,59851
398,353,60204
397,340,60544
396,330,60874
395,341,61215
394,345,61560
393,362,61922
392,330,62252
391,324,62576
390,354,62930
389,322,63252
388,344,63596
387,301,63897
386,333,64230
385,310,64540
384,361,64901
383,310,65211
382,314,65525
381,348,65873
380,306,66179
379,323,66502
378,319,66821
377,323,67144
376,357,67501
375,298,67799
374,342,68141
373,315,68456
372,289,68745
371,331,69076
370,299,69375
369,310,69685
368,331,70016
367,326,70342
366,337,70679
365,328,71007
364,339,71346
363,308,71654
362,321,71975
361,284,72259
360,291,72550
359,318,72868
358,304,73172
357,310,73482
356,311,73793
355,301,74094
354,277,74371
353,283,74654
352,267,74921
351,288,75209
350,279,75488
349,309,75797
348,280,76077
347,288,76365
346,285,76650
345,319,76969
344,280,77249
343,294,77543
342,293,77836
341,266,78102
340,294,78396
339,287,78683
338,298,78981
337,290,79271
336,292,79563
335,269,79832
334,276,80108
333,278,80386
332,318,80704
331,275,80979
330,288,81267
329,246,81513
328,299,81812
327,299,82111
326,267,82378
325,270,82648
324,279,82927
323,248,83175
322,310,83485
321,255,83740
320,235,83975
319,262,84237
318,261,84498
317,268,84766
316,243,85009
315,273,85282
314,249,85531
313,245,85776
312,259,86035
311,273,86308
310,246,86554
309,240,86794
308,255,87049
307,245,87294
306,214,87508
305,241,87749
304,231,87980
303,236,88216
302,230,88446
301,243,88689
300,258,88947
299,244,89191
298,247,89438
297,256,89694
296,238,89932
295,247,90179
294,259,90438
293,239,90677
292,208,90885
291,227,91112
290,217,91329
289,239,91568
288,221,91789
287,225,92014
286,210,92224
285,244,92468
284,227,92695
283,223,92918
282,210,93128
281,224,93352
280,210,93562
279,230,93792
278,221,94013
277,206,94219
276,210,94429
275,210,94639
274,213,94852
273,221,95073
272,208,95281
271,188,95469
270,193,95662
269,196,95858
268,184,96042
267,177,96219
266,190,96409
265,195,96604
264,174,96778
263,161,96939
262,177,97116
261,193,97309
260,173,97482
259,199,97681
258,188,97869
257,164,98033
256,167,98200
255,200,98400
254,173,98573
253,197,98770
252,161,98931
251,156,99087
250,170,99257
249,154,99411
248,150,99561
247,179,99740
246,177,99917
245,165,100082
244,152,100234
243,165,100399
242,138,100537
241,177,100714
240,146,100860
239,150,101010
238,166,101176
237,160,101336
236,153,101489
235,159,101648
234,143,101791
233,146,101937
232,151,102088
231,142,102230
230,130,102360
229,118,102478
228,139,102617
227,132,102749
226,127,102876
225,133,103009
224,125,103134
223,130,103264
222,118,103382
221,125,103507
220,109,103616
219,106,103722
218,128,103850
217,113,103963
216,119,104082
215,127,104209
214,121,104330
213,104,104434
212,92,104526
211,87,104613
210,99,104712
209,102,104814
208,115,104929
207,100,105029
206,111,105140
205,101,105241
204,100,105341
203,95,105436
202,91,105527
201,92,105619
200,105,105724
199,87,105811
198,94,105905
197,93,105998
196,80,106078
195,81,106159
194,83,106242
193,94,106336
192,75,106411
191,60,106471
190,75,106546
189,75,106621
188,67,106688
187,74,106762
186,61,106823
185,73,106896
184,59,106955
183,52,107007
182,54,107061
181,68,107129
180,61,107190
179,56,107246
178,59,107305
177,45,107350
176,57,107407
175,46,107453
174,45,107498
173,47,107545
172,51,107596
171,41,107637
170,37,107674
169,40,107714
168,35,107749
167,35,107784
166,32,107816
165,25,107841
164,38,107879
163,29,107908
162,30,107938
161,27,107965
160,30,107995
159,21,108016
158,29,108045
157,30,108075
156,27,108102
155,23,108125
154,20,108145
153,27,108172
152,16,108188
151,19,108207
150,20,108227
149,18,108245
148,23,108268
147,24,108292
146,18,108310
145,18,108328
144,9,108337
143,11,108348
142,18,108366
141,18,108384
140,14,108398
139,14,108412
138,16,108428
137,10,108438
136,12,108450
135,16,108466
134,6,108472
133,11,108483
132,12,108495
131,13,108508
130,15,108523
129,5,108528
128,6,108534
127,6,108540
126,12,108552
125,9,108561
124,10,108571
123,6,108577
122,3,108580
121,6,108586
120,5,108591
119,3,108594
118,4,108598
117,3,108601
116,3,108604
115,5,108609
114,1,108610
113,5,108615
112,4,108619
111,3,108622
110,4,108626
109,3,108629
108,7,108636
107,2,108638
106,1,108639
104,5,108644
103,4,108648
102,1,108649
101,5,108654
100,4,108658
97,2,108660
96,3,108663
95,3,108666
94,1,108667
93,1,108668
92,1,108669
90,3,108672
88,3,108675
86,2,108677
85,4,108681
83,2,108683
81,2,108685
80,1,108686
79,2,108688
78,2,108690
77,2,108692
76,1,108693
75,1,108694
74,2,108696
72,3,108699
71,2,108701
70,1,108702
69,1,108703
66,1,108704
65,1,108705
64,2,108707
62,1,108708
61,1,108709
60,3,108712
59,1,108713
57,1,108714
56,1,108715
55,1,108716
53,1,108717
49,1,108718
43,1,108719
41,2,108721
38,1,108722
37,2,108724
33,1,108725
32,2,108727
30,2,108729
28,1,108730
26,2,108732
25,2,108734
23,2,108736
21,1,108737
20,1,108738
19,1,108739
17,1,108740
14,2,108742
11,2,108744
3,1,108745
2,1,108746
0,1251,109997
