地区,代码
哈尔滨市,01
齐齐哈尔市,02
鸡西市,03
双鸭山市,04
大庆市,05
伊春市,06
佳木斯市,07
七台河市,09
牡丹江市,10
绥化市,23
黑河市,26
大兴安岭,27
道里区,0102
南岗区,0103
道外区,0104
太平区,0105
香坊区,0106
动力区,0107
平房区,0108
呼兰区,0121
阿城市,0122
依兰县,0123
宾县,0124
方正县,0125
双城市,0126
五常市,0127
巴彦县,0128
木兰县,0129
通河县,0130
尚志市,0131
延寿县,0132
龙沙区,0202
建华区,0203
铁锋区,0204
昂昂溪区,0205
富拉尔基,0206
碾子山区,0207
梅里斯区,0208
龙江县,0221
讷河市,0222
依安县,0223
泰来县,0224
甘南县,0225
富裕县,0227
克山县,0229
克东县,0230
拜泉县,0231
鸡东县,0321
密山市,0322
虎林县,0323
鹤岗市,0400
绥滨县,0421
萝北县,0422
集贤县,0521
宝清县,0522
友谊县,0523
饶河县,0524
萨尔图区,0601
龙凤区,0602
红岗区,0603
大同区,0604
让胡路区,0605
杜蒙自治县,0621
林甸县,0622
肇源县,0623
肇州县,0624
伊春市,0700
伊春区,0701
友好区,0702
新青区,0705
汤旺河区,0705
南岔区,0707
西林区,0707
金山屯区,0708
带岭区,0708
铁力市,0721
嘉荫县,0722
佳木斯市,0800
富锦市,0821
桦南县,0822
桦川县,0826
汤原县,0828
同江市,0831
抚远县,0833
七台河市,0900
勃利县,0921
牡丹江市,1000
绥芬河市,1020
宁安市,1021
海林市,1022
穆棱市,1023
东宁县,1024
林口县,1025
绥化市,2301
安达市,2302
海伦市,2321
肇东市,2322
望奎县,2324
兰西县,2325
青冈县,2326
庆安县,2330
明水县,2331
绥棱县,2332
黑河市,2601
北安市,2602
五大连池市,2603
嫩江县,2622
五大连池风景区,2623
逊克县,2625
孙吴县,2626
大兴安岭,2700
呼玛县,2721
塔河县,2722
漠河县,2723
加格达奇,2724
农垦总局,4000
松花江农场中学,4000
农垦总局子弟校,4000
哈尔滨分局,4041
红兴隆分局,4021
五九七高中,4022
八五二高中,4023
八五三高中,4024
宝泉岭分局,4030
建三江分局,4040
北安分局,4051
北安局二高中,4052
九三分局,4060
齐齐哈尔分局,4070
查哈阳中学,4071
克山农场中学,4072
牡丹江分局,4081
八五六高中,4082
八五一一高中,4083
八五〇高中,4083
八五四高中,4084
绥化分局,4090
森工总局,4100
通北林业,4121
沾河林业,4121
绥棱林业,4122
苇河林业,4123
山河屯林业,4124
方正林业,4125
兴隆林业,4126
清河林业,4127
亚布力林业,4128
鹤北林业,4130
桦南林业,4130
大海林林业,4141
柴河林业,4142
双鸭山林业,4143
穆棱林业,4144
东京城林业,4145
绥阳林业,4146
林口林业,4147
海林林业,4148
东方红林业,4149
迎春林业,4149
