分数,本段人数,累计人数
719,1,1
710,1,2
709,1,3
708,1,4
707,1,5
706,1,6
705,1,7
704,1,8
703,1,9
702,1,10
701,2,12
700,3,15
699,3,18
698,3,21
697,4,25
696,5,30
695,5,35
694,7,42
693,8,50
692,10,60
691,11,71
690,13,84
689,9,93
688,9,102
687,11,113
686,12,125
685,12,137
684,15,152
683,15,167
682,18,185
681,19,204
680,21,225
679,19,244
678,21,265
677,23,288
676,24,312
675,27,339
674,29,368
673,31,399
672,34,433
671,37,470
670,40,510
669,32,542
668,35,577
667,36,613
666,39,652
665,41,693
664,44,737
663,47,784
662,49,833
661,53,886
660,56,942
659,51,993
658,54,1047
657,57,1104
656,60,1164
655,63,1227
654,66,1293
653,71,1364
652,74,1438
651,78,1516
650,82,1598
649,79,1677
648,84,1761
647,87,1848
646,92,1940
645,96,2036
644,101,2137
643,106,2243
642,111,2354
641,117,2471
640,123,2594
639,115,2709
638,118,2827
637,124,2951
636,127,3078
635,133,3211
634,137,3348
633,142,3490
632,147,3637
631,152,3789
630,158,3947
629,160,4107
628,165,4272
627,170,4442
626,176,4618
625,182,4800
624,187,4987
623,194,5181
622,199,5380
621,206,5586
620,212,5798
619,209,6007
618,215,6222
617,221,6443
616,227,6670
615,234,6904
614,240,7144
613,247,7391
612,253,7644
611,261,7905
610,267,8172
609,249,8421
608,256,8677
607,261,8938
606,267,9205
605,274,9479
604,279,9758
603,286,10044
602,293,10337
601,299,10636
600,305,10941
599,303,11244
598,310,11554
597,316,11870
596,323,12193
595,329,12522
594,336,12858
593,342,13200
592,349,13549
591,356,13905
590,362,14267
589,352,14619
588,358,14977
587,365,15342
586,370,15712
585,378,16090
584,383,16473
583,390,16863
582,397,17260
581,403,17663
580,409,18072
579,404,18476
578,410,18886
577,416,19302
576,422,19724
575,429,20153
574,435,20588
573,441,21029
572,447,21476
571,454,21930
570,460,22390
569,441,22831
568,446,23277
567,452,23729
566,457,24186
565,463,24649
564,468,25117
563,475,25592
562,479,26071
561,485,26556
560,491,27047
559,487,27534
558,487,28021
557,486,28507
556,487,28994
555,487,29481
554,487,29968
553,487,30455
552,486,30941
551,487,31428
550,487,31915
549,508,32423
548,508,32931
547,508,33439
546,508,33947
545,507,34454
544,508,34962
543,508,35470
542,508,35978
541,508,36486
540,508,36994
539,500,37494
538,499,37993
537,499,38492
536,500,38992
535,500,39492
534,499,39991
533,499,40490
532,500,40990
531,500,41490
530,499,41989
529,526,42515
528,525,43040
527,526,43566
526,526,44092
525,526,44618
524,525,45143
523,526,45669
522,526,46195
521,525,46720
520,526,47246
519,481,47727
518,481,48208
517,481,48689
516,481,49170
515,480,49650
514,481,50131
513,481,50612
512,481,51093
511,481,51574
510,481,52055
509,481,52536
508,480,53016
507,480,53496
506,481,53977
505,481,54458
504,480,54938
503,480,55418
502,481,55899
501,481,56380
500,480,56860
499,453,57313
498,453,57766
497,453,58219
496,453,58672
495,454,59126
494,453,59579
493,453,60032
492,453,60485
491,453,60938
490,453,61391
489,438,61829
488,438,62267
487,437,62704
486,438,63142
485,438,63580
484,438,64018
483,438,64456
482,437,64893
481,438,65331
480,438,65769
479,426,66195
478,426,66621
477,426,67047
476,426,67473
475,425,67898
474,426,68324
473,426,68750
472,426,69176
471,426,69602
470,426,70028
469,412,70440
468,413,70853
467,412,71265
466,412,71677
465,413,72090
464,412,72502
463,412,72914
462,412,73326
461,413,73739
460,412,74151
459,397,74548
458,396,74944
457,396,75340
456,397,75737
455,397,76134
454,396,76530
453,396,76926
452,397,77323
451,397,77720
450,396,78116
449,404,78520
448,404,78924
447,404,79328
446,402,79730
445,403,80133
444,402,80535
443,401,80936
442,401,81337
441,400,81737
440,399,82136
439,376,82512
438,376,82888
437,375,83263
436,374,83637
435,374,84011
434,373,84384
433,373,84757
432,372,85129
431,371,85500
430,370,85870
429,367,86237
428,367,86604
427,366,86970
426,364,87334
425,365,87699
424,363,88062
423,363,88425
422,361,88786
421,361,89147
420,360,89507
419,369,89876
418,367,90243
417,367,90610
416,366,90976
415,365,91341
414,363,91704
413,363,92067
412,362,92429
411,360,92789
410,360,93149
409,350,93499
408,349,93848
407,347,94195
406,347,94542
405,345,94887
404,345,95232
403,343,95575
402,342,95917
401,341,96258
400,340,96598
399,348,96946
398,347,97293
397,346,97639
396,344,97983
395,344,98327
394,342,98669
393,340,99009
392,339,99348
391,338,99686
390,337,100023
389,342,100365
388,341,100706
387,339,101045
386,338,101383
385,336,101719
384,335,102054
383,334,102388
382,332,102720
381,330,103050
380,329,103379
379,333,103712
378,331,104043
377,330,104373
376,328,104701
375,326,105027
374,325,105352
373,323,105675
372,322,105997
371,320,106317
370,318,106635
369,311,106946
368,310,107256
367,307,107563
366,307,107870
365,304,108174
364,303,108477
363,301,108778
362,300,109078
361,298,109376
360,296,109672
359,299,109971
358,298,110269
357,296,110565
356,294,110859
355,293,111152
354,290,111442
353,289,111731
352,287,112018
351,285,112303
350,284,112587
349,290,112877
348,288,113165
347,286,113451
346,284,113735
345,282,114017
344,281,114298
343,278,114576
342,277,114853
341,274,115127
340,273,115400
339,275,115675
338,273,115948
337,271,116219
336,270,116489
335,267,116756
334,265,117021
333,263,117284
