学校,年份,文化课满分,统招线,自费线,口径,来源
一中,2004,560,535.6,534.3,原表备注：总分为文化总分，统招录取分数为文化成绩＋体育成绩＋政策加分，自费录取分数为文化成绩＋体育成绩,hledu.net/zhongkao/ShowArticle.asp?ArticleID=414 哈尔滨市教育信息网《省重点高中历年录取分数对比》（快照 20050404233327）
一中,2003,（原表未标）,579.5,577.5,原表备注：总分为文化总分，统招录取分数为文化成绩＋体育成绩＋政策加分，自费录取分数为文化成绩＋体育成绩,hledu.net/zhongkao/ShowArticle.asp?ArticleID=414 哈尔滨市教育信息网《省重点高中历年录取分数对比》（快照 20050404233327）
一中,2002,（原表未标）,531.0,526.5,原表备注：总分为文化总分，统招录取分数为文化成绩＋体育成绩＋政策加分，自费录取分数为文化成绩＋体育成绩,hledu.net/zhongkao/ShowArticle.asp?ArticleID=414 哈尔滨市教育信息网《省重点高中历年录取分数对比》（快照 20050404233327）
三中,2004,560,556.0,546.7,原表备注：总分为文化总分，统招录取分数为文化成绩＋体育成绩＋政策加分，自费录取分数为文化成绩＋体育成绩,hledu.net/zhongkao/ShowArticle.asp?ArticleID=414 哈尔滨市教育信息网《省重点高中历年录取分数对比》（快照 20050404233327）
三中,2003,（原表未标）,603.8,595.3,原表备注：总分为文化总分，统招录取分数为文化成绩＋体育成绩＋政策加分，自费录取分数为文化成绩＋体育成绩,hledu.net/zhongkao/ShowArticle.asp?ArticleID=414 哈尔滨市教育信息网《省重点高中历年录取分数对比》（快照 20050404233327）
三中,2002,（原表未标）,557.5,545.2,原表备注：总分为文化总分，统招录取分数为文化成绩＋体育成绩＋政策加分，自费录取分数为文化成绩＋体育成绩,hledu.net/zhongkao/ShowArticle.asp?ArticleID=414 哈尔滨市教育信息网《省重点高中历年录取分数对比》（快照 20050404233327）
六中（汉语班）,2004,560,539.6,538.7,原表备注：总分为文化总分，统招录取分数为文化成绩＋体育成绩＋政策加分，自费录取分数为文化成绩＋体育成绩,hledu.net/zhongkao/ShowArticle.asp?ArticleID=414 哈尔滨市教育信息网《省重点高中历年录取分数对比》（快照 20050404233327）
六中（汉语班）,2003,（原表未标）,585.0,583.5,原表备注：总分为文化总分，统招录取分数为文化成绩＋体育成绩＋政策加分，自费录取分数为文化成绩＋体育成绩,hledu.net/zhongkao/ShowArticle.asp?ArticleID=414 哈尔滨市教育信息网《省重点高中历年录取分数对比》（快照 20050404233327）
六中（汉语班）,2002,（原表未标）,533.8,531.7,原表备注：总分为文化总分，统招录取分数为文化成绩＋体育成绩＋政策加分，自费录取分数为文化成绩＋体育成绩,hledu.net/zhongkao/ShowArticle.asp?ArticleID=414 哈尔滨市教育信息网《省重点高中历年录取分数对比》（快照 20050404233327）
六中（俄语班）,2004,560,529.6,528.7,原表备注：总分为文化总分，统招录取分数为文化成绩＋体育成绩＋政策加分，自费录取分数为文化成绩＋体育成绩,hledu.net/zhongkao/ShowArticle.asp?ArticleID=414 哈尔滨市教育信息网《省重点高中历年录取分数对比》（快照 20050404233327）
