名次,分数,班级
2,646,高三一班
5,638,高三一班
8,635,高三一班
11,633,高三一班
14,632,高三一班
17,631,高三一班
20,629,高三一班
23,628,高三一班
26,627,高三一班
29,625,高三一班
32,624,高三一班
35,623,高三一班
38,622,高三一班
41,621,高三一班
44,620,高三一班
47,619,高三一班
50,618,高三一班
53,617,高三一班
56,616,高三一班
59,616,高三一班
62,615,高三一班
65,614,高三一班
68,614,高三一班
71,613,高三一班
74,612,高三一班
77,612,高三一班
80,611,高三一班
83,611,高三一班
86,610,高三一班
89,610,高三一班
92,609,高三一班
95,609,高三一班
98,608,高三一班
101,608,高三一班
104,607,高三一班
107,607,高三一班
110,606,高三一班
3,642,高三三班
6,637,高三三班
7,636,高三三班
9,634,高三三班
10,634,高三三班
12,633,高三三班
13,632,高三三班
15,631,高三三班
18,630,高三三班
19,630,高三三班
21,629,高三三班
22,629,高三三班
25,627,高三三班
27,626,高三三班
30,625,高三三班
31,624,高三三班
33,623,高三三班
34,623,高三三班
36,622,高三三班
37,622,高三三班
39,621,高三三班
42,620,高三三班
43,620,高三三班
45,619,高三三班
46,619,高三三班
48,618,高三三班
49,618,高三三班
51,618,高三三班
54,617,高三三班
55,617,高三三班
58,616,高三三班
60,615,高三三班
63,615,高三三班
64,614,高三三班
66,614,高三三班
67,614,高三三班
69,613,高三三班
72,613,高三三班
73,613,高三三班
75,612,高三三班
76,612,高三三班
78,612,高三三班
82,611,高三三班
84,610,高三三班
85,610,高三三班
88,610,高三三班
90,609,高三三班
93,609,高三三班
97,608,高三三班
99,608,
102,608,
1,650,
4,640,
16,631,
24,628,
28,626,
40,621,
52,617,
57,616,
61,615,
70,613,
79,611,
81,611,
87,610,
91,609,
94,609,
96,609,
100,608,
103,607,
105,607,
106,607,
108,607,
109,607,
111,606,
112,606,
113,606,
114,606,
115,606,
116,606,
117,605,
118,605,
119,605,
120,605,
121,605,
122,605,
123,605,
124,605,
125,604,
126,604,
127,604,
128,604,
129,604,
130,604,
131,604,
132,604,
133,603,
134,603,
135,603,
136,603,
137,603,
138,603,
139,603,
140,603,
141,603,
142,602,
143,602,
144,602,
145,602,
146,602,
147,602,
148,602,
149,602,
150,602,
151,601,
152,601,
153,601,
154,601,
155,601,
156,601,
157,601,
158,601,
159,601,
160,601,
161,600,
162,600,
163,600,
164,600,
165,600,
