市内名次,总成绩(含体育),占全市6.6万考生百分位,说明
1,577.0,0.002%,
2,576.7,0.003%,
3,575.3,0.005%,
5,574.3,0.008%,
8,573.3,0.012%,马超 573.3（大榜记「哈尔滨市中考第10名」，本表第8名，差2人）
10,572.3,0.015%,
20,571.3,0.030%,
30,570.0,0.045%,
50,568.0,0.076%,
80,566.0,0.121%,
100,565.3,0.152%,
150,563.6,0.227%,
200,562.4,0.303%,
300,560.4,0.455%,
400,558.7,0.606%,
500,557.3,0.758%,
635,556.0,0.962%,哈三中统招线 556.0（＝526文化＋30体育），表内 ≥556 共 635 人
800,553.8,1.212%,
1000,552.2,1.515%,
1500,548.0,2.273%,
2000,543.3,3.030%,
3000,533.7,4.545%,
4000,524.0,6.061%,
5000,516.0,7.576%,
6000,507.7,9.091%,
7000,494.7,10.606%,
7989,146.9,12.105%,
