条目,城市（年份）,原文／内容,来源
外市县考生能否报考,佳木斯（2004）,可以，并写明办理流程：“凡市区以外考生到我市报考示范性高中需持当地户口和初中阶段合法学籍（小学升初中报考单、初中三年学籍），经教育局中教科审查后到指定学校（市第七中学）报考，非指定学校不得接收非本地本校考生报考。此类考生毕业证由毕业学校发放，报考时不享受配额待遇。”,jmsedu.net 佳木斯市教育局《佳木斯市市区2004年基础教育招生方案》（2004-12-02 发布）
外市县考生能否报考,大庆（2004）,不可以：“由于今年省市教育行政部门严格规定不许各高中学校招收外地学生，从而避免了外地的尖子学生挤占本地学生进入英才部的现象出现。”,sy.dq.hl.cn/joinus/introduction.htm《大庆实验中学简介》（2004-08-24 存档）
外市县考生能否报考,大庆（2003）,可以：“按照大庆市外市县学生招生政策，我省部分尖子生慕名选择我校就读。”当年实验中学招进外市县中考状元 30 余人、全省竞赛尖子生 30 余人（铁人喜报口径为外市县尖子生 300 余名）,sy.dq.hl.cn/joinus/ 大庆实验中学 2003 / 2004 年招生简章
往届生（中考复读）,佳木斯（2004）,“参加过往年中考的学生不能报考一中和二中统招生部分；但可以报考其它各类高中。”,jmsedu.net 佳木斯市教育局《佳木斯市市区2004年基础教育招生方案》（2004-12-02 发布）
自费生规模,佳木斯（2004）,一中统招 380／自费 380；二中统招 400／自费 400；十一中统招 420／自费 420——自费与统招 1:1,jmsedu.net 佳木斯市教育局《佳木斯市市区2004年基础教育招生方案》（2004-12-02 发布）
自费生规模,大庆（2004）,省级示范高中自费比例上限 38%，6000 元／年；实验中学市中考名册只公布普通统招 447 人，自费名册以 xls 附件形式单独发布（4.xls，未存档）,202.97.254.98/sub1/newshow.php?id=2255 与 id=2392
配额（指标到校）,佳木斯（2004）,一中、二中配额比例 40%；分校配额线为统招线下延 15 分；薄弱校各拨 20 个名额再降 5 分；须“在该初中连续学习直到毕业并持有市区（含郊区）户口”,jmsedu.net 佳木斯市教育局《佳木斯市市区2004年基础教育招生方案》（2004-12-02 发布）
竞赛保送,佳木斯（2004）,数学、物理奥赛黑龙江赛区一、二等奖保送一中，三等奖保送二中／十一中；被确定保送者不得参加中考,jmsedu.net 佳木斯市教育局《佳木斯市市区2004年基础教育招生方案》（2004-12-02 发布）
招生规模,佳木斯（2004）,"市区初中毕业生 9,464 人（含郊区 1,827）；高中阶段计划招生 8,598 人；三所省级示范高中共 3,340 人",jmsedu.net 佳木斯市教育局《佳木斯市市区2004年基础教育招生方案》（2004-12-02 发布）
招生规模,大庆（2004）,"中考录取总表 5,760 人；实验中学面向全市计划招生 750 人＋全省宏志班 50 人；铁人 399、实验 447、一中 333（普通统招）",sy.dq.hl.cn/joinus/ 大庆实验中学 2003 / 2004 年招生简章
外市县招生（后续）,佳木斯（2006–2008）,连续三年公开进行：《外市县招生简章》《外市县初中优秀毕业生报名表》《外地招生网上报名流程》《外地市优秀初中毕业生招生考试选拔结果及成绩查询》《2008 年外市县初中毕业生选拔名单》,jmsyz.net/info/More?siteID=1&levelID=100102 等
外市县考生能否报考,鹤岗（2004）,不可以：自费生简章报名条件写明“我市应届毕业生”；通博三年制与五年制均限“鹤岗市区两县、国办、企办、民办中学的应届初中毕业生”，未设外市县通道,hgyz.net/zsdt/html/ 鹤岗一中《2004年计划外招生(自费生)简章》《通博中学招生简章》（2004-07-07 / 2004-10-15 存档）
往届生（中考复读）,鹤岗（2004）,通博五年制高中“重读生不予录取”（限应届，年龄不超过 14 周岁）,hgyz.net/zsdt/html/ 鹤岗一中《2004年计划外招生(自费生)简章》《通博中学招生简章》（2004-07-07 / 2004-10-15 存档）
自费生规模,鹤岗（2004）,“根据市政府扩招精神，我校今年将继续扩招计划外学生(自费生)500 人”；收费按距录取线的分差分档：差 1–10 分收 1 万元，11–20 分收 1.1 万元，21–30 分收 1.2 万元，31–40 分收 1.3 万元,hgyz.net/zsdt/html/ 鹤岗一中《2004年计划外招生(自费生)简章》《通博中学招生简章》（2004-07-07 / 2004-10-15 存档）
民办／联办通道,鹤岗（2004）,通博中学（依托一中、在一中二号教学楼授课）三年制高中：中考未达一中录取分数线者三年收培养费 1 万元；初中起点五年制高中 6 个班×38 人，五年共 3 万元,hgyz.net/zsdt/html/ 鹤岗一中《2004年计划外招生(自费生)简章》《通博中学招生简章》（2004-07-07 / 2004-10-15 存档）
竞赛保送,鹤岗（2003）,实验班学生周游、甄鸿祥获全国化学、生物竞赛国家级一等奖，分别被清华、北大保送,hgyz.net/gkzs/gkzl/article04.asp《铸北国名校 创一中辉煌——谈鹤岗一中2004届特优生培养》
择校生产出,鹤岗（2005）,择校生总分 600 分以上 41 人，最高分 683 分；择校生中重点大学进段 92 人、本科二表进段 368 人,hgyz.net/gkzs/gkzl/article05.asp 鹤岗一中 2005 年高考总结
