分数门槛,公布全市人数,铁人中学,大庆实验中学,大庆一中(不含外国语直升班),名册核验_全市,名册核验_铁人,名册核验_实验,名册核验_一中,来源页
650,8,2,3,3,8,2,3,3,trzx.cn/zhshxch/zhk04.htm（大庆铁人中学「2004年市内中考各校录取情况」）
645,26,10,8,8,26,10,8,8,trzx.cn/zhshxch/zhk04.htm（大庆铁人中学「2004年市内中考各校录取情况」）
644,31,11,9,11,31,11,9,11,trzx.cn/zhshxch/zhk04.htm（大庆铁人中学「2004年市内中考各校录取情况」）
643,39,13,14,12,39,13,14,12,trzx.cn/zhshxch/zhk04.htm（大庆铁人中学「2004年市内中考各校录取情况」）
641,51,15,21,15,51,15,21,15,trzx.cn/zhshxch/zhk04.htm（大庆铁人中学「2004年市内中考各校录取情况」）
640,60,19,25,16,60,19,25,16,trzx.cn/zhshxch/zhk04.htm（大庆铁人中学「2004年市内中考各校录取情况」）
639,71,24,28,19,72,24,28,19,trzx.cn/zhshxch/zhk04.htm（大庆铁人中学「2004年市内中考各校录取情况」）
638,87,28,36,23,88,28,36,23,trzx.cn/zhshxch/zhk04.htm（大庆铁人中学「2004年市内中考各校录取情况」）
637,97,32,40,26,99,32,40,26,trzx.cn/zhshxch/zhk04.htm（大庆铁人中学「2004年市内中考各校录取情况」）
636,114,38,47,30,115,38,47,29,trzx.cn/zhshxch/zhk04.htm（大庆铁人中学「2004年市内中考各校录取情况」）
635,126,44,53,31,129,44,53,31,trzx.cn/zhshxch/zhk04.htm（大庆铁人中学「2004年市内中考各校录取情况」）
634,137,47,59,35,141,47,58,35,trzx.cn/zhshxch/zhk04.htm（大庆铁人中学「2004年市内中考各校录取情况」）
633,158,56,64,38,161,56,64,38,trzx.cn/zhshxch/zhk04.htm（大庆铁人中学「2004年市内中考各校录取情况」）
632,170,63,69,40,175,63,69,40,trzx.cn/zhshxch/zhk04.htm（大庆铁人中学「2004年市内中考各校录取情况」）
631,183,72,72,40,188,72,72,40,trzx.cn/zhshxch/zhk04.htm（大庆铁人中学「2004年市内中考各校录取情况」）
630,215,84,85,45,219,84,85,45,trzx.cn/zhshxch/zhk04.htm（大庆铁人中学「2004年市内中考各校录取情况」）
625,320,122,131,65,328,122,131,65,trzx.cn/zhshxch/zhk04.htm（大庆铁人中学「2004年市内中考各校录取情况」）
620,472,186,195,82,479,186,195,82,trzx.cn/zhshxch/zhk04.htm（大庆铁人中学「2004年市内中考各校录取情况」）
615,650,263,264,111,661,263,264,111,trzx.cn/zhshxch/zhk04.htm（大庆铁人中学「2004年市内中考各校录取情况」）
610,844,351,339,135,856,351,339,135,trzx.cn/zhshxch/zhk04.htm（大庆铁人中学「2004年市内中考各校录取情况」）
607,,399,384,150,976,399,384,150,trzx.cn/zhshxch/zhk04.htm（大庆铁人中学「2004年市内中考各校录取情况」）
