班内名次,模拟均值（两模型等权）,借形状均值,正态均值,推断表原值,均值减推断表
1,649.3,648.0,650.6,648.0,+1.3
2,643.3,639.1,647.5,642.0,+1.3
3,640.6,636.5,644.6,642.0,-1.4
4,638.3,634.5,642.1,638.0,+0.3
5,636.4,632.9,639.9,636.0,+0.4
6,634.8,631.5,638.0,636.0,-1.2
7,633.4,630.3,636.5,636.0,-2.6
8,632.2,629.3,635.2,635.0,-2.8
9,631.1,628.3,633.9,633.79,-2.7
10,630.1,627.3,632.9,632.22,-2.1
11,629.2,626.4,632.0,632.0,-2.8
12,628.3,625.5,631.1,630.17,-1.9
13,627.5,624.6,630.4,630.0,-2.5
14,626.7,623.7,629.6,629.55,-2.9
15,625.9,622.9,628.9,628.38,-2.5
16,625.2,622.1,628.2,628.0,-2.8
17,624.4,621.3,627.6,627.83,-3.4
18,623.7,620.5,626.8,627.5,-3.8
19,622.9,619.7,626.1,627.5,-4.6
20,622.1,618.9,625.4,627.5,-5.4
21,621.3,618.0,624.6,626.79,-5.5
22,620.4,617.1,623.8,626.3,-5.9
23,619.6,616.1,623.0,626.0,-6.4
24,618.6,615.2,622.1,626.0,-7.4
25,617.7,614.2,621.3,625.36,-7.6
26,616.8,613.2,620.4,625.0,-8.2
27,615.9,612.3,619.5,624.91,-9.0
28,615.0,611.4,618.6,624.06,-9.0
29,614.2,610.6,617.8,623.64,-9.4
30,613.4,609.9,617.0,622.86,-9.4
31,612.7,609.2,616.1,622.48,-9.8
32,612.0,608.7,615.4,622.0,-10.0
33,611.4,608.2,614.7,621.75,-10.3
34,610.8,607.7,614.0,621.39,-10.5
35,610.3,607.3,613.3,620.71,-10.4
36,609.8,607.0,612.6,620.38,-10.6
37,609.3,606.6,612.0,619.74,-10.4
38,608.8,606.3,611.4,619.43,-10.6
39,608.4,606.0,610.8,619.0,-10.6
40,607.9,605.6,610.2,618.83,-10.9
41,607.5,605.3,609.6,618.53,-11.0
42,607.1,605.0,609.1,617.96,-10.9
43,606.7,604.7,608.6,617.15,-10.5
44,606.3,604.4,608.1,616.88,-10.6
45,605.9,604.2,607.6,616.37,-10.5
46,605.5,603.9,607.1,615.62,-10.1
47,605.1,603.6,606.6,615.38,-10.3
48,604.7,603.4,606.1,614.91,-10.2
49,604.4,603.1,605.7,614.68,-10.3
50,604.1,602.9,605.2,614.23,-10.2
51,603.7,602.6,604.8,614.01,-10.3
52,603.4,602.4,604.4,613.58,-10.2
53,603.1,602.2,604.0,613.36,-10.3
54,602.8,602.0,603.6,612.95,-10.2
55,602.5,601.8,603.2,612.74,-10.2
56,602.2,601.6,602.8,612.34,-10.1
57,601.9,601.4,602.5,612.14,-10.2
58,601.6,601.1,602.1,611.75,-10.1
59,601.4,601.0,601.8,611.56,-10.2
60,601.1,600.8,601.4,611.18,-10.1
61,600.8,600.6,601.1,611.0,-10.2
62,600.6,600.4,600.7,610.63,-10.1
63,600.3,600.2,600.4,610.46,-10.2
64,600.1,600.0,600.1,610.1,-10.0
65,599.8,599.8,599.8,609.93,-10.1
