学校名称,理科分数线,理科招生人数,文科分数线,文科招生人数
省最低控制线（一批）,527,,517,
北京大学医学部,645,18,,
北京大学,650,32,593,24
中国人民大学,621,31,573,29
清华大学,657定651,61,579,10
北京师范大学,606,23,552,17
北京外国语大学,,,,
南开大学,610,52,562,31
天津大学,573,111,521,4
大连理工大学,554,198,518,16
吉林大学,551,558,544,62
武汉大学,579,32,534,8
复旦大学,633,12,523,13
上海交通大学,636,44,,
同济大学,607,69,,
华东理工大学,568,60,,
华东师范大学,565,22,,
上海外国语大学,565,4,550,4
南京大学,592,15,,
东南大学,539,30,,
浙江大学,625,50,560,4
厦门大学,561,54,558,23
山东大学,572,45,523,21
中国海洋大学,565,40,524,15
中山大学,565,29,547,16
华中科技大学,580,50,,
兰州大学,536,24,534,20
四川大学,553,53,542,16
重庆大学,547,12,,
江南大学,527,61,527,19
西安交通大学,572,40,,
中南大学,528,124,519,16
陕西师范大学,531,19,519,18
东北师范大学,531,117,531,81
西南大学,527,12,517,14
北京语言大学,529,13,541,10
华南理工大学,552,50,,
中国政法大学,553,25,560,45
对外经济贸易大学,531,18,545,18
中央财经大学,530,24,536,12
中南财经政法大学,533,32,526,28
上海财经大学,613,17,529,8
西南财经大学,527,38,538,17
中国农业大学,552,130,,
南京农业大学,529,62,523,8
华中农业大学,519,50,518,10
西北农林科技大学,527,79,517,10
北京林业大学,540,102,519,11
湖南大学,537,79,541,11
合肥工业大学,528,100,,
西安电子科技大学,553,106,529,3
北京交通大学,527,93,535,9
北京科技大学,568,64,,
北京化工大学,547,100,517,9
北京邮电大学,583,88,536,12
北京中医药大学,527,33,,
中国传媒大学,527,27,549,15
东北大学,552,64,529,6
东华大学,528,50,,
河海大学,545,46,536,8
中国药科大学,561,35,,
中国石油大学（华东）,533,89,518,31
中国地质大学（武汉）,527,51,517,9
中国矿业大学（北京）,527,51,523,4
中国石油大学（北京）,534,68,523,2
中国地质大学（北京）,543,81,542,9
西南交通大学,529,99,517,8
电子科技大学,533,50,,
长安大学,527,79,522,11
武汉理工大学,534,51,532,9
华侨大学,,,,
山东大学威海分校,527,40,520,28
北京体育大学,530,5,522,4
北京航空航天大学,603,67,533,3
北京理工大学,570,93,530,11
南京航空航天大学,553,52,519,8
南京理工大学,548,51,,
西北工业大学,549,64,,
中国科学技术大学,618,20,,
暨南大学,549,7,529,8
中央民族大学,530,58,519,54
华北电力大学（北京）,549,53,528,11
华北电力大学（保定）,548,63,525,6
大连海事大学,542,52,517,13
中国矿业大学,527,12,,11
东北大学秦皇岛分校,,,,
上海交通大学医学院,,,,
北京第二外国语学院,528,13,539,12
北京工商大学,531,27,519,8
燕山大学,542,141,526,29
大连医科大学,,,,
辽宁工程技术大学,527,30,518,10
沈阳农业大学,517,50,,
中国医科大学,553,18,,
沈阳药科大学,534,75,,
东北财经大学,555,39,537,41
西南政法大学,533,31,526,29
西安建筑科技大学,527,40,,
内蒙古大学,528,11,517蒙428,13
石家庄铁道学院,527,85,521,9
太原理工大学,527,48,518,7
江苏大学,528,71,533,13
首都师范大学,531,10,517,10
南京信息工程大学,527,42,518,20
天津中医药大学,547,3,,
西安理工大学,527,50,,
新疆大学,533,6,523,6
深圳大学,528,17,518,18
宁波大学,527,19,517,13
天津医科大学,527,10,,
西北大学,527,27,517,17
四川农业大学,510,18,,
广西大学,527,30,,
南昌大学,527,38,517,23
辽宁大学,,,498,20
湘潭大学,530,28,517,22
云南大学,527,25,517,25
华东政法大学,528,18,527,16
湖南师范大学,,,517,20
郑州大学,527,71,522,26
福州大学,528,32,518,8
河北工业大学,527,30,,
陕西科技大学,532,8,522,
长春理工大学,527,79,525,11
苏州大学,,,,
中北大学,,,,
北京工业大学,,,,
南京师范大学,,,,
华南师范大学,,,,
浙江理工大学,,,,
湖北大学,,,,
中国民航大学,,,,
东北电力大学,,,,
重庆邮电大学,,,,
首都医科大学,,,,
南方医科大学,,,,
贵州大学,,,,
广东外语外贸大学,,,,
宁波诺丁汉大学,,,,
广西医科大学,,,,
山西医科大学,,,,
沈阳建筑大学,,,,
上海理工大学,,,,
天津财经大学,,,,
中国计量学院,,,,
大连交通大学,,,,
南通大学,,,,
广州中医药大学,,,,
河南大学,,,,
成都中医药大学,,,,
华南农业大学,,,,
浙江工业大学,,,,
南京邮电大学,,,,
南京财经大学,,,,
南京工业大学,,,,
江苏科技大学,,,,
长沙理工大学,,,,
青岛科技大学,,,,
青岛大学,,,,
浙江师范大学,,,,
大连工业大学,,,,
西交利物浦大学,,,,
上海大学,,,,
辽宁中医药大学,,,,
青岛理工大学,,,,
哈尔滨工业大学,589,1024,532,57
哈尔滨工程大学,552,514,517,17
东北林业大学,527,127,517,17
哈尔滨工程大学（联办）,513,45,489,15
哈尔滨工业大学（威海校区）,,,,
哈尔滨师范大学,529,181,522,107
哈尔滨医科大学,530,427,517,14
黑龙江大学,527,403,517,322
东北农业大学,527,430,519,16
大庆石油学院,517,1219,507,161
哈尔滨商业大学,527,148,517,84
黑龙江中医药大学,527,120,517,35
佳木斯大学,519,48,,
哈尔滨理工大学,527,498,,
齐齐哈尔医学院,,,,
齐齐哈尔大学,,,,
