地市,地市代码,理科600分以上,理科650分以上,文科600分以上,合计600分以上,来源
哈尔滨,01,616,54,16,632,https://web.archive.org/web/20040729100940/http://lah.jxsedu.com/ReadNews.asp?NewsID=2661
齐齐哈尔,02,224,19,1,225,https://web.archive.org/web/20040729100940/http://lah.jxsedu.com/ReadNews.asp?NewsID=2661
鸡西,03,106,18,1,107,https://web.archive.org/web/20040729100940/http://lah.jxsedu.com/ReadNews.asp?NewsID=2661
鹤岗,04,51,1,2,53,https://web.archive.org/web/20040729100940/http://lah.jxsedu.com/ReadNews.asp?NewsID=2661
双鸭山,05,62,6,1,63,https://web.archive.org/web/20040729100940/http://lah.jxsedu.com/ReadNews.asp?NewsID=2661
大庆,06,252,34,9,261,https://web.archive.org/web/20040729100940/http://lah.jxsedu.com/ReadNews.asp?NewsID=2661
伊春,07,45,2,1,46,https://web.archive.org/web/20040729100940/http://lah.jxsedu.com/ReadNews.asp?NewsID=2661
佳木斯,08,102,7,,102,https://web.archive.org/web/20040729100940/http://lah.jxsedu.com/ReadNews.asp?NewsID=2661
七台河,09,41,2,,41,https://web.archive.org/web/20040729100940/http://lah.jxsedu.com/ReadNews.asp?NewsID=2661
牡丹江,10,145,12,5,150,https://web.archive.org/web/20040729100940/http://lah.jxsedu.com/ReadNews.asp?NewsID=2661
绥化,23,181,8,,181,https://web.archive.org/web/20040729100940/http://lah.jxsedu.com/ReadNews.asp?NewsID=2661
黑河,26,16,,2,18,https://web.archive.org/web/20040729100940/http://lah.jxsedu.com/ReadNews.asp?NewsID=2661
大兴安岭,27,17,,,17,https://web.archive.org/web/20040729100940/http://lah.jxsedu.com/ReadNews.asp?NewsID=2661
农垦总局,40,54,5,3,57,https://web.archive.org/web/20040729100940/http://lah.jxsedu.com/ReadNews.asp?NewsID=2661
森工总局,41,23,1,,23,https://web.archive.org/web/20040729100940/http://lah.jxsedu.com/ReadNews.asp?NewsID=2661
全省合计,,1935,169,41,1976,https://web.archive.org/web/20040729100940/http://lah.jxsedu.com/ReadNews.asp?NewsID=2661
