年份,项目,赛事,名次
2006,田径,黑龙江省中学生田径运动会100米,第一名
2006,乒乓球,省中学生乒乓球赛,4个第一名
2007,田径,省青少年田径锦标赛铁饼,第一名
2007,田径,全国中学生田径锦标赛铅球,第一名
2007,乒乓球,省中学生乒乓球赛,两个第一名
2007,乒乓球,省中学生全运会,两个第一名
2008,田径,省青少年田径锦标赛400米,第一名
2008,田径,全国田径锦标赛200米,第一名
2008,乒乓球,全省中小学生乒乓球比赛团体总分,第一名
2009,田径,全国中学生田径锦标赛4×400米,第一名
2009,田径,省田径冠军赛400米,第一名
2009,田径,省青少年田径锦标赛100米、200米,第一名
2009,田径,省少年田径锦标赛400米,第一名
2009,田径,省室内田径锦标赛200米,第一名
2009,田径,省室内田径锦标赛400米,第一名
2009,乒乓球,省中学生乒乓球锦标赛混双,第一名
2009,男篮,省中学生篮球赛基点校组男篮,第一名
2009,男篮,全国耐克杯中学生联赛黑龙江赛区篮球赛基点校组男篮,第一名
2010,篮球,省中学生运动会基点校组男篮,第一名
2010,田径,黑龙江省田径锦标赛男子400米,第一名
2010,田径,黑龙江省运会男子100米,第一名
2010,田径,全国中学生田径锦标赛男子400米,第一名
2010,乒乓球,黑龙江省青少年乒乓球赛男子单打,第一名
2010,乒乓球,黑龙江省第三届中学生运动会乒乓球赛,六个第一名
2010,乒乓球,全国中学生乒乓球锦标赛男子团体,第七名
2010,乒乓球,全国中学生乒乓球锦标赛男子单打,第八名
2010,乒乓球,全国中学生乒乓球锦标赛男子双打,第八名
2011,乒乓球,省中学生乒乓球锦标赛男单、女双、女团,六个第一名
2011,乒乓球,“红双喜奥星杯”全国青少年锦标赛,第三、五名
2011,乒乓球,全国中学生乒乓球锦标赛女子双打、女子单打、女子团体、男子团体,第二、三、八、八名
2012,乒乓球,全国中学生乒乓球锦标赛男子单打、女子双打、女子团体,第一、二、五名
2012,乒乓球,省青少年乒乓球锦标赛,四个第一名、三个第二名
2012,田径,全国中学生田径锦标赛男子200米,第六名
2012,田径,省中学生田径锦标赛女子200米、4*400米、男子200米、4*400米,第一、二、二、二名
