学校名称,专业名称,最高分,最低分,平均分
清华大学,建筑学,711,697,703
清华大学,土木工程,697,681,686
清华大学,水利水电工程,685,681,682
清华大学,环境工程,686,681,683
清华大学,机械工程及自动化,685,681,684
清华大学,制造自动化与测控技术,687,682,684
清华大学,能源动力系统及自动化,690,681,685
清华大学,车辆工程,693,686,690
清华大学,工业工程,692,686,688
清华大学,电气工程及其自动化,698,687,692
清华大学,电子信息科学类,702,689,694
清华大学,计算机科学与技术,695,688,692
清华大学,自动化,694,691,692
清华大学,工程力学与航天航空工程,688,682,685
清华大学,工程物理,687,681,684
清华大学,化学工程与工业生物工程,693,684,690
清华大学,材料科学与工程,697,686,689
清华大学,数理基础科学,711,690,697
清华大学,化学,684,682,683
清华大学,生物科学,712,712,712
清华大学,工商管理类,701,689,695
清华大学,生物医学工程,700,690,695
北京大学,理科试验班,688,680,
北京大学,经济学类,705,687,
北京大学,数学类,693,653,
北京大学,物理学类,678,678,
北京大学,化学类,681,674,
北京大学,生物科学,696,661,
北京大学,电子信息科学类,688,678,
北京大学,环境科学类,699,683,
北京大学,工程力学类,683,680,
北京大学,工商管理类,690,682,
中国人民大学,金融学,684,675,
中国人民大学,法学,675,672,
中国人民大学,国际政治,668,667,
中国人民大学,数学与应用数学,681,641,
中国人民大学,环境科学,664,664,
中国人民大学,统计学,684,601,
中国人民大学,计算机科学与技术,670,665,
中国人民大学,信息管理与信息系统,671,663,
中国人民大学,工商管理类,687,619,
中国人民大学,人力资源管理,670,670,
中国人民大学,公共事业管理,626,626,
北京交通大学,理科试验班类,654,642,
北京交通大学,信息科学与计算科学,633,617,
北京交通大学,光信息科学与技术,637,618,
北京交通大学,材料化学,623,617,
北京交通大学,机械工程及自动化,634,597,
北京交通大学,测控技术与仪器,641,618,
北京交通大学,热能与动力工程,626,623,
北京交通大学,电气信息类,638,610,
北京交通大学,自动化,647,600,
北京交通大学,通信工程,650,599,
北京交通大学,计算机科学与技术,633,622,
北京交通大学,电子科学与技术,637,631,
北京交通大学,生物医学工程,647,616,
北京交通大学,软件工程,658,609,
北京交通大学,建筑学,639,624,
北京交通大学,土木工程,632,612,
北京交通大学,环境工程,634,625,
北京交通大学,交通运输类,644,604,
北京交通大学,信息管理与信息系统,645,638,
北京交通大学,工商管理类,639,612,
北京交通大学,电子商务,635,625,
北京交通大学,物流管理,651,632,
北京航空航天大学,理科试验班,673,662,
北京航空航天大学,国际经济与贸易,643,643,
北京航空航天大学,金融学,644,643,
北京航空航天大学,数学与应用数学,651,648,
北京航空航天大学,应用物理学,648,648,
北京航空航天大学,应用化学,643,643,
北京航空航天大学,材料科学与工程,666,598,
北京航空航天大学,材料成型及控制工程,649,649,
北京航空航天大学,机械工程及自动化,664,650,
北京航空航天大学,车辆工程,654,654,
北京航空航天大学,测控技术与仪器,654,653,
北京航空航天大学,热能与动力工程,652,643,
北京航空航天大学,电气工程及自动化,663,659,
北京航空航天大学,自动化,659,652,
北京航空航天大学,电子信息工程,670,663,
北京航空航天大学,计算机科学与技术,655,647,
北京航空航天大学,生物工程,657,657,
北京航空航天大学,软件工程,654,643,
北京航空航天大学,集成电路设计与集成系统,649,649,
北京航空航天大学,土木工程,645,644,
北京航空航天大学,交通运输,654,644,
