奖项编号,奖项名称,等级,全国人数,未标注省份,北京,天津,河北,山西,内蒙古,辽宁,吉林,黑龙江,上海,江苏,浙江,安徽,福建,江西,山东,河南,湖北,湖南,广东,广西,海南,重庆,四川,贵州,云南,西藏,陕西,甘肃,青海,宁夏,新疆,香港,澳门,黑龙江人数,黑龙江占全国%,来源页
1,2006年全国中学生物理竞赛(省级赛区),一等奖,934,0,31,23,43,26,21,44,32,27,31,48,39,34,26,37,47,48,44,40,37,25,12,34,41,18,19,9,32,21,12,13,20,0,0,27,2.89%,"https://web.archive.org/web/20120624074624/http://gaokao.chsi.com.cn/zsgs/bsszgmd--method-listByJxmc,year-2007.dhtml"
2,2006年全国高中数学联赛(省级赛区),一等奖,1060,0,36,38,35,36,24,36,34,36,48,48,48,38,37,39,46,41,48,48,40,25,25,35,45,20,20,10,37,35,10,20,22,0,0,36,3.40%,"https://web.archive.org/web/20120624074624/http://gaokao.chsi.com.cn/zsgs/bsszgmd--method-listByJxmc,year-2007.dhtml"
3,2006年全国高中学生化学竞赛(省级赛区),一等奖,871,0,28,31,33,29,20,36,34,19,34,43,42,32,35,33,43,41,40,44,43,18,6,32,42,6,18,0,27,24,4,8,26,0,0,19,2.18%,"https://web.archive.org/web/20120624074624/http://gaokao.chsi.com.cn/zsgs/bsszgmd--method-listByJxmc,year-2007.dhtml"
4,2006年全国高中学生化学竞赛获奖名单,二等奖,66,0,4,3,1,3,2,4,3,3,2,2,2,3,3,6,1,0,0,1,6,4,2,2,2,1,1,0,4,1,0,0,0,0,0,3,4.55%,"https://web.archive.org/web/20120624074624/http://gaokao.chsi.com.cn/zsgs/bsszgmd--method-listByJxmc,year-2007.dhtml"
5,2006年全国高中学生化学竞赛获奖名单,三等奖,48,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,3,1,0,4,4,0,0,4,4,5,5,5,5,2,4.17%,"https://web.archive.org/web/20120624074624/http://gaokao.chsi.com.cn/zsgs/bsszgmd--method-listByJxmc,year-2007.dhtml"
6,2006年全国高中学生化学竞赛获奖名单,一等奖,51,0,1,2,4,1,0,1,2,0,4,3,3,2,2,0,3,5,5,5,0,0,0,2,5,0,0,0,1,0,0,0,0,0,0,0,0.00%,"https://web.archive.org/web/20120624074624/http://gaokao.chsi.com.cn/zsgs/bsszgmd--method-listByJxmc,year-2007.dhtml"
7,2006年全国青少年信息学奥林匹克竞赛获奖名单,二等奖,32,3,1,1,2,0,0,0,1,0,2,4,1,1,3,0,3,0,2,2,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0.00%,"https://web.archive.org/web/20120624074624/http://gaokao.chsi.com.cn/zsgs/bsszgmd--method-listByJxmc,year-2007.dhtml"
8,2006年全国青少年信息学奥林匹克竞赛获奖名单,三等奖,49,3,1,0,2,0,1,4,4,3,0,2,2,1,0,2,2,3,2,0,1,3,2,2,3,1,1,0,1,0,0,0,3,0,0,3,6.12%,"https://web.archive.org/web/20120624074624/http://gaokao.chsi.com.cn/zsgs/bsszgmd--method-listByJxmc,year-2007.dhtml"
9,2006年全国青少年信息学奥林匹克竞赛获奖名单,一等奖,20,0,1,0,0,0,0,0,0,0,1,0,2,3,1,0,0,0,0,4,3,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0.00%,"https://web.archive.org/web/20120624074624/http://gaokao.chsi.com.cn/zsgs/bsszgmd--method-listByJxmc,year-2007.dhtml"
10,2006年全国青少年信息学奥林匹克联赛(省级赛区),一等奖,790,0,15,24,17,13,2,30,19,9,41,81,68,21,50,8,64,29,19,65,86,19,4,32,51,4,2,0,10,5,0,0,2,0,0,9,1.14%,"https://web.archive.org/web/20120624074624/http://gaokao.chsi.com.cn/zsgs/bsszgmd--method-listByJxmc,year-2007.dhtml"
11,2006年全国中学生生物学联赛(省级赛区),一等奖,575,0,20,20,20,20,20,20,20,20,13,20,22,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,20,20,20,20,20,0,0,20,3.48%,"https://web.archive.org/web/20120624074624/http://gaokao.chsi.com.cn/zsgs/bsszgmd--method-listByJxmc,year-2007.dhtml"
12,2007中国数学奥林匹克获奖名单,一等奖,40,0,2,1,2,0,0,0,3,2,4,2,2,0,1,1,1,3,6,1,6,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,5.00%,"https://web.archive.org/web/20120624074624/http://gaokao.chsi.com.cn/zsgs/bsszgmd--method-listByJxmc,year-2007.dhtml"
13,2007中国数学奥林匹克获奖名单,二等奖,62,1,6,6,2,1,0,2,3,3,6,2,4,1,2,0,1,3,2,6,3,0,1,4,2,0,0,0,0,0,0,0,1,0,0,3,4.84%,"https://web.archive.org/web/20120624074624/http://gaokao.chsi.com.cn/zsgs/bsszgmd--method-listByJxmc,year-2007.dhtml"
14,2007中国数学奥林匹克获奖名单,三等奖,74,3,2,6,2,2,3,4,1,2,1,4,4,4,1,2,1,2,1,1,0,3,3,1,5,2,0,1,2,3,3,3,2,0,0,2,2.70%,"https://web.archive.org/web/20120624074624/http://gaokao.chsi.com.cn/zsgs/bsszgmd--method-listByJxmc,year-2007.dhtml"
15,第21届全国青少年科技创新大赛保送生名单,,234,3,14,0,7,6,2,13,8,4,12,0,9,3,15,5,11,24,10,17,16,4,6,2,8,4,9,0,3,3,1,0,7,2,6,4,1.71%,"https://web.archive.org/web/20120624074624/http://gaokao.chsi.com.cn/zsgs/bsszgmd--method-listByJxmc,year-2007.dhtml"
16,第57届国际科学与工程大奖赛获奖学生名单,,4,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,"https://web.archive.org/web/20120624074624/http://gaokao.chsi.com.cn/zsgs/bsszgmd--method-listByJxmc,year-2007.dhtml"
17,第二十三届全国中学生物理竞赛决赛获奖名单,一等奖,29,0,1,0,3,1,0,1,1,0,4,1,2,0,0,0,1,2,5,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,"https://web.archive.org/web/20120624074624/http://gaokao.chsi.com.cn/zsgs/bsszgmd--method-listByJxmc,year-2007.dhtml"
18,第二十三届全国中学生物理竞赛决赛获奖名单,二等奖,62,0,3,2,1,2,0,2,1,2,2,6,4,4,4,3,4,3,1,1,5,0,0,3,2,1,1,0,3,0,0,0,2,0,0,2,3.23%,"https://web.archive.org/web/20120624074624/http://gaokao.chsi.com.cn/zsgs/bsszgmd--method-listByJxmc,year-2007.dhtml"
19,第二十三届全国中学生物理竞赛决赛获奖名单,三等奖,82,0,2,4,3,2,3,3,4,4,0,1,0,2,1,2,0,2,1,1,5,5,5,2,3,4,4,2,3,5,3,4,2,0,0,4,4.88%,"https://web.archive.org/web/20120624074624/http://gaokao.chsi.com.cn/zsgs/bsszgmd--method-listByJxmc,year-2007.dhtml"
20,第六届“明天小小科学家”奖励活动,,40,0,9,0,0,1,0,2,4,0,3,1,1,0,4,0,1,5,2,3,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0.00%,"https://web.archive.org/web/20120624074624/http://gaokao.chsi.com.cn/zsgs/bsszgmd--method-listByJxmc,year-2007.dhtml"
21,第十五届全国中学生生物学竞赛获奖名单,一等奖,18,0,1,0,2,0,0,1,0,0,1,0,4,1,0,0,1,2,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00%,"https://web.archive.org/web/20120624074624/http://gaokao.chsi.com.cn/zsgs/bsszgmd--method-listByJxmc,year-2007.dhtml"
22,第十五届全国中学生生物学竞赛获奖名单,二等奖,27,0,1,0,1,3,0,2,0,0,2,1,2,2,3,2,2,1,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.00%,"https://web.archive.org/web/20120624074624/http://gaokao.chsi.com.cn/zsgs/bsszgmd--method-listByJxmc,year-2007.dhtml"
23,第十五届全国中学生生物学竞赛获奖名单,三等奖,44,0,1,3,0,0,3,0,3,3,0,2,0,0,0,1,0,0,1,0,1,3,3,2,0,3,0,0,3,3,3,3,3,0,0,3,6.82%,"https://web.archive.org/web/20120624074624/http://gaokao.chsi.com.cn/zsgs/bsszgmd--method-listByJxmc,year-2007.dhtml"
24,全国中小学电脑制作活动获奖者名单,,61,0,1,1,0,0,1,2,1,2,3,4,2,0,1,8,9,10,3,3,1,3,0,0,1,0,0,0,0,2,0,0,3,0,0,2,3.28%,"https://web.archive.org/web/20120624074624/http://gaokao.chsi.com.cn/zsgs/bsszgmd--method-listByJxmc,year-2007.dhtml"
25,2004、2005年全国高中化学联赛,一等奖,49,1,0,5,4,0,0,0,0,1,6,0,0,5,1,2,8,6,0,0,0,0,1,3,0,0,0,0,2,3,0,0,1,0,0,1,2.04%,"https://web.archive.org/web/20120624074624/http://gaokao.chsi.com.cn/zsgs/bsszgmd--method-listByJxmc,year-2007.dhtml"
26,2004、2005年全国高中数学联赛,一等奖,185,1,17,8,6,2,2,10,0,5,14,8,11,1,9,4,0,5,10,13,13,6,4,2,13,0,2,1,8,7,0,0,3,0,0,5,2.70%,"https://web.archive.org/web/20120624074624/http://gaokao.chsi.com.cn/zsgs/bsszgmd--method-listByJxmc,year-2007.dhtml"
27,2004、2005年全国信息学奥林匹克联赛,一等奖,463,3,11,14,11,0,0,12,7,3,22,56,20,20,14,11,47,18,13,50,41,15,5,19,25,3,1,0,5,5,0,0,12,0,0,3,0.65%,"https://web.archive.org/web/20120624074624/http://gaokao.chsi.com.cn/zsgs/bsszgmd--method-listByJxmc,year-2007.dhtml"
28,第22届全国中学生物理竞赛,一等奖,45,2,5,7,1,5,0,0,0,5,3,1,9,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11.11%,"https://web.archive.org/web/20120624074624/http://gaokao.chsi.com.cn/zsgs/bsszgmd--method-listByJxmc,year-2007.dhtml"
29,第20届全国青少年科技创新大赛获奖,,60,3,3,1,2,0,0,3,2,0,2,0,0,3,4,1,0,15,2,3,3,0,0,0,2,1,2,0,0,1,0,0,4,3,0,0,0.00%,"https://web.archive.org/web/20120624074624/http://gaokao.chsi.com.cn/zsgs/bsszgmd--method-listByJxmc,year-2007.dhtml"
30,外国语学校推荐,,2068,0,0,252,115,197,0,0,191,0,82,114,71,0,120,128,183,142,104,0,205,0,0,106,58,0,0,0,0,0,0,0,0,0,0,0,0.00%,"https://web.archive.org/web/20120624074624/http://gaokao.chsi.com.cn/zsgs/bsszgmd--method-listByJxmc,year-2007.dhtml"
31,省级优秀学生,,678,0,14,0,44,17,35,32,42,0,0,0,0,0,132,0,85,127,0,0,76,29,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0.00%,"https://web.archive.org/web/20120624074624/http://gaokao.chsi.com.cn/zsgs/bsszgmd--method-listByJxmc,year-2007.dhtml"
32,2007年南开大学数学试点班录取数学联赛,二等奖,14,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,"https://web.archive.org/web/20120624074624/http://gaokao.chsi.com.cn/zsgs/bsszgmd--method-listByJxmc,year-2007.dhtml"
33,2005年第22届全国中学生物理竞赛,一等奖,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,"https://web.archive.org/web/20120624074624/http://gaokao.chsi.com.cn/zsgs/bsszgmd--method-listByJxmc,year-2007.dhtml"
34,2005年第22届全国中学生物理竞赛(省级赛区),一等奖,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,"https://web.archive.org/web/20120624074624/http://gaokao.chsi.com.cn/zsgs/bsszgmd--method-listByJxmc,year-2007.dhtml"
35,2004年全国青少年信息学奥林匹克联赛,一等奖,33,0,0,0,0,0,0,0,0,0,12,0,10,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,"https://web.archive.org/web/20120624074624/http://gaokao.chsi.com.cn/zsgs/bsszgmd--method-listByJxmc,year-2007.dhtml"
36,第58届国际科学与工程大奖赛获奖学生名单,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,"https://web.archive.org/web/20120624074624/http://gaokao.chsi.com.cn/zsgs/bsszgmd--method-listByJxmc,year-2007.dhtml"
合计,全部奖项（36 项）,,8871,23,232,453,363,367,142,264,420,155,359,454,386,204,502,315,586,564,350,334,620,184,102,307,382,92,86,23,164,142,60,76,139,10,11,155,1.75%,"https://web.archive.org/web/20120624074624/http://gaokao.chsi.com.cn/zsgs/bsszgmd--method-listByJxmc,year-2007.dhtml"
