专业,最高分,最低分,平均分
国际经济与贸易,680,632,
金融学,650,640,
英语,639,633,
广告学,635,633,
数学与应用数学,682,641,
信息与计算科学,648,638,
应用物理学,675,631,
应用化学,645,631,
生物技术,647,647,
生物信息技术,663,645,
理论与应用力学,646,635,
电子信息科学与技术,685,664,
光信息科学与技术,681,654,
信息安全,657,654,
材料物理,655,638,
材料化学,664,632,
环境科学,640,632,
高分子材料与工程,663,639,
材料科学与工程,667,647,
复合材料与工程,673,652,
焊接技术与工程,678,665,
机械设计制造及其自动化,685,654,
材料成型及控制工程,652,645,
工业设计,654,643,
测控技术与仪器,663,649,
热能与动力工程,663,642,
电气工程及其自动化,681,651,
自动化,685,668,
电子信息工程,689,661,
通信工程,685,670,
计算机科学与技术,685,648,
电子科学与技术,683,650,
软件工程,666,631,
光电信息工程,672,650,
建筑学,684,652,
城市规划,651,631,
土木工程,683,647,
建筑环境与设备工程,651,631,
给水排水工程,656,643,
道路桥梁与渡河工程,664,633,
环境工程,668,641,
化学工程与工艺,646,638,
交通运输,647,634,
交通工程,641,632,
食品科学与工程,664,632,
飞行器设计与工程,674,662,
飞行器动力工程,650,648,
广播电视编导,625,633,
飞行器制造工程,655,651,
探测制导与控制技术,673,662,
工程力学,657,646,
信息管理与信息系统,659,640,
工业工程,665,642,
工程管理,643,635,
工商管理,647,631,
市场营销,638,631,
会计学,656,637,
财务管理,655,635,
