专业,最高分,最低分,平均分
建筑学,709,702,706
土木工程,695,693,694
水利水电工程,691,687,689
环境工程,700,687,692
机械工程及自动化,696,687,693
制造自动化与测控技术,688,674,684
制造自动化与测控技术(定向兵总),688,682,684
能源动力系统及自动化,698,687,691
车辆工程,690,690,690
工业工程,690,690,690
电气工程及其自动化,700,691,696
电子信息科学类,718,696,702
计算机科学与技术,696,694,695
自动化,695,691,693
工程力学与航天航空工程,700,688,694
工程物理,689,688,689
化学工程与工业生物工程,688,670,679
材料科学与工程,695,687,692
数理基础科学,697,691,693
化学,689,678,684
生物科学,690,689,690
工商管理类,718,718,718
生物医学工程,696,696,696
经济与金融(国际班),703,703,703
计算机软件,694,692,693
