范围,口径,科类,人数,备注,来源
全省,录取控制线,本科一批 理科,588,,《绥化晚报》2007-06-29 第 1143 期，记者宋一枫《我市6981名考生榜上有名》（content/2004/2007年绥化市高考600分以及一表二表人数.jpg）
全省,录取控制线,本科一批 文科,567,,《绥化晚报》2007-06-29 第 1143 期，记者宋一枫《我市6981名考生榜上有名》（content/2004/2007年绥化市高考600分以及一表二表人数.jpg）
全省,录取控制线,本科二批 理科,526,,《绥化晚报》2007-06-29 第 1143 期，记者宋一枫《我市6981名考生榜上有名》（content/2004/2007年绥化市高考600分以及一表二表人数.jpg）
全省,录取控制线,本科二批 文科,499,,《绥化晚报》2007-06-29 第 1143 期，记者宋一枫《我市6981名考生榜上有名》（content/2004/2007年绥化市高考600分以及一表二表人数.jpg）
绥化全市,考生,高考报名／参考人数,26993,用户提供,
绥化全市,二表以上,文理合计,6981,较去年增加 408 人,《绥化晚报》2007-06-29 第 1143 期，记者宋一枫《我市6981名考生榜上有名》（content/2004/2007年绥化市高考600分以及一表二表人数.jpg）
绥化全市,二表以上,理工类,5431,,《绥化晚报》2007-06-29 第 1143 期，记者宋一枫《我市6981名考生榜上有名》（content/2004/2007年绥化市高考600分以及一表二表人数.jpg）
绥化全市,二表以上,文史类,1550,,《绥化晚报》2007-06-29 第 1143 期，记者宋一枫《我市6981名考生榜上有名》（content/2004/2007年绥化市高考600分以及一表二表人数.jpg）
绥化全市,一表以上,理工类,1532,,《绥化晚报》2007-06-29 第 1143 期，记者宋一枫《我市6981名考生榜上有名》（content/2004/2007年绥化市高考600分以及一表二表人数.jpg）
绥化全市,一表以上,文史类,241,,《绥化晚报》2007-06-29 第 1143 期，记者宋一枫《我市6981名考生榜上有名》（content/2004/2007年绥化市高考600分以及一表二表人数.jpg）
绥化全市,600分以上,理工类,1051,,《绥化晚报》2007-06-29 第 1143 期，记者宋一枫《我市6981名考生榜上有名》（content/2004/2007年绥化市高考600分以及一表二表人数.jpg）
绥化全市,600分以上,文史类,36,,《绥化晚报》2007-06-29 第 1143 期，记者宋一枫《我市6981名考生榜上有名》（content/2004/2007年绥化市高考600分以及一表二表人数.jpg）
北林区（绥化市区）,二表以上,理工类,1040,全市第一,《绥化晚报》2007-06-29 第 1143 期，记者宋一枫《我市6981名考生榜上有名》（content/2004/2007年绥化市高考600分以及一表二表人数.jpg）
北林区（绥化市区）,二表以上,文史类,300,,《绥化晚报》2007-06-29 第 1143 期，记者宋一枫《我市6981名考生榜上有名》（content/2004/2007年绥化市高考600分以及一表二表人数.jpg）
北林区（绥化市区）,600分以上,文理合计,242,全市各县区第一,《绥化晚报》2007-06-29 第 1143 期，记者宋一枫《我市6981名考生榜上有名》（content/2004/2007年绥化市高考600分以及一表二表人数.jpg）
肇东市,二表以上,理工类,1037,,《绥化晚报》2007-06-29 第 1143 期，记者宋一枫《我市6981名考生榜上有名》（content/2004/2007年绥化市高考600分以及一表二表人数.jpg）
肇东市,二表以上,文史类,372,,《绥化晚报》2007-06-29 第 1143 期，记者宋一枫《我市6981名考生榜上有名》（content/2004/2007年绥化市高考600分以及一表二表人数.jpg）
肇东市,600分以上,文理合计,234,全市各县区第二,《绥化晚报》2007-06-29 第 1143 期，记者宋一枫《我市6981名考生榜上有名》（content/2004/2007年绥化市高考600分以及一表二表人数.jpg）
绥化一中,600分以上,理工类,178,全市学校第一,《绥化晚报》2007-06-29 第 1143 期，记者宋一枫《我市6981名考生榜上有名》（content/2004/2007年绥化市高考600分以及一表二表人数.jpg）
绥化一中,600分以上,文史类,5,,《绥化晚报》2007-06-29 第 1143 期，记者宋一枫《我市6981名考生榜上有名》（content/2004/2007年绥化市高考600分以及一表二表人数.jpg）
肇东一中,600分以上,理工类,172,,《绥化晚报》2007-06-29 第 1143 期，记者宋一枫《我市6981名考生榜上有名》（content/2004/2007年绥化市高考600分以及一表二表人数.jpg）
肇东一中,600分以上,文史类,8,,《绥化晚报》2007-06-29 第 1143 期，记者宋一枫《我市6981名考生榜上有名》（content/2004/2007年绥化市高考600分以及一表二表人数.jpg）
