学校名称,理科分数线,理科招生人数,文科分数线,文科招生人数
省最低控制线（二批）,526,,499,
西南民族大学,526预518,88,536预529,48
西北民族大学,528预207,73,499预492,45
北方民族大学,547预474,26,523预468,15
大连民族学院,562,228,553,77
防灾科技学院,532,34,510,10
吉林大学,545,,551,3
中国民航大学,600,37,566,4
中国民用航空飞行学院,561,24,506,2
华北科技学院,526,45,530,13
中国劳动关系学院,546,15,549,10
中华女子学院,545,13,506,11
石河子大学,527,15,500,13
中南民族大学,507,20,527,9
上海海关学院,631,3,610,3
北方工业大学,606,9,,
北京印刷学院,583,8,,
北京建筑工程学院,568,10,,
北京石油化工学院,574,18,,
北京联合大学,559,13,,
北京物资学院,562,17,592,3
首都经济贸易大学,620,4,614,3
北京信息科技大学,,,,
北京城市学院,528,15,506,9
天津科技大学,594,55,564,10
天津工业大学,591,55,539,53
天津理工大学,586,40,,
天津农学院,533,22,535,3
天津中医药大学,563,29,515,15
天津师范大学,582,36,565,19
天津工程师范学院,536,76,499,10
天津商业大学,578,53,565,23
天津城市建设学院,547,,,
天津体育学院,573,3,530,3
唐山师范学院,,,,
河北大学,574,19,557,21
河北工程大学,553,80,,
石家庄经济学院,537,50,536,15
河北理工大学,568,70,,
河北科技大学,526,54,,
河北建筑工程学院,527,30,,
河北农业大学,541,70,,
河北医科大学,579,30,,
华北煤炭医学院,526,43,501,7
河北北方学院,526,6,505,4
承德医学院,529,20,,
河北师范大学,535,30,547,30
衡水学院,526,25,502,5
邢台学院,529,30,505,
河北科技师范学院,528,45,504,5
北华航天工业学院,527,25,503,5
河北经贸大学,574,27,557,33
山西大学,562,19,508,8
太原科技大学,549,84,541,6
中北大学,554,170,518,10
山西农业大学,526,32,534,8
山西医科大学,564,40,522,7
长治医学院,516,35,,
山西师范大学,557,12,504,10
太原师范学院,526,22,499,24
山西大同大学,549,10,535,5
晋中学院,,8,499,7
运城学院,517,15,501,5
忻州师范学院,,20,499,
山西财经大学,569,30,562,30
山西中医学院,530,25,503,10
