学校名称,专业名称,最高分,最低分,平均分
北方工业大学,机械设计制造及自动化,616,616,
北方工业大学,通讯工程,633,624,
北方工业大学,工商管理,620,612,
北方工业大学,会计学,607,606,
北京印刷学院,机械工程及自动化,581,586,
北京印刷学院,印刷工程,614,612,
北京建筑工程学院,地理信息系统,579,577,
北京建筑工程学院,无机非金属材料工程,586,577,
北京建筑工程学院,机械工程及自动化,601,601,
北京建筑工程学院,测绘工程,591,583,
北京石油化工学院,国际经济与贸易,583,583,
北京石油化工学院,高分子材料与工程,614,596,
北京石油化工学院,机械工程及自动化,596,599,
北京石油化工学院,过程装备与控制工程,581,576,
北京石油化工学院,热能与动力工程,584,581,
北京石油化工学院,电气工程及其自动化,615,584,
北京石油化工学院,通信工程,603,599,
北京石油化工学院,化学工程与工艺,583,582,
北京物资学院,英语,576,570,
北京物资学院,数学与计算科学,566,564,
北京物资学院,计算机科学与技术,580,,
北京物资学院,工商管理,572,594,
北京物资学院,市场营销,569,569,
北京物资学院,会计学,593,593,
北京物资学院,人力资源管理,574,574,
北京物资学院,电子商务,566,566,
北京物资学院,物流管理,616,607,
首都经济贸易大学,英语,646,646,
首都经济贸易大学,信息管理与信息系统,620,620,
首都经济贸易大学,人力资源管理,640,640,
天津科技大学,国际经济与贸易,599,582,
天津科技大学,生物技术,604,596,
天津科技大学,海洋技术,610,603,
天津科技大学,环境科学,595,569,
天津科技大学,机械设计制造及自动化,613,596,
天津科技大学,工业设计,596,596,
天津科技大学,过程装备与控制工程,630,597,
天津科技大学,测控技术与仪器,612,606,
天津科技大学,电气工程及其自动化,613,609,
天津科技大学,自动化,612,612,
天津科技大学,计算机科学与技术,613,604,
天津科技大学,网络工程,629,605,
天津科技大学,环境工程,601,601,
天津科技大学,轻工工程,602,596,
天津科技大学,食品质量与安全,608,600,
天津科技大学,生物工程,600,599,
天津大学,国际经济与贸易,599,582,
天津大学,信息与计算科学,615,615,
天津大学,电子信息科学与技术,611,597,
天津大学,光信息科学与技术,625,620,
天津大学,材料科学与工程,612,601,
天津大学,自动化,613,590,
天津大学,电子信息工程,607,601,
天津大学,通信工程,607,604,
天津大学,计算机科学与技术,602,600,
天津大学,电子科学与技术,599,592,
天津大学,软件工程,606,591,
天津大学,网络工程,619,599,
中国民航大学,法学,602,602,
中国民航大学,英语,611,611,
中国民航大学,信息与计算科学,601,601,
中国民航大学,材料物理,604,604,
中国民航大学,电气工程及其自动化,615,605,
中国民航大学,自动化,615,610,
中国民航大学,计算机科学与技术,618,608,
中国民航大学,土木工程,607,607,
中国民航大学,安全工程,612,612,
中国民航大学,交通工程,614,614,
中国民航大学,油气储运工程,604,602,
中国民航大学,工业工程,612,612,
中国民航大学,工商管理,613,609,
中国民航大学,物流管理,610,610,
中国民航大学,公共事业管理,601,600,
天津理工大学,电子信息科学与技术,647,601,
天津理工大学,光信息科学与技术,614,592,
天津理工大学,机械工程及自动化,589,575,
天津理工大学,热能与动力工程,602,598,
天津理工大学,电子科学与技术,609,593,
天津理工大学,安全工程,600,586,
天津理工大学,化学工程与工艺,598,583,
天津理工大学,制药工程,591,587,
天津理工大学,药学,588,586,
天津农学院,生物技术,547,547,
天津农学院,环境科学,554,554,
天津农学院,计算机科学与技术,549,549,
天津农学院,水文与水资源工程,550,550,
天津农学院,食品科学与工程,558,558,
天津农学院,生物工程,553,549,
天津农学院,农学,557,535,
天津农学院,植物保护,538,538,
天津农学院,种子科学与工程,534,534,
天津农学院,园林,544,544,
天津农学院,动物科学,538,533,
天津农学院,动物医学,553,537,
天津农学院,信息管理与信息系统,540,514,
天津农学院,人力资源管理,565,565,
天津中医药大学,应用心理学,571,571,
天津中医药大学,中医学类,586,573,
天津中医药大学,中医学,584,570,
天津中医药大学,针灸推拿学,585,570,
天津中医药大学,护理学,579,565,
天津中医药大学,药学,578,563,
天津中医药大学,市场营销,565,565,
天津中医药大学,公共事业管理,565,565,
天津师范大学,教育学,584,584,
天津师范大学,教育技术学,585,582,
天津师范大学,英语,592,588,
天津师范大学,朝鲜语,591,591,
天津师范大学,数学与应用数学,610,587,
天津师范大学,物理学,585,585,
天津师范大学,计算机科学与技术,587,584,
天津师范大学,信息工程,585,583,
天津师范大学,软件工程,584,582,
天津工程师范学院,金融学,570,570,
天津工程师范学院,教育技术学,542,541,
天津工程师范学院,职业技术教育管理,556,556,
天津工程师范学院,英语,577,572,
河北科技师范学院,数学与应用数学,563,546,
河北科技师范学院,信息与计算科学,574,538,
河北科技师范学院,微电子学,555,544,
河北科技师范学院,应用心理学,568,568,
河北科技师范学院,机械设计制造及自动化,590,583,
河北科技师范学院,工业设计,547,544,
河北科技师范学院,汽车服务工程,573,557,
河北科技师范学院,测控技术与仪器,558,552,
河北科技师范学院,自动化,581,561,
河北科技师范学院,电子信息工程,579,548,
河北科技师范学院,通信工程,580,557,
河北科技师范学院,计算机工程与技术,563,543,
天津工程师范学院,电子科学与技术,572,548,
天津工程师范学院,网络工程,549,540,
天津工程师范学院,人力资源管理,538,538,
天津工程师范学院,电子商务,561,549,
天津工程师范学院,劳动与社会保障,536,536,
天津商业大学,经济学类,535,602,
天津商业大学,法学,586,584,
天津商业大学,工业设计,584,578,
天津商业大学,热能与动力工程,587,586,
天津商业大学,包装工程,579,578,
天津商业大学,生物工程类,589,581,
天津商业大学,工商管理类,608,599,
天津商业大学,旅游管理,583,581,
天津商业大学,行政管理,585,584,
天津商业大学,公共事业管理,578,578,
天津财经大学,信息与计算科学,621,621,
天津财经大学,工程管理,631,630,
河北大学,经济学类,601,590,
河北大学,环境科学,589,577,
河北大学,统计学,577,577,
河北大学,测控技术与仪器,584,574,
河北大学,临床医学,581,581,
河北大学,护理学,575,575,
河北大学,药学类,583,582,
河北大学,工商管理类,586,580,
河北大学,信息与计算科学,558,558,
河北工程大学,应用物理学,555,553,
河北工程大学,无机非金属材料工程,560,559,
河北工程大学,机械设计及控制工程,564,558,
河北工程大学,测控技术与仪器,563,560,
河北工程大学,土木工程,582,573,
河北工程大学,建筑环境与设备工程,565,554,
河北工程大学,水利水电工程,577,573,
河北工程大学,环境工程,560,559,
河北工程大学,交通工程,572,562,
河北工程大学,工程力学,568,551,
河北工程大学,农业水利工程,559,557,
河北工程大学,工程管理,568,563,
石家庄经济学院,经济学类,574,574,
石家庄经济学院,数学与应用数学,540,542,
石家庄经济学院,资源环境与城乡规划管理,545,545,
石家庄经济学院,地理信息系统,544,539,
石家庄经济学院,地球信息科学与技术,552,547,
石家庄经济学院,统计学,559,550,
石家庄经济学院,矿物加工工程,558,547,
石家庄经济学院,勘查技术工程,554,554,
石家庄经济学院,资源勘查工程,577,577,
