地市,高考报名人数,报名人数口径与来源,理科600分以上,文科600分以上,合计600分以上,600分以上来源,每出一个600分以上需考生数,备注
全省,224000,"省招考院：2007 年全省高考报名约 22.4 万人",10941,916,11857,"content/2007/rank.md（省招考院公布：理 10941、文 916）",18.9,实测
绥化全市,26993,"用户提供（较去年二表以上增加 408 人的口径）",1051,36,1087,"《绥化晚报》2007-06-29 第 1143 期《我市6981名考生榜上有名》",24.8,实测；分母为用户提供
大庆全市,21000,"估计：2006 年报名 20470 人（大庆市政府网，快照 20060413141206 / dqsz.dq.hl.cn 快照 20060623）；2009 年约 20917（大庆实验中学高考喜报）。2007 年取两者之间约 21000",1475,217,1692,"大庆市政府文件「600 分以上 1475 人，占全省近 1/7」＋大庆实验中学《2006–2012 高考成果与全市比较》「全市 1692」两处独立吻合",12.4,考生数为估计，待年鉴核实
鹤岗全市,7200,"估计：2004 年报名 5606 人（官方分市表）；2009 年 8298 人参加高考（鹤岗市教育局《2009 年教育大事记》，hgedu.gov.cn，其中市区 7025 ＋ 绥滨萝北 1273）。2007 年线性夹逼约 7200",306,27,333,"鹤岗一中《2007 年全市（含绥、萝两县）高考成绩统计一览表》，hgyz.net 快照 20080706091633",21.6,考生数为估计，待年鉴核实
哈尔滨,,待补：2007 年黑龙江教育年鉴 / 统计年鉴 分地市高考报名人数,,,,,,分地市 600+ 无公开来源，仅报名人数可从年鉴补
齐齐哈尔,,待补,,,,,,同上
牡丹江,,待补,,,,,,同上
佳木斯,,待补,,,,,,同上
鸡西,,待补,,,,,,同上
双鸭山,,待补,,,,,,同上
七台河,,待补,,,,,,同上
伊春,,待补,,,,,,同上
黑河,,待补,,,,,,同上
绥化,,待补（上行「绥化全市」已有实测）,,,,,,
大兴安岭,,待补,,,,,,同上
农垦总局,,待补,,,,,,2007 年是否仍单列农垦、森工待核
森工总局,,待补,,,,,,同上
