城市,中学,合计,清华,北大,清北合计,哈尔滨工业大学,浙江大学,中国人民大学,北京大学,北京林业大学,清华大学,南开大学,上海交通大学,中央财经大学,大连海事大学,北京理工大学,北京科技大学,北京邮电大学,厦门大学,北京化工大学,中国政法大学,北京交通大学,北京中医药大学,华南理工大学,大连理工大学,中国药科大学,中山大学,上海财经大学,北京师范大学,华东理工大学,四川大学,天津大学,山东大学,河海大学,中南财经政法大学,中国地质大学(武汉),中国科学技术大学,南京航空航天大学,复旦大学,武汉大学,西北工业大学,西安交通大学
哈尔滨,哈尔滨市第三中学,107,7,10,17,35,36,7,10,1,7,3,1,0,0,0,1,2,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
哈尔滨,哈尔滨师范大学附属中学,62,1,2,3,28,10,5,2,1,1,5,1,2,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
大庆,大庆实验中学,45,1,3,4,17,3,6,3,1,1,1,3,0,1,1,0,1,0,2,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
大庆,大庆铁人中学,27,1,3,4,2,3,3,3,0,1,0,3,1,0,1,2,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
佳木斯,佳木斯市第一中学,25,2,1,3,6,4,2,1,0,2,2,0,1,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
大庆,大庆第一中学,19,1,2,3,4,1,1,2,0,1,0,0,2,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
哈尔滨,哈尔滨市第九中学,19,0,1,1,14,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
大庆,大庆中学,14,1,1,2,1,0,0,1,2,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
齐齐哈尔,齐齐哈尔实验中学,10,0,0,0,1,5,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
哈尔滨,哈尔滨市第六中学,9,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鹤岗,鹤岗市第一中学,8,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
哈尔滨,哈尔滨市第一中学,7,0,0,0,4,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
哈尔滨,哈工大附中,7,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
绥化,肇东市第一中学,7,0,0,0,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
双鸭山,双鸭山市第一中学,5,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
齐齐哈尔,齐齐哈尔中学,5,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
牡丹江,牡丹江市第一高级中学,4,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鸡西,鸡西市第一中学,4,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
伊春,伊春市第一中学,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
