分数,本段人数,累计人数
708,1,1
705,1,2
702,2,4
701,4,8
700,3,11
699,2,13
697,2,15
696,4,19
695,3,22
694,4,26
693,7,33
692,1,34
691,5,39
690,5,44
689,1,45
688,5,50
687,2,52
686,8,60
685,7,67
684,3,70
683,11,81
682,9,90
681,10,100
680,9,109
679,4,113
678,13,126
677,10,136
676,8,144
675,10,154
674,12,166
673,9,175
672,15,190
671,7,197
670,21,218
669,23,241
668,15,256
667,19,275
666,22,297
665,16,313
664,17,330
663,27,357
662,20,377
661,22,399
660,29,428
659,21,449
658,34,483
657,23,506
656,31,537
655,25,562
654,39,601
653,33,634
652,40,674
651,27,701
650,41,742
649,33,775
648,46,821
647,47,868
646,38,906
645,37,943
644,43,986
643,51,1037
642,49,1086
641,45,1131
640,53,1184
639,54,1238
638,49,1287
637,51,1338
636,61,1399
635,59,1458
634,61,1519
633,57,1576
632,55,1631
631,64,1695
630,60,1755
629,70,1825
628,79,1904
627,73,1977
626,85,2062
625,68,2130
624,80,2210
623,65,2275
622,67,2342
621,77,2419
620,97,2516
619,92,2608
618,86,2694
617,69,2763
616,82,2845
615,94,2939
614,88,3027
613,111,3138
612,92,3230
611,88,3318
610,125,3443
609,99,3542
608,101,3643
607,111,3754
606,101,3855
605,124,3979
604,123,4102
603,104,4206
602,104,4310
601,117,4427
600,128,4555
599,113,4668
598,115,4783
597,131,4914
596,114,5028
595,127,5155
594,122,5277
593,147,5424
592,132,5556
591,126,5682
590,149,5831
589,125,5956
588,160,6116
587,133,6249
586,136,6385
585,159,6544
584,140,6684
583,138,6822
582,148,6970
581,155,7125
580,151,7276
579,144,7420
578,154,7574
577,149,7723
576,163,7886
575,155,8041
574,153,8194
573,157,8351
572,167,8518
571,178,8696
570,156,8852
569,149,9001
568,176,9177
567,191,9368
566,186,9554
565,189,9743
564,169,9912
563,196,10108
562,200,10308
561,175,10483
560,203,10686
559,180,10866
558,183,11049
557,195,11244
556,177,11421
555,196,11617
554,180,11797
553,196,11993
552,210,12203
551,209,12412
550,211,12623
549,194,12817
548,176,12993
547,204,13197
546,204,13401
545,187,13588
544,209,13797
543,196,13993
542,202,14195
541,228,14423
540,189,14612
539,219,14831
538,196,15027
537,253,15280
536,188,15468
535,216,15684
534,231,15915
533,231,16146
532,231,16377
531,226,16603
530,235,16838
529,225,17063
528,246,17309
527,222,17531
526,242,17773
525,237,18010
524,237,18247
523,237,18484
522,238,18722
521,241,18963
520,234,19197
519,254,19451
518,228,19679
517,242,19921
516,228,20149
515,257,20406
514,242,20648
513,251,20899
512,245,21144
511,285,21429
510,266,21695
509,283,21978
508,243,22221
507,235,22456
506,282,22738
505,260,22998
504,246,23244
503,242,23486
502,242,23728
501,275,24003
500,279,24282
499,294,24576
498,248,24824
497,260,25084
496,244,25328
495,255,25583
494,259,25842
493,304,26146
492,269,26415
491,298,26713
490,300,27013
489,277,27290
488,271,27561
487,255,27816
486,296,28112
485,277,28389
484,296,28685
483,302,28987
482,269,29256
481,264,29520
480,313,29833
479,281,30114
478,323,30437
477,272,30709
476,316,31025
475,270,31295
474,301,31596
473,306,31902
472,316,32218
471,284,32502
470,308,32810
469,293,33103
468,322,33425
467,316,33741
466,303,34044
465,315,34359
464,287,34646
463,348,34994
462,312,35306
461,338,35644
460,302,35946
459,346,36292
458,303,36595
457,310,36905
456,296,37201
455,287,37488
454,331,37819
453,328,38147
452,327,38474
451,339,38813
450,368,39181
449,350,39531
448,338,39869
447,324,40193
446,358,40551
445,304,40855
444,365,41220
443,339,41559
442,321,41880
441,357,42237
440,345,42582
439,344,42926
438,366,43292
437,335,43627
436,324,43951
435,352,44303
434,375,44678
433,318,44996
432,357,45353
431,342,45695
430,387,46082
429,308,46390
428,363,46753
427,360,47113
426,354,47467
425,388,47855
424,380,48235
423,327,48562
422,386,48948
421,383,49331
420,350,49681
419,352,50033
418,369,50402
417,389,50791
416,338,51129
415,352,51481
414,386,51867
413,361,52228
412,356,52584
411,340,52924
410,369,53293
409,320,53613
408,357,53970
407,401,54371
406,352,54723
405,361,55084
404,363,55447
403,344,55791
402,337,56128
401,342,56470
400,326,56796
399,360,57156
398,373,57529
397,362,57891
396,377,58268
395,392,58660
394,345,59005
393,361,59366
392,377,59743
391,378,60121
390,387,60508
389,366,60874
388,393,61267
387,358,61625
386,362,61987
385,345,62332
384,339,62671
383,346,63017
382,360,63377
381,345,63722
380,362,64084
379,378,64462
378,350,64812
377,360,65172
376,349,65521
375,346,65867
374,379,66246
373,373,66619
372,325,66944
371,287,67231
370,339,67570
369,334,67904
368,335,68239
367,352,68591
366,351,68942
365,360,69302
364,336,69638
363,348,69986
362,324,70310
361,366,70676
360,306,70982
359,348,71330
358,337,71667
357,342,72009
356,346,72355
355,325,72680
354,354,73034
353,340,73374
352,362,73736
351,329,74065
350,336,74401
349,351,74752
348,345,75097
347,294,75391
346,346,75737
345,313,76050
344,310,76360
343,319,76679
342,333,77012
341,331,77343
340,320,77663
339,314,77977
338,336,78313
337,287,78600
336,334,78934
335,298,79232
334,318,79550
333,257,79807
332,300,80107
331,314,80421
330,315,80736
329,326,81062
328,282,81344
327,286,81630
326,301,81931
325,313,82244
324,288,82532
323,299,82831
322,280,83111
321,292,83403
320,320,83723
319,283,84006
318,271,84277
317,272,84549
316,282,84831
315,302,85133
314,265,85398
313,282,85680
312,274,85954
311,269,86223
310,275,86498
309,268,86766
308,287,87053
307,257,87310
306,262,87572
305,284,87856
304,271,88127
303,292,88419
302,274,88693
301,250,88943
300,258,89201
299,245,89446
298,259,89705
297,290,89995
296,252,90247
295,287,90534
294,237,90771
293,232,91003
292,239,91242
291,266,91508
290,246,91754
289,223,91977
288,233,92210
287,230,92440
286,277,92717
285,228,92945
284,247,93192
283,261,93453
282,233,93686
281,214,93900
280,245,94145
279,203,94348
278,204,94552
277,234,94786
276,214,95000
275,246,95246
274,210,95456
273,207,95663
272,190,95853
271,202,96055
270,216,96271
269,207,96478
268,239,96717
267,197,96914
266,216,97130
265,206,97336
264,217,97553
263,213,97766
262,222,97988
261,188,98176
260,200,98376
259,201,98577
258,204,98781
257,197,98978
256,193,99171
255,174,99345
254,204,99549
253,147,99696
252,174,99870
251,184,100054
250,197,100251
249,194,100445
248,163,100608
247,160,100768
246,186,100954
245,157,101111
244,168,101279
243,173,101452
242,166,101618
241,149,101767
240,158,101925
239,155,102080
238,139,102219
237,161,102380
236,158,102538
235,160,102698
234,142,102840
233,136,102976
232,135,103111
231,134,103245
230,128,103373
229,138,103511
228,129,103640
227,132,103772
226,115,103887
225,133,104020
224,128,104148
223,118,104266
222,108,104374
221,122,104496
220,112,104608
219,125,104733
218,108,104841
217,124,104965
216,93,105058
215,96,105154
214,95,105249
213,105,105354
212,94,105448
211,101,105549
210,100,105649
209,101,105750
208,103,105853
207,85,105938
206,68,106006
205,86,106092
204,78,106170
203,80,106250
202,79,106329
201,94,106423
200,70,106493
199,84,106577
198,82,106659
197,80,106739
196,59,106798
195,72,106870
194,64,106934
193,74,107008
192,78,107086
191,54,107140
190,70,107210
189,72,107282
188,60,107342
187,54,107396
186,59,107455
185,62,107517
184,59,107576
183,46,107622
182,60,107682
181,51,107733
180,45,107778
179,39,107817
178,42,107859
177,41,107900
176,44,107944
175,46,107990
174,30,108020
173,39,108059
172,35,108094
171,37,108131
170,40,108171
169,41,108212
168,32,108244
167,28,108272
166,41,108313
165,32,108345
164,31,108376
163,31,108407
162,30,108437
161,20,108457
160,34,108491
159,22,108513
158,26,108539
157,19,108558
156,20,108578
155,29,108607
154,21,108628
153,23,108651
152,20,108671
151,19,108690
150,22,108712
149,17,108729
148,16,108745
147,24,108769
146,9,108778
145,16,108794
144,15,108809
143,12,108821
142,17,108838
141,9,108847
140,16,108863
139,17,108880
138,11,108891
137,18,108909
136,11,108920
135,16,108936
134,13,108949
133,4,108953
132,9,108962
131,14,108976
130,6,108982
129,6,108988
128,9,108997
127,8,109005
126,6,109011
125,9,109020
124,5,109025
123,7,109032
122,3,109035
121,6,109041
120,8,109049
119,9,109058
118,6,109064
117,6,109070
116,9,109079
115,5,109084
114,6,109090
113,7,109097
112,1,109098
111,5,109103
110,5,109108
109,4,109112
107,1,109113
106,8,109121
105,5,109126
104,6,109132
103,2,109134
102,5,109139
101,1,109140
100,3,109143
99,2,109145
98,2,109147
95,2,109149
94,4,109153
93,2,109155
92,3,109158
91,2,109160
90,4,109164
89,4,109168
88,2,109170
87,3,109173
86,3,109176
85,2,109178
84,3,109181
82,1,109182
81,1,109183
80,1,109184
79,3,109187
78,4,109191
77,1,109192
76,1,109193
75,2,109195
74,1,109196
72,2,109198
71,1,109199
70,1,109200
68,1,109201
66,1,109202
65,2,109204
64,1,109205
61,2,109207
59,2,109209
58,1,109210
56,1,109211
54,3,109214
51,1,109215
50,1,109216
45,2,109218
42,1,109219
41,1,109220
40,1,109221
38,1,109222
37,1,109223
35,1,109224
32,3,109227
28,1,109228
26,2,109230
25,2,109232
24,2,109234
20,2,109236
19,1,109237
17,1,109238
15,2,109240
