高考年份,指标类别,对象,指标,数值,来源
2004,生源类别产出,计划内（配额生）,重本（一表）上线率,81.28%,mdjyz.com.cn/zsqk_g_lqqk.htm 牡丹江市第一高级中学《2006、2005、2004年高考连创新高》
2004,生源类别产出,计划内（配额生）,普本（二表）上线率,98.97%,mdjyz.com.cn/zsqk_g_lqqk.htm 牡丹江市第一高级中学《2006、2005、2004年高考连创新高》
2004,生源类别产出,小自费（择校A）,重本（一表）上线率,28.82%,mdjyz.com.cn/zsqk_g_lqqk.htm 牡丹江市第一高级中学《2006、2005、2004年高考连创新高》
2004,生源类别产出,小自费（择校A）,普本（二表）上线率,84.91%,mdjyz.com.cn/zsqk_g_lqqk.htm 牡丹江市第一高级中学《2006、2005、2004年高考连创新高》
2004,生源类别产出,小自费（择校A）,600分以上人数／最高分,4 人／624 分,mdjyz.com.cn/zsqk_g_lqqk.htm 牡丹江市第一高级中学《2006、2005、2004年高考连创新高》
2004,生源类别产出,大自费（择校B）,重本（一表）上线率,16.41%,mdjyz.com.cn/zsqk_g_lqqk.htm 牡丹江市第一高级中学《2006、2005、2004年高考连创新高》
2004,生源类别产出,大自费（择校B）,普本（二表）上线率,61.33%,mdjyz.com.cn/zsqk_g_lqqk.htm 牡丹江市第一高级中学《2006、2005、2004年高考连创新高》
2004,生源类别产出,大自费（择校B）,600分以上人数／最高分,2 人／616 分,mdjyz.com.cn/zsqk_g_lqqk.htm 牡丹江市第一高级中学《2006、2005、2004年高考连创新高》
2004,全市高分段,牡丹江市区,600分以上,78 人，牡一中 65 人（83.33%）,mdjyz.com.cn/zsqk_g_lqqk.htm 牡丹江市第一高级中学《2006、2005、2004年高考连创新高》
2004,全市高分段,牡丹江全市（含外市县）,600分以上,150 人，牡一中占 43.33%,mdjyz.com.cn/zsqk_g_lqqk.htm 牡丹江市第一高级中学《2006、2005、2004年高考连创新高》
2004,状元,牡一中 于洋,全市理科状元,683 分，全省第 8 名,mdjyz.com.cn/zsqk_g_lqqk.htm 牡丹江市第一高级中学《2006、2005、2004年高考连创新高》
2004,清华北大,牡一中,达清北最低录取线人数,16 人,mdjyz.com.cn/zsqk_g_lqqk.htm 牡丹江市第一高级中学《2006、2005、2004年高考连创新高》
2005,高分段,牡一中,600分以上,205 人,mdjyz.com.cn/zsqk_g_lqqk.htm 牡丹江市第一高级中学《2006、2005、2004年高考连创新高》
2005,清华北大,牡一中,录取／另达线,11 人／7 人,mdjyz.com.cn/zsqk_g_lqqk.htm 牡丹江市第一高级中学《2006、2005、2004年高考连创新高》
2005,状元,牡一中 梁鑫,牡丹江地区理科第一,700 分,mdjyz.com.cn/zsqk_g_lqqk.htm 牡丹江市第一高级中学《2006、2005、2004年高考连创新高》
2006,考生构成,牡一中,参加考试人数,"1,081 人（含择校生 424 人、分校生 232 人）",mdjyz.com.cn/zsqk_g_lqqk.htm 牡丹江市第一高级中学《2006、2005、2004年高考连创新高》
2006,高分段,牡一中,理科 650 分以上,38 人,mdjyz.com.cn/zsqk_g_lqqk.htm 牡丹江市第一高级中学《2006、2005、2004年高考连创新高》
2006,高分段,牡一中,600 分以上累计,227 人（理科 210、文科 17）,mdjyz.com.cn/zsqk_g_lqqk.htm 牡丹江市第一高级中学《2006、2005、2004年高考连创新高》
2006,上线,牡一中,一批次（重点）,392 人,mdjyz.com.cn/zsqk_g_lqqk.htm 牡丹江市第一高级中学《2006、2005、2004年高考连创新高》
2006,上线,牡一中,二批次以上累计,785 人,mdjyz.com.cn/zsqk_g_lqqk.htm 牡丹江市第一高级中学《2006、2005、2004年高考连创新高》
2006,清华北大,牡一中,录取／另达线,10 人／9 人,mdjyz.com.cn/zsqk_g_lqqk.htm 牡丹江市第一高级中学《2006、2005、2004年高考连创新高》
2006,生源类别产出,择校A（小自费）,最高分,理科 654 分／文科 644 分,mdjyz.com.cn/zsqk_g_lqqk.htm 牡丹江市第一高级中学《2006、2005、2004年高考连创新高》
2006,生源类别产出,择校B（大自费）,最高分,理科 602 分／文科 559 分,mdjyz.com.cn/zsqk_g_lqqk.htm 牡丹江市第一高级中学《2006、2005、2004年高考连创新高》
2003,清华北大,牡一中,录取人数,6 人（含物理奥赛保送 2 人）,mdjyz.com.cn/newstail.asp?id=293
