所属市,合计,一等,一等奖占比,二等,二等奖占比,三等,三等奖占比,普通初中在校学生数,每届学生数量,人数占比
哈尔滨市,161,84,66.67%,57,19.93%,20,5.21%,462777.0,115694.25,23.28%
大庆市,89,17,13.49%,34,11.89%,38,9.90%,172267.0,43066.75,8.67%
齐齐哈尔市,76,9,7.14%,29,10.14%,38,9.90%,304395.0,76098.75,15.31%
伊春市,40,5,3.97%,10,3.50%,25,6.51%,61941.0,15485.25,3.12%
佳木斯市,40,3,2.38%,15,5.24%,22,5.73%,124807.0,31201.75,6.28%
牡丹江市,109,2,1.59%,44,15.38%,63,16.41%,120910.0,30227.5,6.08%
绥化市,64,2,1.59%,29,10.14%,33,8.59%,351263.0,87815.75,17.67%
七台河市,12,2,1.59%,5,1.75%,5,1.30%,46360.0,11590.0,2.33%
农垦总局,64,1,0.79%,15,5.24%,48,12.50%,,,
鸡西市,57,1,0.79%,23,8.04%,33,8.59%,107742.0,26935.5,5.42%
黑河市,25,0,0.00%,7,2.45%,18,4.69%,86126.0,21531.5,4.33%
鹤岗市,21,0,0.00%,8,2.80%,13,3.39%,53107.0,13276.75,2.67%
双鸭山市,20,0,0.00%,7,2.45%,13,3.39%,75678.0,18919.5,3.81%
大兴安岭地区,18,0,0.00%,3,1.05%,15,3.91%,20454.0,5113.5,1.03%
合计,796,126,100.00%,286,100.00%,384,100.00%,1987827.0,496956.75,100.00%
