年份,城市,口径,中考考生数,重点／示范高中录取数,占考生比,来源,原文摘录
2004,哈尔滨,全市中考生,66000,7390 人升入省市重点,11.20%,sh.hl.cn 黑龙江信息港首页新闻标题（2004-06-25 快照 20040626091909）,「哈市6.6万名中考生今日进考场 将有7390人升入省市重点」
2005,大庆,"全市中考考生（非实验区 9,604 人＝全市 9/10 反推）",≈10671,,,dqsy.com.cn/xibao/index.htm 大庆实验中学 2008 年高考喜报（快照 20080628144154）,「本届考生在 2005 年中考录取时，占全市考生总数 9/10（9604 人）的非实验区……」
2006,大庆,"全市中考考生（非实验区 8,829 ＋ 课改实验区 1,627）",10456,,,dqsy.com.cn/xibao/2009.htm 大庆实验中学 2009 年高考喜报（快照 20090719102234）,「2006 年中考，非实验区考生 8829 人，占全市考生的 84.4%。实验区考生 1627 人，占全市考生的 15.6%」
2004,大庆,三所顶尖省级示范高中普通统招（铁人 399＋实验 447＋一中 333）,"（同上 10,456 为分母）",1179,11.28%,大庆实验中学 2003／2004 年招生简章（sy.dq.hl.cn/joinus/）与大庆市教育局公告,招生简章与教育局公告所载普通统招计划
2004,大庆,七所省级示范高中（录取线 574 分及以上者，录取总表实测）,"（同上 10,456 为分母）",2009,19.21%,content/2004/2004年大庆中考录取总表.csv 实测 ＋ content/2004/2004年大庆各省级示范高中统招录取线与录取最高分.csv,铁人 607／实验 603／一中 583／大庆中学・四中・东风・石油高中 574
2004,大庆,录取总表覆盖范围,10456,5760,55.09%,content/2004/2004年大庆中考录取总表.csv 实测 ＋ content/2004/2004年大庆各省级示范高中统招录取线与录取最高分.csv,总表只收市区本地生源，外县考生不在内（本人 648 分即不在表上）
2004,大庆,"排名参照点：577 分 ＝ 全市第 2,488 名",,,,dqsz.dq.hl.cn/sxyzs/ksrx/ 石油高中招生答疑留言板（2004-07-10 快照 20040924003324）,"考生留言「我考了577分全市2488名」；而录取总表内 ≥577 只有 1,907 人，差 581 人即总表未收录者"
2011,绥化市直（北林区）,"市直普通高中计划招生（公费 3,066 ＋ 择校 834）",,3900,,suihuaedu.com 绥化教育信息网首页新闻（2011-07-07 / 2011-07-28 快照）,「今年市直普通高中计划招生3900人」「市直四所高中……计划招收公费生3066人(包括220名定村配额生、100名艺体特长)」「市直高中计划招收择校生834人」
2004,绥化市直（北林区）,绥化一中录取总人数（含外市县 50）,,1040,,content/2004/2004年-2012年绥化一中绥化二中绥化七中高中录取分数线.csv,绥化一中 2004 年统招线 571 分
2007,绥化市直（北林区）,"绥化一中公费 840 ／ 总人数 1,200",,1200,,content/2004/2004年-2012年绥化一中绥化二中绥化七中高中录取分数线.csv,
