地市,报名总人数,600分以上人数,600分以上百分比,650分以上人数,650分以上百分比,每出一个600分以上需考生数,每出一个650分以上需考生数,占全省考生比,占全省600分以上比,占全省650分以上比,来源
哈尔滨,38762,632,1.63,55,0.14,61,705,22.51%,31.98%,32.35%,https://web.archive.org/web/20040729100940/http://lah.jxsedu.com/ReadNews.asp?NewsID=2661
齐齐哈尔,24345,225,0.92,19,0.08,108,1281,14.14%,11.39%,11.18%,https://web.archive.org/web/20040729100940/http://lah.jxsedu.com/ReadNews.asp?NewsID=2661
鸡西,8785,107,1.22,18,0.21,82,488,5.10%,5.41%,10.59%,https://web.archive.org/web/20040729100940/http://lah.jxsedu.com/ReadNews.asp?NewsID=2661
鹤岗,5606,53,0.95,1,0.02,106,5606,3.26%,2.68%,0.59%,https://web.archive.org/web/20040729100940/http://lah.jxsedu.com/ReadNews.asp?NewsID=2661
双鸭山,7124,63,0.88,6,0.08,113,1187,4.14%,3.19%,3.53%,https://web.archive.org/web/20040729100940/http://lah.jxsedu.com/ReadNews.asp?NewsID=2661
大庆,14183,261,1.84,34,0.24,54,417,8.24%,13.21%,20.00%,https://web.archive.org/web/20040729100940/http://lah.jxsedu.com/ReadNews.asp?NewsID=2661
伊春,7067,46,0.65,2,0.03,154,3534,4.10%,2.33%,1.18%,https://web.archive.org/web/20040729100940/http://lah.jxsedu.com/ReadNews.asp?NewsID=2661
佳木斯,9378,102,1.09,7,0.08,92,1340,5.45%,5.16%,4.12%,https://web.archive.org/web/20040729100940/http://lah.jxsedu.com/ReadNews.asp?NewsID=2661
七台河,4202,41,0.97,2,0.05,102,2101,2.44%,2.07%,1.18%,https://web.archive.org/web/20040729100940/http://lah.jxsedu.com/ReadNews.asp?NewsID=2661
牡丹江,11830,150,1.28,12,0.10,79,986,6.87%,7.59%,7.06%,https://web.archive.org/web/20040729100940/http://lah.jxsedu.com/ReadNews.asp?NewsID=2661
绥化,19604,181,0.92,8,0.04,108,2450,11.38%,9.16%,4.71%,https://web.archive.org/web/20040729100940/http://lah.jxsedu.com/ReadNews.asp?NewsID=2661
黑河,4173,18,0.43,,,232,,2.42%,0.91%,,https://web.archive.org/web/20040729100940/http://lah.jxsedu.com/ReadNews.asp?NewsID=2661
大兴安岭,3009,17,0.57,,,177,,1.75%,0.86%,,https://web.archive.org/web/20040729100940/http://lah.jxsedu.com/ReadNews.asp?NewsID=2661
农垦总局,9422,57,0.61,5,0.05,165,1884,5.47%,2.88%,2.94%,https://web.archive.org/web/20040729100940/http://lah.jxsedu.com/ReadNews.asp?NewsID=2661
森工总局,4710,23,0.49,1,0.02,205,4710,2.74%,1.16%,0.59%,https://web.archive.org/web/20040729100940/http://lah.jxsedu.com/ReadNews.asp?NewsID=2661
全省合计,172200,1976,1.15,170,0.10,87,1013,100.00%,100.00%,100.00%,https://web.archive.org/web/20040729100940/http://lah.jxsedu.com/ReadNews.asp?NewsID=2661
