命题区,城市,学校,录取类别,文化课分数线,文化课满分,体育满分,总分线（含体育）,总分满分,得分率,数据性质,来源,口径说明
哈尔滨市自主命题,哈尔滨,哈尔滨市第三中学,宏志班（哈尔滨市所辖市县区）,526,560,30,556,590,94.24%,官方公布,hlje.net/e/action/ShowInfo.php?classid=230&id=13894 黑龙江日报《“宏志班”录取分数线划定》2004-07-22（web.archive.org 快照 20130531190951）,官方公布的文化课线 526 ＋ 体育 30 ＝ 556，与名册实测哈三中统招最低分 556.0 完全吻合；据此确认体育满分 30、公布的录取线含体育；哈尔滨自主命题，卷子与全省卷不同（据本人所述明显偏易），本行分数不可与全省统一命题区的分数直接比较
哈尔滨市自主命题,哈尔滨,哈尔滨市第三中学,统招,526,560,30,556,590,94.24%,名册实测最低录取分,"hledu.net/kszl/ksxx/2004/200401.htm《哈尔滨市2004年中考重点高中录取结果》7,989 人名册实测最低录取分（快照 20041010035114）",文化课线为「总分−30」推算；哈尔滨自主命题，卷子与全省卷不同（据本人所述明显偏易），本行分数不可与全省统一命题区的分数直接比较
哈尔滨市自主命题,哈尔滨,哈师大附中,统招,521.7,560,30,551.7,590,93.51%,名册实测最低录取分,"hledu.net/kszl/ksxx/2004/200401.htm《哈尔滨市2004年中考重点高中录取结果》7,989 人名册实测最低录取分（快照 20041010035114）",文化课线为「总分−30」推算；哈尔滨自主命题，卷子与全省卷不同（据本人所述明显偏易），本行分数不可与全省统一命题区的分数直接比较
哈尔滨市自主命题,哈尔滨,哈尔滨市第三中学国际部,统招,521,560,30,551,590,93.39%,名册实测最低录取分,"hledu.net/kszl/ksxx/2004/200401.htm《哈尔滨市2004年中考重点高中录取结果》7,989 人名册实测最低录取分（快照 20041010035114）",文化课线为「总分−30」推算；哈尔滨自主命题，卷子与全省卷不同（据本人所述明显偏易），本行分数不可与全省统一命题区的分数直接比较
哈尔滨市自主命题,哈尔滨,哈师大附中,自费,518.4,560,30,548.4,590,92.95%,名册实测最低录取分,"hledu.net/kszl/ksxx/2004/200401.htm《哈尔滨市2004年中考重点高中录取结果》7,989 人名册实测最低录取分（快照 20041010035114）",文化课线为「总分−30」推算；哈尔滨自主命题，卷子与全省卷不同（据本人所述明显偏易），本行分数不可与全省统一命题区的分数直接比较
哈尔滨市自主命题,哈尔滨,哈尔滨市第三中学,自费,516.7,560,30,546.7,590,92.66%,名册实测最低录取分,"hledu.net/kszl/ksxx/2004/200401.htm《哈尔滨市2004年中考重点高中录取结果》7,989 人名册实测最低录取分（快照 20041010035114）",文化课线为「总分−30」推算；哈尔滨自主命题，卷子与全省卷不同（据本人所述明显偏易），本行分数不可与全省统一命题区的分数直接比较
哈尔滨市自主命题,哈尔滨,哈尔滨市第九中学,统招,514.3,560,30,544.3,590,92.25%,名册实测最低录取分,"hledu.net/kszl/ksxx/2004/200401.htm《哈尔滨市2004年中考重点高中录取结果》7,989 人名册实测最低录取分（快照 20041010035114）",文化课线为「总分−30」推算；哈尔滨自主命题，卷子与全省卷不同（据本人所述明显偏易），本行分数不可与全省统一命题区的分数直接比较
哈尔滨市自主命题,哈尔滨,哈尔滨市第九中学,自费,512,560,30,542,590,91.86%,名册实测最低录取分,"hledu.net/kszl/ksxx/2004/200401.htm《哈尔滨市2004年中考重点高中录取结果》7,989 人名册实测最低录取分（快照 20041010035114）",文化课线为「总分−30」推算；哈尔滨自主命题，卷子与全省卷不同（据本人所述明显偏易），本行分数不可与全省统一命题区的分数直接比较
哈尔滨市自主命题,哈尔滨,哈尔滨市第六中学,统招,509.6,560,30,539.6,590,91.46%,名册实测最低录取分,"hledu.net/kszl/ksxx/2004/200401.htm《哈尔滨市2004年中考重点高中录取结果》7,989 人名册实测最低录取分（快照 20041010035114）",文化课线为「总分−30」推算；哈尔滨自主命题，卷子与全省卷不同（据本人所述明显偏易），本行分数不可与全省统一命题区的分数直接比较
哈尔滨市自主命题,哈尔滨,哈尔滨市第六中学,自费,508.7,560,30,538.7,590,91.31%,名册实测最低录取分,"hledu.net/kszl/ksxx/2004/200401.htm《哈尔滨市2004年中考重点高中录取结果》7,989 人名册实测最低录取分（快照 20041010035114）",文化课线为「总分−30」推算；哈尔滨自主命题，卷子与全省卷不同（据本人所述明显偏易），本行分数不可与全省统一命题区的分数直接比较
哈尔滨市自主命题,哈尔滨,哈铁一中,统招,507.3,560,30,537.3,590,91.07%,名册实测最低录取分,"hledu.net/kszl/ksxx/2004/200401.htm《哈尔滨市2004年中考重点高中录取结果》7,989 人名册实测最低录取分（快照 20041010035114）",文化课线为「总分−30」推算；哈尔滨自主命题，卷子与全省卷不同（据本人所述明显偏易），本行分数不可与全省统一命题区的分数直接比较
哈尔滨市自主命题,哈尔滨,哈尔滨市第一中学,统招,505.6,560,30,535.6,590,90.78%,名册实测最低录取分,"hledu.net/kszl/ksxx/2004/200401.htm《哈尔滨市2004年中考重点高中录取结果》7,989 人名册实测最低录取分（快照 20041010035114）",文化课线为「总分−30」推算；哈尔滨自主命题，卷子与全省卷不同（据本人所述明显偏易），本行分数不可与全省统一命题区的分数直接比较
哈尔滨市自主命题,哈尔滨,哈尔滨市第一中学,自费,504.3,560,30,534.3,590,90.56%,名册实测最低录取分,"hledu.net/kszl/ksxx/2004/200401.htm《哈尔滨市2004年中考重点高中录取结果》7,989 人名册实测最低录取分（快照 20041010035114）",文化课线为「总分−30」推算；哈尔滨自主命题，卷子与全省卷不同（据本人所述明显偏易），本行分数不可与全省统一命题区的分数直接比较
哈尔滨市自主命题,哈尔滨,呼兰一中,统招,493.7,560,30,523.7,590,88.76%,名册实测最低录取分,"hledu.net/kszl/ksxx/2004/200401.htm《哈尔滨市2004年中考重点高中录取结果》7,989 人名册实测最低录取分（快照 20041010035114）",文化课线为「总分−30」推算；哈尔滨自主命题，卷子与全省卷不同（据本人所述明显偏易），本行分数不可与全省统一命题区的分数直接比较
哈尔滨市自主命题,哈尔滨,呼兰一中,自费,399.1,560,30,429.1,590,72.73%,名册实测最低录取分,"hledu.net/kszl/ksxx/2004/200401.htm《哈尔滨市2004年中考重点高中录取结果》7,989 人名册实测最低录取分（快照 20041010035114）",文化课线为「总分−30」推算；哈尔滨自主命题，卷子与全省卷不同（据本人所述明显偏易），本行分数不可与全省统一命题区的分数直接比较
全省统一命题,哈尔滨（面向外市地）,哈尔滨市第三中学,宏志班（招生范围内其他市地）,575,660,30,605,690,87.68%,官方公布,hlje.net/e/action/ShowInfo.php?classid=230&id=13894 黑龙江日报《“宏志班”录取分数线划定》2004-07-22（web.archive.org 快照 20130531190951）,外市地考生考的是全省统一命题卷；本区各校分数线之间可直接比较（同一张卷子）
全省统一命题,大庆,大庆实验中学,宏志班（面向全省）,573,660,30,603,690,87.39%,官方公布,hlje.net/e/action/ShowInfo.php?classid=230&id=13894 黑龙江日报《“宏志班”录取分数线划定》2004-07-22（web.archive.org 快照 20130531190951）,与该校统招线 603 完全相同；本区各校分数线之间可直接比较（同一张卷子）
全省统一命题,大庆,大庆铁人中学,统招,577,660,30,607,690,87.97%,官方公布,202.97.254.98/sub1/newshow.php?id=2322 大庆市教育局《省级示范高中统招生录取分数线确定》2004-07-13,含体育（30 分，进位取整）；本区各校分数线之间可直接比较（同一张卷子）
全省统一命题,大庆,大庆实验中学,统招,573,660,30,603,690,87.39%,官方公布,202.97.254.98/sub1/newshow.php?id=2322 大庆市教育局《省级示范高中统招生录取分数线确定》2004-07-13,含体育（30 分，进位取整）；本区各校分数线之间可直接比较（同一张卷子）
全省统一命题,大庆,大庆一中,统招,553,660,30,583,690,84.49%,官方公布,202.97.254.98/sub1/newshow.php?id=2322 大庆市教育局《省级示范高中统招生录取分数线确定》2004-07-13,含体育（30 分，进位取整）；本区各校分数线之间可直接比较（同一张卷子）
全省统一命题,大庆,大庆中学,统招,544,660,30,574,690,83.19%,官方公布,202.97.254.98/sub1/newshow.php?id=2322 大庆市教育局《省级示范高中统招生录取分数线确定》2004-07-13,含体育（30 分，进位取整）；本区各校分数线之间可直接比较（同一张卷子）
全省统一命题,大庆,大庆四中,统招,544,660,30,574,690,83.19%,官方公布,202.97.254.98/sub1/newshow.php?id=2322 大庆市教育局《省级示范高中统招生录取分数线确定》2004-07-13,含体育（30 分，进位取整）；本区各校分数线之间可直接比较（同一张卷子）
全省统一命题,大庆,东风中学,统招,544,660,30,574,690,83.19%,官方公布,202.97.254.98/sub1/newshow.php?id=2322 大庆市教育局《省级示范高中统招生录取分数线确定》2004-07-13,含体育（30 分，进位取整）；本区各校分数线之间可直接比较（同一张卷子）
全省统一命题,大庆,石油高中,统招,544,660,30,574,690,83.19%,官方公布,202.97.254.98/sub1/newshow.php?id=2322 大庆市教育局《省级示范高中统招生录取分数线确定》2004-07-13,含体育（30 分，进位取整）；本区各校分数线之间可直接比较（同一张卷子）
全省统一命题,佳木斯,佳木斯一中,统招一次择优,563.5,660,30,593.5,690,86.01%,官方公布,jmszkb.com/list.asp?articleid=1981 佳木斯市招考办《2004年初中升高中录取工作于7月23日结束》2004-07-27,出现 .5 半分，体育分未进位取整；本区各校分数线之间可直接比较（同一张卷子）
全省统一命题,佳木斯,佳木斯一中,二次择优,558,660,30,588,690,85.22%,官方公布,jmszkb.com/list.asp?articleid=1981 佳木斯市招考办《2004年初中升高中录取工作于7月23日结束》2004-07-27,出现 .5 半分，体育分未进位取整；本区各校分数线之间可直接比较（同一张卷子）
全省统一命题,佳木斯,佳木斯一中,一次配额,554,660,30,584,690,84.64%,官方公布,jmszkb.com/list.asp?articleid=1981 佳木斯市招考办《2004年初中升高中录取工作于7月23日结束》2004-07-27,出现 .5 半分，体育分未进位取整；本区各校分数线之间可直接比较（同一张卷子）
全省统一命题,佳木斯,佳木斯一中,二次配额,539,660,30,569,690,82.46%,官方公布,jmszkb.com/list.asp?articleid=1981 佳木斯市招考办《2004年初中升高中录取工作于7月23日结束》2004-07-27,出现 .5 半分，体育分未进位取整；本区各校分数线之间可直接比较（同一张卷子）
全省统一命题,佳木斯,佳木斯一中,二次配额（薄弱学校）,534,660,30,564,690,81.74%,官方公布,jmszkb.com/list.asp?articleid=1981 佳木斯市招考办《2004年初中升高中录取工作于7月23日结束》2004-07-27,出现 .5 半分，体育分未进位取整；本区各校分数线之间可直接比较（同一张卷子）
全省统一命题,佳木斯,佳木斯一中,自费,515,660,30,545,690,78.99%,官方公布,jmszkb.com/list.asp?articleid=1981 佳木斯市招考办《2004年初中升高中录取工作于7月23日结束》2004-07-27,出现 .5 半分，体育分未进位取整；本区各校分数线之间可直接比较（同一张卷子）
全省统一命题,佳木斯,佳木斯二中,统招一次择优,529.5,660,30,559.5,690,81.09%,官方公布,jmszkb.com/list.asp?articleid=1981 佳木斯市招考办《2004年初中升高中录取工作于7月23日结束》2004-07-27,出现 .5 半分，体育分未进位取整；本区各校分数线之间可直接比较（同一张卷子）
