学校名称,理科分数线,理科招生人数,文科分数线,文科招生人数
省最低控制线（一批）,582,,556,
北京大学医学部,668,19,,
北京大学,677,34,650,24
中国人民大学,651,25,624,28
清华大学,673定659,51,637,10
北京师范大学,625,24,609,16
北京外国语大学,651,9,612,10
南开大学,644,54,609,36
天津大学,638,98,575,4
大连理工大学,622,187,556,13
吉林大学,605,575,580,78
武汉大学,631,32,602,8
复旦大学,647,17,625,10
上海交通大学,658,44,,
同济大学,647,71,,
华东理工大学,586,59,,
华东师范大学,626,23,,
上海外国语大学,615,4,583,4
南京大学,646,13,615,7
东南大学,627,30,,
浙江大学,650,51,603,12
厦门大学,633,52,598,22
山东大学,599,47,589,21
中国海洋大学,606,43,561,12
中山大学,631,43,598,22
华中科技大学,633,50,,
兰州大学,590,28,566,22
四川大学,606,54,564,15
重庆大学,600,10,563,2
江南大学,593,61,559,19
西安交通大学,635,32,,
中南大学,604,128,564,12
陕西师范大学,583,22,562,15
东北师范大学,609,67,575,68
西南大学,584,14,579,12
北京语言大学,597,11,595,9
华南理工大学,617,60,,
中国政法大学,638,19,601,46
对外经济贸易大学,645,20,612,20
中央财经大学,646,20,601,10
中南财经政法大学,608,28,591,22
上海财经大学,627,17,611,9
西南财经大学,611,47,577,23
中国农业大学,604,120,,
南京农业大学,582,68,557,6
华中农业大学,582,51,566,12
西北农林科技大学,582,80,556,10
北京林业大学,595,87,572,15
湖南大学,606,74,565,16
合肥工业大学,585,100,,
西安电子科技大学,590,102,558,4
北京交通大学,609,99,574,6
北京科技大学,585,76,561,2
北京化工大学,599,111,563,9
北京邮电大学,627,90,566,10
北京中医药大学,605,29,562,2
中国传媒大学,604,24,588,14
东北大学,594,68,569,2
东华大学,589,60,,
河海大学,590,56,556,13
中国药科大学,621,40,,
中国石油大学（华东）,582,84,556,26
中国地质大学（武汉）,584,57,559,9
中国矿业大学（北京）,587,51,558,4
中国石油大学（北京）,605,64,575,2
中国地质大学（北京）,582,64,560,8
西南交通大学,592,98,565,15
电子科技大学,606,45,,
长安大学,586,79,557,11
武汉理工大学,597,49,573,6
华侨大学,,,,
山东大学威海分校,585,46,563,24
北京体育大学,582,10,556,8
北京航空航天大学,583,81,573,3
北京理工大学,619,86,583,10
南京航空航天大学,607,50,561,10
南京理工大学,601,59,,
西北工业大学,612,58,558,2
中国科学技术大学,655,25,,
暨南大学,591,7,583,8
中央民族大学,595,50,563,56
华北电力大学（北京）,610,60,559,12
华北电力大学（保定）,585,65,562,10
大连海事大学,605,82,576,18
中国矿业大学,582,79,,18
东北大学秦皇岛分校,,,,
上海交通大学医学院,,,,
北京第二外国语学院,621,9,588,9
北京工商大学,587,27,577,5
燕山大学,583,205,569,30
大连医科大学,,,,
辽宁工程技术大学,586,35,558,10
沈阳农业大学,582,55,,
中国医科大学,614,22,,
沈阳药科大学,597,70,,
东北财经大学,622,34,590,36
西南政法大学,601,27,580,25
西安建筑科技大学,582,25,,
内蒙古大学,582,2,567蒙450,18
石家庄铁道学院,582,88,558,10
太原理工大学,582,75,,
江苏大学,585,66,559,8
首都师范大学,592,10,579,10
南京信息工程大学,583,46,,
天津中医药大学,589,4,557,
西安理工大学,582,30,,
新疆大学,589,10,,
深圳大学,582,13,564,17
宁波大学,583,18,559,8
天津医科大学,599,10,,
西北大学,583,27,567,19
四川农业大学,583,17,,
广西大学,582,40,,
南昌大学,583,68,561,38
辽宁大学,,,556,20
湘潭大学,582,35,556,25
云南大学,582,32,557,18
华东政法大学,598,11,571,15
湖南师范大学,582,8,559,7
郑州大学,587,74,556,22
福州大学,582,22,557,3
河北工业大学,585,30,,
陕西科技大学,583,10,557,
长春理工大学,582,59,566,6
苏州大学,595,20,577,10
中北大学,582,40,,
北京工业大学,583,15,,
南京师范大学,596,10,562,10
华南师范大学,582,8,561,8
浙江理工大学,583,20,,
湖北大学,582,33,575,12
中国民航大学,585,21,,
东北电力大学,589,21,,
重庆邮电大学,582,20,,
首都医科大学,,,,
南方医科大学,,,,
贵州大学,,,,
广东外语外贸大学,,,,
宁波诺丁汉大学,,,,
广西医科大学,,,,
山西医科大学,,,,
沈阳建筑大学,,,,
上海理工大学,,,,
天津财经大学,,,,
中国计量学院,,,,
大连交通大学,,,,
南通大学,,,,
广州中医药大学,,,,
河南大学,,,,
成都中医药大学,,,,
华南农业大学,,,,
浙江工业大学,,,,
南京邮电大学,,,,
南京财经大学,,,,
南京工业大学,,,,
江苏科技大学,,,,
长沙理工大学,,,,
青岛科技大学,,,,
青岛大学,,,,
浙江师范大学,,,,
大连工业大学,,,,
西交利物浦大学,,,,
上海大学,,,,
辽宁中医药大学,,,,
青岛理工大学,,,,
哈尔滨工业大学,625,912,556,60
哈尔滨工程大学,602,506,557,21
东北林业大学,582,237,558,33
哈尔滨工程大学（联办）,570,90,536,10
哈尔滨工业大学（威海校区）,,,,
哈尔滨师范大学,582,445,557,378
哈尔滨医科大学,590,45,561,10
黑龙江大学,582,291,556,228
东北农业大学,582,318,556,14
大庆石油学院,570,1804,540,296
哈尔滨商业大学,582,242,556,172
黑龙江中医药大学,582,318,556,28
佳木斯大学,582,46,,
哈尔滨理工大学,582,818,,
齐齐哈尔医学院,,,,
齐齐哈尔大学,582,15,559,15
