学校名称,专业名称,最高分,最低分,平均分
北方工业大学,微电子学,620,620,
北方工业大学,机械设计制造及自动化,624,619,
北方工业大学,通讯工程,637,624,
北方工业大学,土木工程,624,624,
北方工业大学,工商管理,614,614,
北方工业大学,会计学,606,604,
北京印刷学院,机械工程及自动化,586,576,
北京印刷学院,电子信息工程,521,521,
北京印刷学院,计算机科学与技术,597,580,
北京印刷学院,印刷工程,596,589,
北京印刷学院,市场营销,575,570,
北京建筑工程学院,地理信息系统,587,577,
北京建筑工程学院,无机非金属材料工程,595,588,
北京建筑工程学院,机械工程及自动化,602,602,
北京建筑工程学院,测绘工程,596,583,
北京石油化工学院,国际经济与贸易,629,597,
北京石油化工学院,高分子材料与工程,578,574,
北京石油化工学院,机械工程及自动化,598,595,
北京石油化工学院,过程装备与控制工程,583,571,
北京石油化工学院,热能与动力工程,574,569,
北京石油化工学院,电气工程及其自动化,685,576,
北京石油化工学院,通信工程,598,594,
北京石油化工学院,化学工程与工艺,584,574,
北京石油化工学院,信息管理与信息系统,575,574,
北京石油化工学院,公共事业管理,583,572,
北京物资学院,经济学,576,576,
北京物资学院,英语,640,540,
北京物资学院,数学与计算科学,594,569,
北京物资学院,计算机科学与技术,597,554,
北京物资学院,工商管理,650,650,
北京物资学院,市场营销,594,594,
北京物资学院,会计学,608,608,
北京物资学院,人力资源管理,589,589,
北京物资学院,电子商务,618,599,
北京物资学院,物流管理,629,618,
首都经济贸易大学,英语,648,626,
首都经济贸易大学,信息管理与信息系统,643,643,
首都经济贸易大学,人力资源管理,648,648,
天津科技大学,国际经济与贸易,593,598,
天津科技大学,生物技术,600,587,
天津科技大学,海洋技术,601,590,
天津科技大学,环境科学,585,581,
天津科技大学,机械设计制造及自动化,597,585,
天津科技大学,工业设计,584,594,
天津科技大学,过程装备与控制工程,593,584,
天津科技大学,测控技术与仪器,590,586,
天津科技大学,电气工程及其自动化,611,597,
天津科技大学,自动化,601,599,
天津科技大学,计算机科学与技术,597,575,
天津科技大学,网络工程,590,590,
天津科技大学,环境工程,588,586,
天津科技大学,制药工程,613,613,
天津科技大学,轻工工程,605,592,
天津科技大学,食品质量与安全,604,591,
天津科技大学,生物工程,591,589,
天津科技大学,木材科学与工程,590,582,
天津科技大学,财务管理,590,582,
天津大学,国际经济与贸易,616,593,
天津大学,数学与应用数学,586,577,
天津大学,信息与计算科学,593,576,
天津大学,应用物理学,578,577,
天津大学,电子信息科学与技术,601,599,
天津大学,光信息科学与技术,614,594,
天津大学,材料科学与工程,635,610,
天津大学,工业设计,602,582,
天津大学,自动化,610,565,
天津大学,电子信息工程,613,539,
天津大学,通信工程,603,602,
天津大学,计算机科学与技术,613,589,
天津大学,电子科学与技术,605,595,
天津大学,软件工程,610,577,
天津大学,网络工程,600,585,
中国民航大学,法学,577,577,
中国民航大学,英语,596,568,
中国民航大学,信息与计算科学,605,605,
中国民航大学,材料物理,593,593,
中国民航大学,电气工程及其自动化,605,577,
中国民航大学,自动化,618,593,
中国民航大学,电子信息工程,606,578,
中国民航大学,计算机科学与技术,598,586,
中国民航大学,土木工程,609,609,
中国民航大学,安全工程,576,576,
中国民航大学,交通工程,601,601,
中国民航大学,油气储运工程,584,584,
中国民航大学,工业工程,590,590,
中国民航大学,工商管理,564,530,
中国民航大学,财务管理,599,579,
中国民航大学,物流管理,612,612,
中国民航大学,公共事业管理,590,529,
天津理工大学,电子信息科学与技术,609,597,
天津理工大学,光信息科学与技术,596,586,
天津理工大学,机械工程及自动化,598,585,
天津理工大学,热能与动力工程,612,594,
天津理工大学,电子科学与技术,598,596,
天津理工大学,安全工程,584,580,
天津理工大学,化学工程与工艺,594,593,
天津理工大学,制药工程,597,581,
天津理工大学,药学,579,578,
天津农学院,生物技术,558,558,
天津农学院,环境科学,549,534,
天津农学院,计算机科学与技术,541,541,
天津农学院,水文与水资源工程,537,522,
天津农学院,食品科学与工程,546,546,
天津农学院,生物工程,541,536,
天津农学院,农学,521,519,
天津农学院,植物保护,522,522,
天津农学院,种子科学与工程,534,532,
天津农学院,园林,572,572,
天津农学院,动物科学,525,518,
天津农学院,动物医学,565,526,
天津农学院,信息管理与信息系统,537,537,
天津农学院,人力资源管理,577,577,
天津中医药大学,应用心理学,577,573,
天津中医药大学,中医学类,571,552,
天津中医药大学,中医学,575,518,
天津中医药大学,针灸推拿学,575,568,
天津中医药大学,护理学,596,540,
天津中医药大学,药学,556,518,
天津中医药大学,市场营销,561,561,
天津中医药大学,公共事业管理,524,524,
天津师范大学,经济学,597,597,
天津师范大学,教育学,574,574,
