赛区,一等奖分数线,来源
浙江,213,mathoe.com/dispbbs.asp?boardid=47&id=34698（第6楼，huangshan 2008-11-14 发布）
湖北,207,mathoe.com/dispbbs.asp?boardid=47&id=34698（第6楼，huangshan 2008-11-14 发布）
河南,206,mathoe.com/dispbbs.asp?boardid=47&id=34698（第6楼，huangshan 2008-11-14 发布）
江苏,200,mathoe.com/dispbbs.asp?boardid=47&id=34698（第6楼，huangshan 2008-11-14 发布）
上海,197,mathoe.com/dispbbs.asp?boardid=47&id=34698（第6楼，huangshan 2008-11-14 发布）
重庆,182,mathoe.com/dispbbs.asp?boardid=47&id=34698（第6楼，huangshan 2008-11-14 发布）
江西,181,mathoe.com/dispbbs.asp?boardid=47&id=34698（第6楼，huangshan 2008-11-14 发布）
四川,181,mathoe.com/dispbbs.asp?boardid=47&id=34698（第6楼，huangshan 2008-11-14 发布）
黑龙江,179,mathoe.com/dispbbs.asp?boardid=47&id=34698（第6楼，huangshan 2008-11-14 发布）
吉林,176,mathoe.com/dispbbs.asp?boardid=47&id=34698（第6楼，huangshan 2008-11-14 发布）
辽宁,176,mathoe.com/dispbbs.asp?boardid=47&id=34698（第6楼，huangshan 2008-11-14 发布）
湖南,173,mathoe.com/dispbbs.asp?boardid=47&id=34698（第6楼，huangshan 2008-11-14 发布）
陕西,171,mathoe.com/dispbbs.asp?boardid=47&id=34698（第6楼，huangshan 2008-11-14 发布）
广东,169,mathoe.com/dispbbs.asp?boardid=47&id=34698（第6楼，huangshan 2008-11-14 发布）
安徽,168,mathoe.com/dispbbs.asp?boardid=47&id=34698（第6楼，huangshan 2008-11-14 发布）
天津,168,mathoe.com/dispbbs.asp?boardid=47&id=34698（第6楼，huangshan 2008-11-14 发布）
福建,168,mathoe.com/dispbbs.asp?boardid=47&id=34698（第6楼，huangshan 2008-11-14 发布）
北京,167,mathoe.com/dispbbs.asp?boardid=47&id=34698（第6楼，huangshan 2008-11-14 发布）
河北,166,mathoe.com/dispbbs.asp?boardid=47&id=34698（第6楼，huangshan 2008-11-14 发布）
山东,163,mathoe.com/dispbbs.asp?boardid=47&id=34698（第6楼，huangshan 2008-11-14 发布）
