学校名称,理科分数线,理科招生人数,文科分数线,文科招生人数
省最低控制线（二批）,508,,504,
西南民族大学,532预531,88,518预503,49
西北民族大学,508补预493,83,504补488,41
北方民族大学,524预493,37,511补473,21
大连民族学院,509补预488,220,531补预485,94
防灾科技学院,535,39,547,12
吉林大学,558,,527,3
中国民航大学,573,47,584,4
中国民用航空飞行学院,545,20,补562,1
华北科技学院,508,45,514,17
中国劳动关系学院,535,15,556,13
中华女子学院,553,15,550,10
石河子大学,518补,17,504补,8
中南民族大学,549,11,515 506补,19
上海海关学院,630,2,625,2
北方工业大学,529,10,,
北京印刷学院,519,6,561,2
北京建筑工程学院,565,10,,
北京石油化工学院,571,20,,
北京联合大学,562,20,546,5
北京物资学院,576,15,562,5
首都经济贸易大学,542,4,611,3
北京信息科技大学,570,16,568,7
北京城市学院,518,2,,
天津科技大学,517,41,559,8
天津工业大学,528,50,565,10
天津理工大学,554,57,,
天津农学院,514补,17,536,3
天津中医药大学,547,29,547,10
天津师范大学,512,33,564,20
天津工程师范学院,540,39,522,7
天津商业大学,515补,32,576,22
天津城市建设学院,541,38,,
天津体育学院,,,518补,9
唐山师范学院,516补,10,507补,10
河北大学,510补,18,537,22
河北工程大学,548,108,505,12
石家庄经济学院,516,27,544,8
河北理工大学,510补,60,,
河北科技大学,,25,,
河北建筑工程学院,533,30,,
河北农业大学,508补,70,,
河北医科大学,564,30,,
华北煤炭医学院,511,30,,
河北北方学院,518补510,10,,
承德医学院,522补511,20,,
河北师范大学,521,26,515,24
衡水学院,509补,12,505补,8
邢台学院,528补503,25,508补,5
河北科技师范学院,509补,10,531补,10
北华航天工业学院,539,10,532,
河北经贸大学,510补,30,509补,40
山西大学,512,32,547,18
太原科技大学,547,55,533补,3
中北大学,558,171,524,10
山西农业大学,520补,32,504补,8
山西医科大学,510,35,505,2
长治医学院,508补,25,,
山西师范大学,552补522,10,,
太原师范学院,533补508,22,506,24
山西大同大学,544补531,14,505,6
晋中学院,补503,10,补517,
运城学院,513补506,15,补495,5
忻州师范学院,,10,补503,
山西财经大学,565,25,557,25
山西中医学院,525,25,512,10
太原工业学院,511补,26,补517,4
长治学院,补518,8,544,12
内蒙古科技大学,525,91,505,14
内蒙古科技大学包头师范学院,,10,补504,
内蒙古民族大学,508补蒙语393,38,518补蒙语446,17
内蒙古农业大学,509补蒙语435,75,,
内蒙古工业大学,528,50,,
内蒙古师范大学,504补蒙语471,58,,35
呼伦贝尔学院,补504,3,517补513,5
沈阳工业大学,566,45,518,3
沈阳航空工业学院,564 06专业515,44,543,44
沈阳理工大学,511,51,545,16
辽宁科技大学,553,45,541,15
辽宁石油化工大学,566预431,54,536预439,12
沈阳化工学院,549,72,,
大连交通大学,557,84,562,10
大连工业大学,547,63,561,16
东北财经大学,575,19,,11
辽宁工业大学,564,26,,
大连水产学院,556 1-3专业539,45,557,10
大连医科大学,574,12,,
辽宁医学院,540,5,,
辽宁中医药大学,511,20,,
辽宁师范大学,535,5,549,15
沈阳师范大学,520补,23,504补,12
渤海大学,527,18,533,12
鞍山师范学院,526补508,10,504,10
大连外国语学院,606,3,530,14
沈阳体育学院,520补503,15,504,28
沈阳大学,535,4,515,4
大连大学,508补,30,556,14
辽东学院,516补,6,,
沈阳工程学院,556补,10,补552,2
延边大学,508补,120,504补 双语405 朝语475,87
东北电力大学,574,78,509补,20
长春工业大学,517补,60,533,16
吉林建筑工程学院,529 预433,38,512补,4
吉林化工学院,533,34,,
吉林农业大学,525,87,504,10
北华大学,补516,46,514补,8
通化师范学院,,12,,8
吉林师范大学,511补,3,514,3
吉林工程技术师范学院,515,2,补526,1
长春师范学院,513补预436,20,499,4
白城师范学院,540补517,3,补526,2
长春税务学院,560,35,560,23
吉林华桥外国语学院,524,40,525,46
长春工程学院,540,58,517,5
吉林农业科技学院,515补,13,补514,2
长春大学,537,11,515,14
吉林医药学院,508补,20,,
上海应用技术学院,529,35,507,5
上海海事大学,568联办516,10,575,10
上海水产大学,,,,
上海金融学院,591,7,601,3
上海工程技术大学,540补,10,,
上海商学院,533,3,543,4
江苏科技大学,,,,
江苏工业学院,512,8,519,2
南京林业大学,525,24,558,4
南通大学,516补,31,551,15
上海立信会计学院,570,5,,
苏州科技学院,550,15,504,4
常州工学院,547,4,,
南京工程学院,518补,18,544,2
南京审计学院,644,3,629,3
淮海工学院,518,24,531,6
南京人口管理干部学院,,10,526,10
淮阴工学院,补556,2,补534,4
江苏技术师范学院,,,补533,2
杭州电子科技大学,569,13,,
浙江林学院,518,13,516,7
浙江师范大学,512,25,,
绍兴文理学院,524,8,509,6
台州学院,525补,12,506补,8
上海政法学院,563,7,551,3
上海第二工业大学,557,10,,
浙江科技学院,544,9,,
浙江传媒学院,,26,565,23
安徽理工大学,511,40,,
安徽农业大学,527,26,506,9
安徽师范大学,530,12,526补,18
阜阳师范学院,补511,4,补508,6
淮北煤炭师范学院,521补,8,506补,12
安徽财经大学,561,10,560,10
淮南师范学院,补514,5,补526,5
安徽建筑工业学院,508补,30,,
安徽科技学院,补536,7,补519,3
合肥学院,540补510,8,507补,4
福建工程学院,511,20,,
福建农林大学,519,5,,
福建中医学院,补517,5,,
福建师范大学,,,551,30
闽江学院,528补,5,511,5
泉州师范学院,补508,5,510补,15
莆田学院,514补,16,508补,14
仰恩大学,补546,5,504补,5
华东交通大学,512,38,544,7
东华理工大学,517,20,504,8
南昌航空大学,554,26,522,4
江西理工大学,541,38,538,7
江西农业大学,508,15,521,5
江西中医学院,508补,22,513,4
赣南医学院,510补,13,501补,2
江西师范大学,508,22,533,17
上饶师范学院,补506,3,补506,9
宜春学院,补527,7,补515,5
赣南师范学院,533补507,11,506补,14
井冈山大学,补537,4,补541,4
江西财经大学,565,18,581,10
江西科技师范学院,补520,3,525补,6
九江学院,509补,13,512补,2
院南医学院,509补,10,,
山东科技大学,529,52,,
青岛科技大学,510补,15,,
济南大学,542,46,556,24
青岛理工大学,558补,54,550,13
山东建筑大学,562,34,512,6
山东轻工业学院,556,38,补554,2
山东理工大学,556,50,512补,10
山东农业大学,536,28,567,2
青岛农业大学,561,16,504,4
潍坊医学院,530,20,,
泰山医学院,511补,25,515补,5
滨州医学院,510,39,508补,11
山东中医药大学,539,14,506补,6
济宁医学院,517补,10,,
山东师范大学,532,30,527,20
曲阜师范大学,520,20,508,10
聊城大学,534,30,527,10
德州学院,526,10,509补497,20
滨州学院,519补507,7,,3
鲁东大学,508补,60,545,20
临沂师范学院,509补,8,505补,12
泰山学院,508补502,10,505补,10
菏泽学院,补520,4,504补,6
山东经济学院,552,33,543,27
枣庄学院,补534,5,504补,5
潍坊学院,509补,14,507补,16
烟台大学,530,30,566,10
山东交通学院,552,53,537,11
山东工商学院,544联办511,65,513,35
山东财政学院,511补,40,556,30
华北水利水电学院,534预449,35,,
河南理工大学,545,25,,
郑州轻工业学院,525,9,509补,4
河南工业大学,509补,25,507补,13
河南科技大学,540,28,541补,2
中原工学院,-,,-,
河南农业大学,515补,7,534补,3
新乡学院,补510,5,525,3
河南中医学院,补521,5,517,5
新乡医学院,532补512,5,,
河南大学,511补,3,补558,2
河南师范大学,,,,30
南阳师范学院,补528,3,补510,2
洛阳师范学院,补533,4,504,11
周口师范学院,补538,2,补533,4
郑州航空工业管理学院,536,16,补511,4
安阳工学院,,,,
南阳理工学院,518补,8,535补,4
平顶山工学院,补521,6,补507,4
武汉科技大学,524补,14,536,1
长江大学,550,59,518补,11
武汉工程大学,547,32,541,8
武汉工业学院,508,17,515,3
湖北工业大学,534,14,507,6
武汉体育学院,,,544,4
湖北师范学院,补521,5,524补,5
湖北民族学院,补519,6,补514,9
湖北汽车工业学院,518补,15,,
孝感学院,补526,5,补532,4
湖北中医学院,512补,5,补516,5
郧阳医学院,补513,8,,
江汉大学,515,10,514补,5
三峡大学,536,23,524,10
湖北经济学院,523,7,542,3
吉首大学,补543,5,补528,10
湖南理工学院,515补,5,补533,5
湖南科技大学,556,51,529,22
长沙学院,515补,8,528,2
湖南农业大学,509补,40,,
中南林业科技大学,540,34,506补,5
湖南中医药大学,530,15,,
湘南学院,补508,7,补516,4
衡阳师范学院,补514,4,补507,1
邵阳学院,544补508,29,522补504,11
怀化学院,补516,3,补551,4
湖南文理学院,补521,10,补545,5
湖南科技学院,补522,10,518补,8
广东工业大学,565,7,536,3
湖南商学院,530补,5,541,15
南华大学,540,48,,
湖南工程学院,525补,18,补557,2
湖南城市学院,515补,12,补510,3
广州体育学院,补548,2,,
广东商学院,544,3,550,4
北京师范大学珠海分校,527,35,523,69
广东金融学院,559,3,565,2
广东中医学院,补510,7,补539,3
广西工学院,510补,10,补516,3
桂林电子科技大学,555,18,补546,2
桂林工学院,510补,4,514补,4
广西师范大学,509补,7,525补,8
广西师范学院,补508,6,518补,6
巢湖学院,补511,10,补502,8
广西民族大学,512补,9,511,4
梧州学院,补510,4,补513,6
广西财经学院,510,4,529,6
海南师范大学,508补,28,527,37
海南医学院,515补,10,,
海南大学,512,72,549,32
重庆交通大学,564,55,,
重庆师范大学,补510,10,553,10
重庆文理学院,526补,4,518,4
重庆三峡学院,511补,7,512补,3
长江师范学院,补522,3,补507,2
四川外语学院,521补,5,558,7
重庆工商大学,529,16,551,12
西南石油大学,545,80,519,10
成都理工大学,508补,56,524,14
西南科技大学,522,33,522,17
成都信息工程学院,542,32,,
成都学院,517,5,,
西华大学,511补,12,520,2
四川农业大学,537,10,,
成都中医药大学,510补,17,516,8
西华师范大学,补510,8,510补,2
绵阳师范学院,补549,1,534补514,4
宜宾学院,补536,2,补507,8
成都体育学院,补517,6,补524,4
毕节学院,,1,,4
安顺学院,补507,2,补498,8
贵阳医学院,525补,5,,
贵州师范大学,508补,26,509,13
遵义师范学院,补507,4,补500,3
黔南民族师范学院,,5,补494,5
贵州财经学院,517补,9,512补,6
遵义医学院,513补508,20,,
昆明理工大学,510补,86,511补,4
云南农业大学,509,10,,
西南林学院,527补520,,,
昆明医学院,532,10,,
大理学院,511补,11,514补,9
云南中医学院,531补,5,525补,5
云南师范大学,516补,15,529,10
曲靖师范学院,补505,3,补502,2
红河学院,520补,5,补504,5
云南财经大学,510,33,540,17
云南民族大学,补545,6,521补,5
玉溪师范学院,510补503,4,补503,2
西安工业大学,516,8,558,3
西安石油大学,564,18,505补,7
西安工程大学,523,20,,
陕西中医学院,补524,5,507补,5
延安大学,512,14,,
陕西理工学院,516补,16,补535,4
宝鸡文理学院,530补,10,518,8
咸阳师范学院,补524,8,补505,7
渭南师范学院,511补,6,补508,4
西安外国语大学,571补,5,565预473,16
西北政法大学,571,6,557,24
西安文理学院,513,4,506,6
榆林学院,补509,5,补536,5
西安财经学院,558,21,509,24
西安邮电学院,514,25,511,5
兰州理工大学,541,5,,
兰州交通大学,514,38,534,10
甘肃农业大学,补510,10,,
西北师范大学,,,536,6
商洛学院,补520,5,,5
青海大学,508补,26,505补,4
青海师范大学,512补,20,505补,10
青海民族学院,补510,12,补512,4
宁夏大学,-,,-,
