学校名称,专业名称,最高分,最低分,平均分
清华大学,建筑学,691,691,691
清华大学,土木工程,691,691,691
清华大学,水利水电工程,699,699,699
清华大学,环境工程,,,677
清华大学,机械工程及自动化,690,687,688
清华大学,制造自动化与测控技术,690,690,690
清华大学,能源动力系统及自动化,688,687,687
清华大学,车辆工程,686,686,686
清华大学,工业工程,690,690,690
清华大学,电气工程及其自动化,705,690,698
清华大学,电子信息科学类,706,694,698
清华大学,计算机科学与技术,699,688,
清华大学,自动化,695,690,692
清华大学,工程力学与航天航空工程,,,678
清华大学,工程物理,,,671
清华大学,化学工程与工业生物工程,,,669
清华大学,材料科学与工程,700,690,695
清华大学,数理基础科学,691,685,691
清华大学,化学,,,676
清华大学,生物科学,698,694,
清华大学,工商管理类,667,667,667
清华大学,生物医学工程,688,688,683
清华大学,经济与金融（国际班）,687,687,687
清华大学,计算机软件,697,697,697
北京大学,理科试验班,693,,690
北京大学,经济学类,693,,685
北京大学,数学类,696,,691
北京大学,物理学类,694,,685
北京大学,化学类,687,,687
北京大学,电子信息科学类,695,,688
北京大学,环境科学类,686,,686
北京大学,工程力学类,673,,
北京大学,工商管理类,710,,700
中国人民大学,金融学,684,,679
中国人民大学,法学,692,,666
中国人民大学,数学与应用数学,666,,666
中国人民大学,统计学,674,,674
中国人民大学,信息管理与信息系统,678,,670
中国人民大学,工商管理类,679,,678
中国人民大学,人力资源管理,678,,669
北京交通大学,理科试验班类,657,,647
北京交通大学,信息科学与计算科学,635,,622
北京交通大学,光信息科学与技术,643,,625
北京交通大学,材料化学,630,,622
北京交通大学,机械工程及自动化,616,,612
北京交通大学,测控技术与仪器,625,,622
北京交通大学,热能与动力工程,638,,622
北京交通大学,电气信息类,641,,632
北京交通大学,自动化,649,,633
北京交通大学,通信工程,667,,650
北京交通大学,计算机科学与技术,644,,621
北京交通大学,电子科学与技术,651,,630
北京交通大学,生物医学工程,629,,628
北京交通大学,软件工程,637,,623
北京交通大学,建筑学,627,,627
