省份,一等奖人数,来源
山东省,49,xnw.com/m/weibo.php?id=1056442（2010年全国高中数学联赛各省一等奖名单）
河南省,45,xnw.com/m/weibo.php?id=1056442（2010年全国高中数学联赛各省一等奖名单）
陕西省,45,xnw.com/m/weibo.php?id=1056442（2010年全国高中数学联赛各省一等奖名单）
福建省,43,xnw.com/m/weibo.php?id=1056442（2010年全国高中数学联赛各省一等奖名单）
广东省,42,xnw.com/m/weibo.php?id=1056442（2010年全国高中数学联赛各省一等奖名单）
浙江省,40,xnw.com/m/weibo.php?id=1056442（2010年全国高中数学联赛各省一等奖名单）
重庆市,40,xnw.com/m/weibo.php?id=1056442（2010年全国高中数学联赛各省一等奖名单）
江苏省,38,xnw.com/m/weibo.php?id=1056442（2010年全国高中数学联赛各省一等奖名单）
河北省,37,xnw.com/m/weibo.php?id=1056442（2010年全国高中数学联赛各省一等奖名单）
辽宁省,37,xnw.com/m/weibo.php?id=1056442（2010年全国高中数学联赛各省一等奖名单）
四川省,37,xnw.com/m/weibo.php?id=1056442（2010年全国高中数学联赛各省一等奖名单）
湖南省,36,xnw.com/m/weibo.php?id=1056442（2010年全国高中数学联赛各省一等奖名单）
江西省,36,xnw.com/m/weibo.php?id=1056442（2010年全国高中数学联赛各省一等奖名单）
湖北省,35,xnw.com/m/weibo.php?id=1056442（2010年全国高中数学联赛各省一等奖名单）
安徽省,34,xnw.com/m/weibo.php?id=1056442（2010年全国高中数学联赛各省一等奖名单）
甘肃省,32,xnw.com/m/weibo.php?id=1056442（2010年全国高中数学联赛各省一等奖名单）
山西省,32,xnw.com/m/weibo.php?id=1056442（2010年全国高中数学联赛各省一等奖名单）
天津市,32,xnw.com/m/weibo.php?id=1056442（2010年全国高中数学联赛各省一等奖名单）
黑龙江省,31,xnw.com/m/weibo.php?id=1056442（2010年全国高中数学联赛各省一等奖名单）
吉林省,30,xnw.com/m/weibo.php?id=1056442（2010年全国高中数学联赛各省一等奖名单）
北京市,28,xnw.com/m/weibo.php?id=1056442（2010年全国高中数学联赛各省一等奖名单）
海南省,27,xnw.com/m/weibo.php?id=1056442（2010年全国高中数学联赛各省一等奖名单）
内蒙古自治区,23,xnw.com/m/weibo.php?id=1056442（2010年全国高中数学联赛各省一等奖名单）
上海市,22,xnw.com/m/weibo.php?id=1056442（2010年全国高中数学联赛各省一等奖名单）
云南省,22,xnw.com/m/weibo.php?id=1056442（2010年全国高中数学联赛各省一等奖名单）
贵州省,21,xnw.com/m/weibo.php?id=1056442（2010年全国高中数学联赛各省一等奖名单）
宁夏回族自治区,21,xnw.com/m/weibo.php?id=1056442（2010年全国高中数学联赛各省一等奖名单）
新疆维吾尔族自治区,21,xnw.com/m/weibo.php?id=1056442（2010年全国高中数学联赛各省一等奖名单）
广西壮族自治区,15,xnw.com/m/weibo.php?id=1056442（2010年全国高中数学联赛各省一等奖名单）
西藏藏族自治区,15,xnw.com/m/weibo.php?id=1056442（2010年全国高中数学联赛各省一等奖名单）
青海省,12,xnw.com/m/weibo.php?id=1056442（2010年全国高中数学联赛各省一等奖名单）
