分数,段内人数,累计人数
620以上,57,57
619,6,63
618,2,65
617,5,70
616,7,77
615,8,85
614,7,92
613,6,98
612,7,105
611,5,110
610,7,117
609,11,128
608,8,136
607,9,145
606,9,154
605,15,169
604,12,181
603,10,191
602,8,199
601,11,210
600,14,224
599,17,241
598,6,247
597,13,260
596,5,265
595,5,270
594,6,276
593,11,287
592,2,289
591,15,304
590,5,309
589,11,320
588,15,335
587,10,345
586,10,355
585,12,367
584,12,379
583,10,389
582,12,401
581,8,409
580,12,421
579,5,426
578,13,439
577,13,452
576,19,471
575,7,478
574,12,490
573,16,506
572,14,520
571,14,534
570,22,556
569,13,569
568,17,586
567,16,602
566,14,616
565,16,632
564,17,649
563,21,670
562,15,685
561,15,700
560,11,711
559,13,724
558,22,746
557,19,765
556,14,779
555,21,800
554,10,810
553,26,836
552,17,853
551,12,865
550,10,875
549,16,891
548,24,915
547,13,928
546,20,948
545,19,967
544,16,983
543,16,999
542,24,1023
541,10,1033
540,14,1047
539,14,1061
538,13,1074
537,13,1087
536,12,1099
535,14,1113
534,19,1132
533,15,1147
532,16,1163
531,13,1176
530,17,1193
529,12,1205
528,18,1223
527,19,1242
526,17,1259
525,10,1269
524,19,1288
523,19,1307
522,19,1326
521,9,1335
520,9,1344
519,18,1362
518,12,1374
517,13,1387
516,12,1399
515,9,1408
514,18,1426
513,22,1448
512,18,1466
511,11,1477
510,13,1490
509,16,1506
508,12,1518
507,17,1535
506,24,1559
505,10,1569
504,8,1577
503,19,1596
502,14,1610
501,10,1620
500,16,1636
499,9,1645
498,13,1658
497,24,1682
496,12,1694
495,17,1711
494,19,1730
493,13,1743
492,17,1760
491,14,1774
490,12,1786
489,23,1809
488,9,1818
487,10,1828
486,14,1842
485,9,1851
484,15,1866
483,13,1879
482,13,1892
481,11,1903
480,11,1914
479,13,1927
478,12,1939
477,13,1952
476,17,1969
475,13,1982
474,14,1996
473,12,2008
472,21,2029
471,15,2044
470,16,2060
469,10,2070
468,13,2083
467,15,2098
466,10,2108
465,15,2123
464,14,2137
463,18,2155
462,18,2173
461,15,2188
460,15,2203
459,17,2220
458,15,2235
457,21,2256
456,19,2275
455,17,2292
454,10,2302
453,14,2316
452,24,2340
451,15,2355
450,16,2371
449,12,2383
448,9,2392
447,14,2406
446,10,2416
445,20,2436
444,13,2449
443,18,2467
442,14,2481
441,11,2492
440,12,2504
439,14,2518
438,14,2532
437,16,2548
436,15,2563
435,15,2578
434,8,2586
433,18,2604
432,14,2618
431,8,2626
430,11,2637
429,18,2655
428,17,2672
427,12,2684
426,17,2701
425,10,2711
424,18,2729
423,13,2742
422,11,2753
421,21,2774
420,17,2791
419,11,2802
418,11,2813
417,15,2828
416,13,2841
415,13,2854
414,10,2864
413,14,2878
412,11,2889
411,12,2901
410,14,2915
409,11,2926
408,10,2936
407,14,2950
406,12,2962
405,16,2978
404,13,2991
403,8,2999
402,11,3010
401,15,3025
400,18,3043
399,11,3054
398,7,3061
397,18,3079
396,17,3096
395,12,3108
394,12,3120
393,7,3127
392,5,3132
391,18,3150
390,6,3156
389,9,3165
388,9,3174
387,11,3185
386,11,3196
385,17,3213
384,18,3231
383,13,3244
382,13,3257
381,8,3265
380,15,3280
379,7,3287
378,11,3298
377,11,3309
376,13,3322
375,12,3334
374,18,3352
373,12,3364
372,7,3371
371,10,3381
370,14,3395
369,10,3405
368,10,3415
367,9,3424
366,14,3438
365,8,3446
364,12,3458
363,11,3469
362,7,3476
361,4,3480
360,11,3491
359,19,3510
358,11,3521
357,12,3533
356,12,3545
355,6,3551
354,10,3561
353,10,3571
352,6,3577
351,12,3589
350,13,3602
349,16,3618
348,15,3633
347,7,3640
346,13,3653
345,9,3662
344,9,3671
343,6,3677
342,5,3682
341,14,3696
340,5,3701
339,13,3714
338,10,3724
337,5,3729
336,14,3743
335,5,3748
334,15,3763
333,7,3770
332,11,3781
331,9,3790
330,8,3798
329,8,3806
328,9,3815
327,13,3828
326,9,3837
325,10,3847
324,9,3856
323,9,3865
322,13,3878
321,14,3892
320,9,3901
319,16,3917
318,15,3932
317,13,3945
316,12,3957
315,7,3964
314,8,3972
313,14,3986
312,10,3996
311,11,4007
310,10,4017
309,10,4027
308,16,4043
307,9,4052
306,5,4057
305,12,4069
304,9,4078
303,6,4084
302,17,4101
301,7,4108
300,14,4122
